player,pos,age,90s,tackles_tkl,tackles_tklw,tackles_def 3rd,tackles_mid 3rd,tackles_att 3rd,vsdribbles_tkl,vsdribbles_att,vsdribbles_tkl%,vsdribbles_past,pressures_press,pressures_succ,pressures_%,pressures_def 3rd,pressures_mid 3rd,pressures_att 3rd,blocks_blocks,blocks_sh,blocks_shsv,blocks_pass,int,tkl+int,clr,err,matches
Lionel Messi,"FW,MF",33.0,7.3,8,6,1,4,3,3,9,33.3,6,93,27,29.0,13,37,43,3,1,0,2,3,11,0,0,Matches
Emiliano Martínez,GK,28.0,6.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Rodrigo De Paul,MF,26.0,5.5,11,10,7,2,2,5,8,62.5,3,87,30,34.5,37,29,21,8,0,0,8,8,19,5,0,Matches
Nicolás Otamendi,DF,32.0,5.3,9,5,7,2,0,4,7,57.1,3,49,20,40.8,32,17,0,9,2,0,7,5,14,34,1,Matches
Lautaro Martínez,FW,23.0,4.9,5,3,1,2,2,3,6,50.0,3,88,15,17.0,3,41,44,5,1,0,4,5,10,5,0,Matches
Giovani Lo Celso,MF,24.0,3.7,4,1,0,3,1,1,4,25.0,3,60,15,25.0,13,38,9,4,0,0,4,4,8,2,0,Matches
Guido Rodríguez,MF,26.0,4.7,13,8,8,3,2,6,19,31.6,13,100,27,27.0,38,46,16,11,3,0,8,11,24,7,0,Matches
Germán Pezzella,DF,29.0,4.5,1,0,0,1,0,0,1,0.0,1,23,4,17.4,15,8,0,9,5,0,4,7,8,15,0,Matches
Marcos Acuña,DF,29.0,4.0,9,7,6,3,0,3,6,50.0,3,49,15,30.6,26,18,5,4,0,0,4,6,15,9,0,Matches
Leandro Paredes,MF,26.0,3.9,10,5,3,5,2,3,5,60.0,2,53,15,28.3,19,25,9,7,3,0,4,1,11,7,0,Matches
Nahuel Molina,DF,23.0,3.6,5,2,3,1,1,2,7,28.6,5,43,10,23.3,20,18,5,11,2,0,9,7,12,11,0,Matches
Nicolás González,FW,22.0,3.4,6,4,3,0,3,3,4,75.0,1,41,11,26.8,8,19,14,5,1,0,4,6,12,11,0,Matches
Gonzalo Montiel,DF,24.0,3.8,9,4,7,2,0,5,10,50.0,5,48,19,39.6,18,22,8,5,2,0,3,8,17,10,0,Matches
Nicolás Tagliafico,DF,28.0,3.7,3,3,0,2,1,1,5,20.0,4,40,14,35.0,18,17,5,5,1,0,4,6,9,7,0,Matches
Cristian Romero,DF,22.0,2.9,5,3,3,2,0,0,0,,0,23,8,34.8,18,5,0,6,2,0,4,4,9,4,0,Matches
Ángel Di María,"FW,MF",32.0,3.1,3,3,0,2,1,0,6,0.0,6,51,15,29.4,10,16,25,8,0,0,8,2,5,1,0,Matches
Sergio Agüero,FW,32.0,1.5,4,2,1,2,1,0,1,0.0,1,29,7,24.1,4,9,16,1,0,0,1,2,6,1,0,Matches
Papu Gómez,FW,32.0,1.4,4,3,1,2,1,0,1,0.0,1,29,9,31.0,6,14,9,2,0,0,2,1,5,0,0,Matches
Exequiel Palacios,MF,22.0,1.6,2,2,1,1,0,1,1,100.0,0,27,7,25.9,6,17,4,2,0,0,2,2,4,0,0,Matches
Franco Armani,GK,34.0,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Lucas Martínez Quarta,DF,24.0,1.0,2,1,2,0,0,0,0,,0,8,2,25.0,3,5,0,0,0,0,0,0,2,5,0,Matches
Lisandro Martínez,DF,23.0,1.0,0,0,0,0,0,0,0,,0,7,6,85.7,5,1,1,0,0,0,0,3,3,9,0,Matches
Ángel Correa,FW,25.0,0.8,2,1,0,1,1,0,1,0.0,1,14,4,28.6,3,4,7,2,0,0,2,0,2,0,0,Matches
Joaquín Correa,FW,26.0,0.9,1,0,1,0,0,1,3,33.3,2,18,6,33.3,6,7,5,1,0,0,1,2,3,0,0,Matches
Julián Álvarez,FW,21.0,0.4,1,1,0,1,0,0,0,,0,6,4,66.7,1,4,1,1,0,0,1,0,1,0,0,Matches
Nicolás Domínguez,MF,22.0,0.3,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,27.7,7.3,117,74,55,41,21,41,104,39.4,63,989,291,29.4,322,420,247,109,23,0,86,93,210,143,1,
Opponent Total,,27.7,7.3,144,81,83,46,15,50,151,33.1,101,1195,317,26.5,474,478,243,86,26,2,60,79,223,113,5,
