player,pos,age,90s,sca_sca,sca_sca90,scatypes_passlive,scatypes_passdead,scatypes_drib,scatypes_sh,scatypes_fld,scatypes_def,gca_gca,gca_gca90,gcatypes_passlive,gcatypes_passdead,gcatypes_drib,gcatypes_sh,gcatypes_fld,gcatypes_def,matches
Lionel Messi,"FW,MF",33.0,7.3,46,6.27,23,7,4,7,4,1,8,1.09,8,0,0,0,0,0,Matches
Emiliano Martínez,GK,28.0,6.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rodrigo De Paul,MF,26.0,5.5,15,2.71,11,3,0,0,1,0,2,0.36,1,1,0,0,0,0,Matches
Nicolás Otamendi,DF,32.0,5.3,3,0.56,1,1,0,0,1,0,1,0.19,1,0,0,0,0,0,Matches
Lautaro Martínez,FW,23.0,4.9,7,1.42,3,0,1,3,0,0,0,0.0,0,0,0,0,0,0,Matches
Giovani Lo Celso,MF,24.0,3.7,10,2.72,9,0,0,0,1,0,1,0.27,0,0,0,0,1,0,Matches
Guido Rodríguez,MF,26.0,4.7,4,0.84,4,0,0,0,0,0,1,0.21,1,0,0,0,0,0,Matches
Germán Pezzella,DF,29.0,4.5,1,0.22,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marcos Acuña,DF,29.0,4.0,8,2.0,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Leandro Paredes,MF,26.0,3.9,6,1.52,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nahuel Molina,DF,23.0,3.6,1,0.28,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolás González,FW,22.0,3.4,9,2.63,5,1,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Gonzalo Montiel,DF,24.0,3.8,3,0.8,2,0,0,1,0,0,1,0.27,0,0,0,1,0,0,Matches
Nicolás Tagliafico,DF,28.0,3.7,3,0.8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cristian Romero,DF,22.0,2.9,1,0.35,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ángel Di María,"FW,MF",32.0,3.1,15,4.87,7,1,5,1,1,0,3,0.97,1,0,1,0,1,0,Matches
Sergio Agüero,FW,32.0,1.5,5,3.41,1,0,1,1,1,1,1,0.68,1,0,0,0,0,0,Matches
Papu Gómez,FW,32.0,1.4,2,1.43,1,0,0,0,1,0,1,0.71,0,0,0,0,1,0,Matches
Exequiel Palacios,MF,22.0,1.6,2,1.25,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Franco Armani,GK,34.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Martínez Quarta,DF,24.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lisandro Martínez,DF,23.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ángel Correa,FW,25.0,0.8,4,4.93,3,0,0,0,1,0,1,1.23,1,0,0,0,0,0,Matches
Joaquín Correa,FW,26.0,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Julián Álvarez,FW,21.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolás Domínguez,MF,22.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,27.7,7.3,145,19.77,92,13,11,15,12,2,20,2.73,14,1,1,1,3,0,
Opponent Total,,27.7,7.3,98,13.36,65,11,5,7,8,2,5,0.68,2,1,1,1,0,0,
