player,pos,age,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerialduels_won,aerialduels_lost,aerialduels_won%,matches
Lionel Messi,"FW,MF",33.0,7.3,0,0,0,4,29,3,19,3,6,0,0,0,46,1,8,11.1,Matches
Emiliano Martínez,GK,28.0,6.3,1,0,0,0,2,0,0,0,0,0,0,0,24,0,0,,Matches
Rodrigo De Paul,MF,26.0,5.5,1,0,0,11,17,0,4,8,10,0,0,0,42,1,2,33.3,Matches
Nicolás Otamendi,DF,32.0,5.3,2,0,0,8,7,0,0,5,5,0,0,0,22,19,5,79.2,Matches
Lautaro Martínez,FW,23.0,4.9,1,0,0,13,8,1,1,5,3,0,0,0,18,7,11,38.9,Matches
Giovani Lo Celso,MF,24.0,3.7,3,0,0,7,9,1,1,4,1,0,0,0,25,0,3,0.0,Matches
Guido Rodríguez,MF,26.0,4.7,1,0,0,10,6,0,0,11,8,0,0,0,37,3,6,33.3,Matches
Germán Pezzella,DF,29.0,4.5,1,0,0,3,2,0,0,7,0,0,0,0,20,14,3,82.4,Matches
Marcos Acuña,DF,29.0,4.0,1,0,0,9,10,0,8,6,7,0,0,0,29,3,4,42.9,Matches
Leandro Paredes,MF,26.0,3.9,2,0,0,9,8,0,1,1,5,0,0,0,27,1,0,100.0,Matches
Nahuel Molina,DF,23.0,3.6,0,0,0,3,3,0,1,7,2,0,0,0,23,1,1,50.0,Matches
Nicolás González,FW,22.0,3.4,1,0,0,6,8,1,1,6,4,0,0,0,19,13,5,72.2,Matches
Gonzalo Montiel,DF,24.0,3.8,2,0,0,9,2,0,2,8,4,0,0,0,21,2,1,66.7,Matches
Nicolás Tagliafico,DF,28.0,3.7,0,0,0,5,5,0,3,6,3,0,1,0,15,7,4,63.6,Matches
Cristian Romero,DF,22.0,2.9,0,0,0,3,3,0,0,4,3,0,0,0,21,4,2,66.7,Matches
Ángel Di María,"FW,MF",32.0,3.1,0,0,0,2,7,0,7,2,3,0,0,0,25,0,2,0.0,Matches
Sergio Agüero,FW,32.0,1.5,0,0,0,0,4,2,2,2,2,0,0,0,6,2,2,50.0,Matches
Papu Gómez,FW,32.0,1.4,0,0,0,0,1,0,1,1,3,1,0,0,7,0,1,0.0,Matches
Exequiel Palacios,MF,22.0,1.6,0,0,0,2,6,0,0,2,2,0,0,0,11,1,1,50.0,Matches
Franco Armani,GK,34.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Lucas Martínez Quarta,DF,24.0,1.0,1,0,0,2,0,0,0,0,1,0,0,0,5,4,3,57.1,Matches
Lisandro Martínez,DF,23.0,1.0,0,0,0,0,1,0,0,3,0,0,0,0,4,4,0,100.0,Matches
Ángel Correa,FW,25.0,0.8,0,0,0,0,4,0,1,0,1,0,0,0,9,0,1,0.0,Matches
Joaquín Correa,FW,26.0,0.9,1,0,0,2,2,0,1,2,0,0,0,0,3,0,3,0.0,Matches
Julián Álvarez,FW,21.0,0.4,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,,Matches
Nicolás Domínguez,MF,22.0,0.3,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,100.0,Matches
Squad Total,,27.7,7.3,18,0,0,98,129,8,53,93,74,1,1,0,471,88,68,56.4,
Opponent Total,,27.7,7.3,21,1,0,137,92,19,61,79,81,1,1,0,436,68,88,43.6,
