player,pos,age,90s,att,passtypes_live,passtypes_dead,passtypes_fk,passtypes_tb,passtypes_press,passtypes_sw,passtypes_crs,passtypes_ck,cornerkicks_in,cornerkicks_out,cornerkicks_str,height_ground,height_low,height_high,bodyparts_left,bodyparts_right,bodyparts_head,bodyparts_ti,bodyparts_other,outcomes_cmp,outcomes_off,outcomes_out,outcomes_int,outcomes_blocks,matches
Lionel Messi,"FW,MF",33.0,7.3,323,278,45,26,4,68,14,19,17,3,7,1,228,38,57,284,34,3,0,1,249,0,4,11,15,Matches
Emiliano Martínez,GK,28.0,6.3,163,110,53,17,0,9,4,0,0,0,0,0,66,10,87,19,108,0,0,27,111,0,6,3,1,Matches
Rodrigo De Paul,MF,26.0,5.5,247,218,29,13,3,34,13,4,13,2,0,0,192,22,33,4,233,4,3,2,211,1,4,3,3,Matches
Nicolás Otamendi,DF,32.0,5.3,199,183,16,16,0,16,4,0,0,0,0,0,164,14,21,31,155,6,0,0,175,0,2,2,4,Matches
Lautaro Martínez,FW,23.0,4.9,57,51,6,0,0,20,0,1,0,0,0,0,38,11,8,4,44,2,0,2,41,0,0,4,3,Matches
Giovani Lo Celso,MF,24.0,3.7,147,147,0,0,2,25,1,1,0,0,0,0,123,22,2,130,14,2,0,1,131,0,4,6,3,Matches
Guido Rodríguez,MF,26.0,4.7,240,230,10,10,0,36,6,0,0,0,0,0,195,16,29,26,200,11,0,1,216,1,3,6,1,Matches
Germán Pezzella,DF,29.0,4.5,190,187,3,3,1,18,0,0,0,0,0,0,156,18,16,18,165,3,0,0,179,0,1,1,1,Matches
Marcos Acuña,DF,29.0,4.0,203,177,26,4,0,29,6,8,0,0,0,0,139,36,28,159,17,3,22,0,173,0,2,7,1,Matches
Leandro Paredes,MF,26.0,3.9,210,187,23,21,0,18,8,1,1,0,0,0,167,22,21,15,189,5,1,0,196,0,2,2,3,Matches
Nahuel Molina,DF,23.0,3.6,146,115,31,2,0,6,1,1,0,0,0,0,90,36,20,9,98,9,29,0,122,0,1,4,3,Matches
Nicolás González,FW,22.0,3.4,74,73,1,0,0,22,1,1,0,0,0,0,46,17,11,55,5,7,1,1,49,0,2,2,5,Matches
Gonzalo Montiel,DF,24.0,3.8,166,143,23,3,0,27,1,2,0,0,0,0,116,32,18,6,135,3,20,0,142,0,1,5,1,Matches
Nicolás Tagliafico,DF,28.0,3.7,121,97,24,4,0,21,1,3,0,0,0,0,69,29,23,80,9,8,20,1,95,0,3,6,2,Matches
Cristian Romero,DF,22.0,2.9,116,102,14,14,0,13,4,0,0,0,0,0,89,15,12,6,105,3,0,0,105,0,2,0,3,Matches
Ángel Di María,"FW,MF",32.0,3.1,119,115,4,1,0,32,2,7,2,0,1,0,96,11,12,107,8,2,1,1,97,0,0,3,4,Matches
Sergio Agüero,FW,32.0,1.5,51,48,3,1,1,15,0,2,0,0,0,0,36,6,9,7,40,1,0,1,39,1,1,4,0,Matches
Papu Gómez,FW,32.0,1.4,87,87,0,0,0,4,0,1,0,0,0,0,79,5,3,16,70,1,0,0,81,1,0,1,2,Matches
Exequiel Palacios,MF,22.0,1.6,103,101,2,2,0,24,1,0,0,0,0,0,87,11,5,11,91,1,0,0,90,0,0,4,1,Matches
Franco Armani,GK,34.0,1.0,23,21,2,1,0,5,0,0,0,0,0,0,11,3,9,5,15,0,0,2,17,0,0,1,0,Matches
Lucas Martínez Quarta,DF,24.0,1.0,49,46,3,3,0,4,2,0,0,0,0,0,38,3,8,9,36,1,0,0,41,0,0,1,0,Matches
Lisandro Martínez,DF,23.0,1.0,95,93,2,2,0,12,0,0,0,0,0,0,86,3,6,75,18,1,0,0,90,0,1,0,1,Matches
Ángel Correa,FW,25.0,0.8,46,45,1,1,0,5,3,1,0,0,0,0,35,5,6,2,41,1,0,2,41,0,0,0,0,Matches
Joaquín Correa,FW,26.0,0.9,18,18,0,0,0,5,0,1,0,0,0,0,16,2,0,1,17,0,0,0,16,0,0,0,1,Matches
Julián Álvarez,FW,21.0,0.4,31,31,0,0,0,8,0,0,0,0,0,0,25,4,2,0,29,2,0,0,26,1,0,1,1,Matches
Nicolás Domínguez,MF,22.0,0.3,33,33,0,0,0,6,0,0,0,0,0,0,27,4,2,4,28,0,0,0,32,0,0,0,1,Matches
Squad Total,,27.7,7.3,3257,2936,321,144,11,482,72,53,33,5,8,1,2414,395,448,1083,1904,79,97,42,2765,5,39,77,60,
Opponent Total,,27.7,7.3,3299,2989,310,99,1,445,82,61,32,7,17,0,2417,339,543,935,2069,88,121,41,2733,16,41,91,86,
