player,pos,age,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches
Lionel Messi,"FW,MF",33.0,7.3,249,323,77.1,4417,1525,117,139,84.2,88,107,82.2,33,51,64.7,5,2.9,2.1,22,31,11,1,42,Matches
Emiliano Martínez,GK,28.0,6.3,111,163,68.1,3741,2449,15,15,100.0,54,55,98.2,41,91,45.1,0,0.0,0.0,0,5,0,0,0,Matches
Rodrigo De Paul,MF,26.0,5.5,211,247,85.4,4157,999,87,100,87.0,83,93,89.2,34,44,77.3,1,0.8,0.2,8,18,5,0,22,Matches
Nicolás Otamendi,DF,32.0,5.3,175,199,87.9,3621,1098,53,61,86.9,96,105,91.4,26,31,83.9,0,0.0,0.0,1,13,0,0,9,Matches
Lautaro Martínez,FW,23.0,4.9,41,57,71.9,555,22,25,27,92.6,12,19,63.2,2,6,33.3,0,0.0,0.0,1,2,0,0,0,Matches
Giovani Lo Celso,MF,24.0,3.7,131,147,89.1,2019,410,67,71,94.4,49,55,89.1,7,8,87.5,0,1.1,-1.1,4,6,4,0,12,Matches
Guido Rodríguez,MF,26.0,4.7,216,240,90.0,3842,920,107,112,95.5,85,97,87.6,22,28,78.6,0,0.0,0.0,1,18,0,0,8,Matches
Germán Pezzella,DF,29.0,4.5,179,190,94.2,3518,1166,65,67,97.0,91,96,94.8,21,24,87.5,0,0.3,-0.3,1,10,1,0,9,Matches
Marcos Acuña,DF,29.0,4.0,173,203,85.2,2946,1096,86,96,89.6,70,78,89.7,16,26,61.5,0,0.2,-0.2,4,9,7,2,12,Matches
Leandro Paredes,MF,26.0,3.9,196,210,93.3,4018,975,75,79,94.9,83,85,97.6,32,37,86.5,0,0.1,-0.1,3,16,4,1,10,Matches
Nahuel Molina,DF,23.0,3.6,122,146,83.6,1777,747,78,83,94.0,38,44,86.4,5,15,33.3,0,0.0,0.0,0,5,0,0,5,Matches
Nicolás González,FW,22.0,3.4,49,74,66.2,585,122,29,43,67.4,13,16,81.3,1,5,20.0,0,0.1,-0.1,3,1,2,0,2,Matches
Gonzalo Montiel,DF,24.0,3.8,142,166,85.5,2433,735,64,70,91.4,63,72,87.5,12,20,60.0,0,0.5,-0.5,2,3,0,0,5,Matches
Nicolás Tagliafico,DF,28.0,3.7,95,121,78.5,1629,705,43,47,91.5,45,61,73.8,5,9,55.6,0,0.0,0.0,2,8,2,1,11,Matches
Cristian Romero,DF,22.0,2.9,105,116,90.5,2341,749,31,31,100.0,52,54,96.3,22,28,78.6,0,0.0,0.0,0,3,0,0,2,Matches
Ángel Di María,"FW,MF",32.0,3.1,97,119,81.5,1456,397,52,60,86.7,32,41,78.0,6,9,66.7,1,1.1,-0.1,5,5,7,1,11,Matches
Sergio Agüero,FW,32.0,1.5,39,51,76.5,570,122,26,33,78.8,9,13,69.2,3,4,75.0,1,0.3,0.7,1,3,1,0,5,Matches
Papu Gómez,FW,32.0,1.4,81,87,93.1,1238,351,46,47,97.9,32,35,91.4,2,3,66.7,0,0.2,-0.2,1,8,1,0,5,Matches
Exequiel Palacios,MF,22.0,1.6,90,103,87.4,1378,308,47,53,88.7,35,38,92.1,4,7,57.1,0,0.0,0.0,1,5,1,0,6,Matches
Franco Armani,GK,34.0,1.0,17,23,73.9,455,187,2,2,100.0,10,11,90.9,5,10,50.0,0,0.0,0.0,0,0,0,0,0,Matches
Lucas Martínez Quarta,DF,24.0,1.0,41,49,83.7,938,240,7,8,87.5,29,33,87.9,5,8,62.5,0,0.0,0.0,0,3,0,0,1,Matches
Lisandro Martínez,DF,23.0,1.0,90,95,94.7,1723,488,29,32,90.6,50,50,100.0,10,12,83.3,0,0.0,0.0,0,1,0,0,2,Matches
Ángel Correa,FW,25.0,0.8,41,46,89.1,684,81,21,24,87.5,11,11,100.0,5,5,100.0,0,0.3,-0.3,2,2,4,0,4,Matches
Joaquín Correa,FW,26.0,0.9,16,18,88.9,181,16,10,11,90.9,4,4,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Julián Álvarez,FW,21.0,0.4,26,31,83.9,377,41,13,15,86.7,11,12,91.7,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
Nicolás Domínguez,MF,22.0,0.3,32,33,97.0,432,66,21,21,100.0,7,7,100.0,2,2,100.0,0,0.0,0.0,0,2,0,0,0,Matches
Squad Total,,27.7,7.3,2765,3257,84.9,51031,16015,1216,1347,90.3,1152,1292,89.2,321,483,66.5,8,8.1,-0.1,62,178,50,6,183,
Opponent Total,,27.7,7.3,2733,3299,82.8,51263,16071,1131,1263,89.5,1224,1359,90.1,329,554,59.4,2,3.6,-1.6,42,204,32,7,189,
