player,pos,age,90s,touches_touches,touches_def pen,touches_def 3rd,touches_mid 3rd,touches_att 3rd,touches_att pen,touches_live,dribbles_succ,dribbles_att,dribbles_succ%,dribbles_#pl,dribbles_megs,carries_carries,carries_totdist,carries_prgdist,carries_prog,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_targ,receiving_rec,receiving_rec%,receiving_prog,matches
Lionel Messi,"FW,MF",33.0,7.3,432,1,27,193,254,36,389,33,47,70.2,36,0,354,2085,1306,71,25,12,13,27,378,321,84.9,32,Matches
Emiliano Martínez,GK,28.0,6.3,171,156,171,0,0,0,122,0,0,,0,0,92,477,290,0,0,0,0,0,68,68,100.0,0,Matches
Rodrigo De Paul,MF,26.0,5.5,305,3,75,140,119,7,281,3,10,30.0,5,0,224,1265,670,29,10,1,3,7,226,202,89.4,13,Matches
Nicolás Otamendi,DF,32.0,5.3,258,43,144,130,6,3,242,0,0,,0,0,150,1158,777,16,2,0,1,0,164,163,99.4,1,Matches
Lautaro Martínez,FW,23.0,4.9,129,7,18,54,61,20,123,8,9,88.9,9,1,76,185,85,3,0,1,10,11,135,75,55.6,19,Matches
Giovani Lo Celso,MF,24.0,3.7,176,3,19,112,62,2,176,7,7,100.0,7,1,135,773,510,21,13,1,2,4,156,130,83.3,6,Matches
Guido Rodríguez,MF,26.0,4.7,290,18,95,174,28,1,282,1,1,100.0,1,0,179,703,303,7,1,0,0,3,208,196,94.2,3,Matches
Germán Pezzella,DF,29.0,4.5,224,32,129,102,5,2,222,1,1,100.0,1,0,141,778,341,6,2,0,1,1,169,167,98.8,0,Matches
Marcos Acuña,DF,29.0,4.0,242,8,78,96,82,8,218,5,9,55.6,5,0,184,794,498,20,4,1,4,4,170,156,91.8,7,Matches
Leandro Paredes,MF,26.0,3.9,245,13,70,157,33,2,225,0,1,0.0,0,0,148,540,274,8,5,0,1,4,173,168,97.1,3,Matches
Nahuel Molina,DF,23.0,3.6,191,12,76,81,48,3,160,2,6,33.3,2,0,97,386,183,6,5,1,1,6,112,101,90.2,7,Matches
Nicolás González,FW,22.0,3.4,139,7,29,47,73,22,138,3,8,37.5,3,0,80,326,166,11,3,4,11,5,116,86,74.1,20,Matches
Gonzalo Montiel,DF,24.0,3.8,196,13,70,84,48,3,174,0,0,,0,0,110,352,161,6,2,0,1,1,128,118,92.2,4,Matches
Nicolás Tagliafico,DF,28.0,3.7,151,11,48,75,37,2,128,1,3,33.3,2,0,72,322,223,8,4,0,2,2,97,87,89.7,6,Matches
Cristian Romero,DF,22.0,2.9,137,21,96,48,1,1,124,0,0,,0,0,83,396,160,1,0,0,2,1,85,84,98.8,1,Matches
Ángel Di María,"FW,MF",32.0,3.1,176,1,21,73,104,15,172,15,23,65.2,15,0,154,958,664,36,18,6,8,10,155,132,85.2,22,Matches
Sergio Agüero,FW,32.0,1.5,77,1,7,37,40,10,74,5,7,71.4,5,0,51,310,181,11,3,2,6,2,89,56,62.9,11,Matches
Papu Gómez,FW,32.0,1.4,105,2,15,64,40,4,105,3,7,42.9,3,0,87,565,354,16,6,1,1,1,93,89,95.7,7,Matches
Exequiel Palacios,MF,22.0,1.6,111,2,21,64,32,1,110,1,2,50.0,1,0,81,308,145,9,2,0,0,0,99,93,93.9,3,Matches
Franco Armani,GK,34.0,1.0,24,22,24,0,0,0,22,0,0,,0,0,16,45,19,0,0,0,0,0,18,18,100.0,0,Matches
Lucas Martínez Quarta,DF,24.0,1.0,56,8,23,34,2,0,54,0,1,0.0,0,0,39,265,93,3,1,0,0,0,43,41,95.3,0,Matches
Lisandro Martínez,DF,23.0,1.0,107,12,52,58,6,1,105,1,1,100.0,1,0,77,387,186,8,2,0,0,0,88,88,100.0,0,Matches
Ángel Correa,FW,25.0,0.8,58,0,6,23,33,6,58,2,6,33.3,3,0,43,193,120,8,3,0,1,2,54,45,83.3,6,Matches
Joaquín Correa,FW,26.0,0.9,27,1,6,9,14,5,27,1,2,50.0,1,0,23,194,87,5,2,2,2,1,31,20,64.5,8,Matches
Julián Álvarez,FW,21.0,0.4,39,0,2,19,20,4,39,1,1,100.0,1,0,28,107,61,3,1,2,0,1,32,30,93.8,3,Matches
Nicolás Domínguez,MF,22.0,0.3,36,0,5,21,11,1,36,0,0,,0,0,29,72,20,2,0,0,1,1,34,31,91.2,1,Matches
Squad Total,,27.7,7.3,4102,397,1327,1895,1159,159,3806,93,152,61.2,101,2,2753,13944,7877,314,114,34,71,94,3121,2765,88.6,183,
Opponent Total,,27.7,7.3,4024,427,1340,1938,988,94,3724,56,104,53.8,63,4,2662,13392,6999,266,81,10,70,76,3137,2733,87.1,189,
