player,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,matches
Lionel Messi,"FW,MF",33.0,7.3,4,25,9,36.0,3.41,1.23,0.12,0.33,21.7,8,1,1,2.8,2.0,0.08,1.2,1.0,Matches
Emiliano Martínez,GK,28.0,6.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rodrigo De Paul,MF,26.0,5.5,1,4,2,50.0,0.72,0.36,0.25,0.5,14.0,0,0,0,1.0,1.0,0.24,0.0,0.0,Matches
Nicolás Otamendi,DF,32.0,5.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lautaro Martínez,FW,23.0,4.9,3,15,6,40.0,3.03,1.21,0.2,0.5,12.0,0,0,0,4.5,4.5,0.31,-1.5,-1.5,Matches
Giovani Lo Celso,MF,24.0,3.7,0,1,0,0.0,0.27,0.0,0.0,,23.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Guido Rodríguez,MF,26.0,4.7,1,3,1,33.3,0.63,0.21,0.33,1.0,18.7,0,0,0,0.1,0.1,0.04,0.9,0.9,Matches
Germán Pezzella,DF,29.0,4.5,0,2,1,50.0,0.45,0.22,0.0,0.0,10.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Marcos Acuña,DF,29.0,4.0,0,3,2,66.7,0.75,0.5,0.0,0.0,20.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Leandro Paredes,MF,26.0,3.9,0,2,0,0.0,0.51,0.0,0.0,,23.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Nahuel Molina,DF,23.0,3.6,0,1,1,100.0,0.28,0.28,0.0,0.0,18.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Nicolás González,FW,22.0,3.4,0,11,5,45.5,3.21,1.46,0.0,0.0,12.6,0,0,0,1.6,1.6,0.15,-1.6,-1.6,Matches
Gonzalo Montiel,DF,24.0,3.8,0,1,0,0.0,0.27,0.0,0.0,,8.1,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches
Nicolás Tagliafico,DF,28.0,3.7,0,1,0,0.0,0.27,0.0,0.0,,5.8,0,0,0,0.2,0.2,0.24,-0.2,-0.2,Matches
Cristian Romero,DF,22.0,2.9,0,1,1,100.0,0.35,0.35,0.0,0.0,9.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Ángel Di María,"FW,MF",32.0,3.1,1,11,3,27.3,3.57,0.97,0.09,0.33,19.0,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches
Sergio Agüero,FW,32.0,1.5,0,4,1,25.0,2.73,0.68,0.0,0.0,9.8,0,0,0,0.7,0.7,0.18,-0.7,-0.7,Matches
Papu Gómez,FW,32.0,1.4,2,3,2,66.7,2.14,1.43,0.67,1.0,15.2,0,0,0,0.7,0.7,0.23,1.3,1.3,Matches
Exequiel Palacios,MF,22.0,1.6,0,1,0,0.0,0.62,0.0,0.0,,10.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Franco Armani,GK,34.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Martínez Quarta,DF,24.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lisandro Martínez,DF,23.0,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,4.2,0,0,0,0.2,0.2,0.24,-0.2,-0.2,Matches
Ángel Correa,FW,25.0,0.8,0,2,2,100.0,2.47,2.47,0.0,0.0,14.7,0,0,0,0.7,0.7,0.36,-0.7,-0.7,Matches
Joaquín Correa,FW,26.0,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Julián Álvarez,FW,21.0,0.4,0,1,1,100.0,2.57,2.57,0.0,0.0,9.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Nicolás Domínguez,MF,22.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,27.7,7.3,12,93,38,40.9,12.68,5.18,0.12,0.29,16.3,8,1,1,14.2,13.4,0.15,-2.2,-2.4,
Opponent Total,,27.7,7.3,3,60,17,28.3,8.18,2.32,0.05,0.18,17.7,5,0,1,4.8,4.4,0.07,-1.8,-1.4,
