player,pos,age,90s,sca_sca,sca_sca90,scatypes_passlive,scatypes_passdead,scatypes_drib,scatypes_sh,scatypes_fld,scatypes_def,gca_gca,gca_gca90,gcatypes_passlive,gcatypes_passdead,gcatypes_drib,gcatypes_sh,gcatypes_fld,gcatypes_def,matches
Adrian Jusino,DF,28.0,4.0,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Leonel Justiniano,MF,28.0,3.8,6,1.57,5,1,0,0,0,0,1,0.26,1,0,0,0,0,0,Matches
Erwin Saavedra,"MF,DF",24.0,3.5,6,1.72,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Roberto Fernández,"DF,MF",21.0,3.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Diego Bejarano,DF,29.0,3.0,2,0.67,1,0,0,1,0,0,1,0.33,0,0,0,1,0,0,Matches
Carlos Lampe,GK,33.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jairo Quinteros,DF,19.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ramiro Vaca,MF,21.0,3.0,6,2.01,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gilbert Álvarez,FW,28.0,2.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jeyson Chura,"FW,MF",18.0,1.9,5,2.68,4,0,0,1,0,0,1,0.54,1,0,0,0,0,0,Matches
Juan Carlos Arce,MF,35.0,1.7,1,0.57,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Boris Cespedes,MF,25.0,1.2,1,0.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rodrigo Ramallo,FW,30.0,1.5,2,1.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
José Sagredo,DF,26.0,1.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rubén Cordano,GK,22.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luis Haquín,DF,23.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Enrique Flores,"DF,MF",26.0,0.8,2,2.4,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Moisés Villarroel Angulo,MF,22.0,0.6,1,1.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jaume Cuéllar,"FW,MF",19.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Danny Bejarano,MF,27.0,1.0,1,0.99,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Henry Vaca,"MF,FW",23.0,0.8,2,2.4,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Erwin Sánchez,MF,28.0,0.4,1,2.31,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Diego Wayar,"DF,MF",27.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marcelo Martins Moreno,FW,33.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,26.3,4.0,37,9.25,29,1,2,3,1,1,3,0.75,2,0,0,1,0,0,
Opponent Total,,28.7,4.0,144,36.0,118,6,5,10,2,3,15,3.75,10,0,1,3,1,0,
