player,pos,age,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerialduels_won,aerialduels_lost,aerialduels_won%,matches
Adrian Jusino,DF,28.0,4.0,0,0,0,0,1,0,0,5,3,0,0,0,14,6,7,46.2,Matches
Leonel Justiniano,MF,28.0,3.8,0,0,0,9,2,0,2,8,4,0,0,0,25,5,3,62.5,Matches
Erwin Saavedra,"MF,DF",24.0,3.5,0,0,0,4,5,0,6,8,1,0,0,0,16,3,2,60.0,Matches
Roberto Fernández,"DF,MF",21.0,3.2,0,0,0,4,2,0,3,12,3,0,0,0,13,1,3,25.0,Matches
Diego Bejarano,DF,29.0,3.0,2,0,0,7,1,0,5,5,2,0,1,0,15,4,5,44.4,Matches
Carlos Lampe,GK,33.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,,Matches
Jairo Quinteros,DF,19.0,3.0,0,0,0,1,1,0,0,9,2,0,0,1,9,2,1,66.7,Matches
Ramiro Vaca,MF,21.0,3.0,1,0,0,3,1,0,3,5,2,0,0,0,23,0,4,0.0,Matches
Gilbert Álvarez,FW,28.0,2.4,0,0,0,2,3,2,2,1,0,0,0,0,2,0,7,0.0,Matches
Jeyson Chura,"FW,MF",18.0,1.9,1,0,0,4,1,0,0,2,1,0,0,0,9,0,7,0.0,Matches
Juan Carlos Arce,MF,35.0,1.7,0,0,0,1,2,1,4,1,1,0,0,0,8,1,1,50.0,Matches
Boris Cespedes,MF,25.0,1.2,0,0,0,2,2,0,0,5,1,0,0,0,2,2,0,100.0,Matches
Rodrigo Ramallo,FW,30.0,1.5,1,0,0,4,4,1,0,3,4,0,0,0,5,1,7,12.5,Matches
José Sagredo,DF,26.0,1.3,0,0,0,0,2,0,1,1,1,0,0,0,5,2,3,40.0,Matches
Rubén Cordano,GK,22.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
Luis Haquín,DF,23.0,1.0,0,0,0,1,0,0,0,2,2,0,0,0,4,1,0,100.0,Matches
Enrique Flores,"DF,MF",26.0,0.8,1,0,0,1,1,1,3,0,1,0,0,0,3,0,0,,Matches
Moisés Villarroel Angulo,MF,22.0,0.6,0,0,0,2,1,0,0,1,0,0,0,0,2,1,0,100.0,Matches
Jaume Cuéllar,"FW,MF",19.0,0.5,2,1,1,2,2,0,0,0,0,0,0,0,1,0,2,0.0,Matches
Danny Bejarano,MF,27.0,1.0,0,0,0,1,2,0,1,2,1,0,0,0,9,2,2,50.0,Matches
Henry Vaca,"MF,FW",23.0,0.8,1,0,0,1,3,0,0,0,0,0,0,0,5,0,0,,Matches
Erwin Sánchez,MF,28.0,0.4,1,0,0,2,1,0,1,0,1,0,0,0,2,0,1,0.0,Matches
Diego Wayar,"DF,MF",27.0,0.4,1,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0.0,Matches
Marcelo Martins Moreno,FW,33.0,0.3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0.0,Matches
Squad Total,,26.3,4.0,11,1,1,36,36,6,31,70,31,0,1,1,197,31,58,34.8,
Opponent Total,,28.7,4.0,4,0,0,38,35,9,89,64,47,1,1,0,288,58,31,65.2,
