player,pos,age,90s,att,passtypes_live,passtypes_dead,passtypes_fk,passtypes_tb,passtypes_press,passtypes_sw,passtypes_crs,passtypes_ck,cornerkicks_in,cornerkicks_out,cornerkicks_str,height_ground,height_low,height_high,bodyparts_left,bodyparts_right,bodyparts_head,bodyparts_ti,bodyparts_other,outcomes_cmp,outcomes_off,outcomes_out,outcomes_int,outcomes_blocks,matches
Adrian Jusino,DF,28.0,4.0,96,92,4,4,0,8,0,0,0,0,0,0,77,5,14,16,74,3,0,1,87,0,1,1,0,Matches
Leonel Justiniano,MF,28.0,3.8,134,132,2,2,0,35,2,2,0,0,0,0,108,12,14,10,118,1,0,1,122,0,1,0,4,Matches
Erwin Saavedra,"MF,DF",24.0,3.5,170,165,5,0,0,24,3,6,1,0,1,0,135,18,17,9,152,1,4,1,140,0,2,6,3,Matches
Roberto Fernández,"DF,MF",21.0,3.2,137,121,16,1,0,15,3,3,0,0,0,0,99,18,20,109,10,3,15,0,115,1,3,8,2,Matches
Diego Bejarano,DF,29.0,3.0,117,94,23,3,0,22,3,5,0,0,0,0,71,24,22,2,89,4,20,0,99,1,4,3,2,Matches
Carlos Lampe,GK,33.0,3.0,118,79,39,9,0,4,1,0,0,0,0,0,66,6,46,7,86,0,0,22,92,1,1,2,0,Matches
Jairo Quinteros,DF,19.0,3.0,85,83,2,2,0,9,7,0,0,0,0,0,58,7,20,9,75,1,0,0,67,0,1,3,1,Matches
Ramiro Vaca,MF,21.0,3.0,180,173,7,3,0,29,6,3,4,4,0,0,139,10,31,7,168,3,0,2,146,1,2,11,6,Matches
Gilbert Álvarez,FW,28.0,2.4,30,22,8,0,0,7,0,2,0,0,0,0,23,1,6,5,24,1,0,0,23,0,1,2,0,Matches
Jeyson Chura,"FW,MF",18.0,1.9,61,60,1,0,0,13,3,0,0,0,0,0,53,3,5,50,9,1,0,1,54,0,0,1,1,Matches
Juan Carlos Arce,MF,35.0,1.7,83,76,7,5,1,9,3,4,1,0,1,0,51,7,25,6,72,3,1,0,61,1,1,3,1,Matches
Boris Cespedes,MF,25.0,1.2,30,30,0,0,0,10,1,0,0,0,0,0,23,4,3,3,25,0,0,0,24,0,0,1,1,Matches
Rodrigo Ramallo,FW,30.0,1.5,37,33,4,1,0,5,2,0,0,0,0,0,25,6,6,3,31,1,0,1,29,0,0,3,1,Matches
José Sagredo,DF,26.0,1.3,38,33,5,2,0,8,0,1,0,0,0,0,24,3,11,26,7,1,3,0,29,0,2,2,0,Matches
Rubén Cordano,GK,22.0,1.0,37,12,25,4,0,2,2,0,0,0,0,0,5,2,30,2,28,0,0,5,14,0,1,2,0,Matches
Luis Haquín,DF,23.0,1.0,49,48,1,1,0,7,0,0,0,0,0,0,38,2,9,6,42,1,0,0,40,0,0,3,2,Matches
Enrique Flores,"DF,MF",26.0,0.8,27,19,8,1,0,4,0,3,1,1,0,0,18,1,8,20,1,0,6,0,20,0,0,0,2,Matches
Moisés Villarroel Angulo,MF,22.0,0.6,19,18,1,1,0,1,1,0,0,0,0,0,12,3,4,12,5,1,0,0,15,0,0,1,0,Matches
Jaume Cuéllar,"FW,MF",19.0,0.5,7,7,0,0,0,0,0,0,0,0,0,0,6,1,0,0,6,1,0,0,5,0,0,2,0,Matches
Danny Bejarano,MF,27.0,1.0,52,48,4,4,0,9,1,1,0,0,0,0,39,7,6,5,43,3,0,0,44,0,2,0,3,Matches
Henry Vaca,"MF,FW",23.0,0.8,18,15,3,1,0,3,0,0,0,0,0,0,13,3,2,15,1,1,1,0,11,0,0,3,1,Matches
Erwin Sánchez,MF,28.0,0.4,24,19,5,0,0,1,1,1,2,2,0,0,13,6,5,21,0,0,3,0,19,0,0,1,0,Matches
Diego Wayar,"DF,MF",27.0,0.4,10,10,0,0,0,4,0,0,0,0,0,0,8,1,1,0,10,0,0,0,8,0,2,0,0,Matches
Marcelo Martins Moreno,FW,33.0,0.3,8,7,1,0,0,0,0,0,0,0,0,0,7,1,0,0,8,0,0,0,8,0,0,0,0,Matches
Squad Total,,26.3,4.0,1567,1396,171,44,1,229,39,31,9,7,2,0,1111,151,305,343,1084,30,53,34,1272,5,24,58,30,
Opponent Total,,28.7,4.0,2801,2659,142,40,14,451,71,89,22,3,7,3,2125,333,343,872,1757,63,61,27,2492,8,28,62,47,
