player,pos,age,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches
Adrian Jusino,DF,28.0,4.0,87,96,90.6,1866,538,28,31,90.3,42,42,100.0,16,22,72.7,0,0.0,0.0,0,1,0,0,0,Matches
Leonel Justiniano,MF,28.0,3.8,122,134,91.0,2236,674,51,52,98.1,53,56,94.6,14,18,77.8,1,0.2,0.8,4,12,2,0,11,Matches
Erwin Saavedra,"MF,DF",24.0,3.5,140,170,82.4,2410,747,71,82,86.6,51,60,85.0,15,21,71.4,0,0.2,-0.2,2,13,2,0,15,Matches
Roberto Fernández,"DF,MF",21.0,3.2,115,137,83.9,1926,821,54,61,88.5,57,62,91.9,3,11,27.3,0,0.0,0.0,0,7,1,1,11,Matches
Diego Bejarano,DF,29.0,3.0,99,117,84.6,1563,634,60,62,96.8,34,42,81.0,4,9,44.4,0,0.0,0.0,0,3,1,0,7,Matches
Carlos Lampe,GK,33.0,3.0,92,118,78.0,2504,1258,18,18,100.0,41,41,100.0,33,59,55.9,0,0.0,0.0,0,0,0,0,0,Matches
Jairo Quinteros,DF,19.0,3.0,67,85,78.8,1498,560,21,23,91.3,34,36,94.4,12,26,46.2,0,0.0,0.0,0,2,0,0,4,Matches
Ramiro Vaca,MF,21.0,3.0,146,180,81.1,2658,776,65,74,87.8,56,64,87.5,20,32,62.5,0,0.0,0.0,1,13,3,1,12,Matches
Gilbert Álvarez,FW,28.0,2.4,23,30,76.7,322,42,15,18,83.3,8,12,66.7,0,0,,0,0.0,0.0,0,1,1,0,2,Matches
Jeyson Chura,"FW,MF",18.0,1.9,54,61,88.5,829,182,30,30,100.0,18,22,81.8,4,6,66.7,0,0.1,-0.1,2,3,0,0,1,Matches
Juan Carlos Arce,MF,35.0,1.7,61,83,73.5,1090,399,40,44,90.9,12,18,66.7,8,18,44.4,0,0.1,-0.1,1,12,2,0,11,Matches
Boris Cespedes,MF,25.0,1.2,24,30,80.0,441,117,12,13,92.3,8,10,80.0,4,5,80.0,0,0.0,0.0,1,3,0,0,2,Matches
Rodrigo Ramallo,FW,30.0,1.5,29,37,78.4,538,47,14,18,77.8,9,11,81.8,5,5,100.0,0,0.1,-0.1,2,1,0,0,2,Matches
José Sagredo,DF,26.0,1.3,29,38,76.3,475,260,18,20,90.0,9,12,75.0,2,6,33.3,0,0.0,0.0,0,1,0,0,1,Matches
Rubén Cordano,GK,22.0,1.0,14,37,37.8,583,343,1,1,100.0,5,6,83.3,8,30,26.7,0,0.0,0.0,0,1,0,0,0,Matches
Luis Haquín,DF,23.0,1.0,40,49,81.6,766,328,13,15,86.7,20,23,87.0,5,8,62.5,0,0.0,0.0,0,0,0,0,1,Matches
Enrique Flores,"DF,MF",26.0,0.8,20,27,74.1,343,128,8,8,100.0,9,13,69.2,2,3,66.7,0,0.0,0.0,1,1,2,2,0,Matches
Moisés Villarroel Angulo,MF,22.0,0.6,15,19,78.9,272,83,9,12,75.0,3,3,100.0,3,4,75.0,0,0.0,0.0,0,3,0,0,1,Matches
Jaume Cuéllar,"FW,MF",19.0,0.5,5,7,71.4,73,2,4,5,80.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Danny Bejarano,MF,27.0,1.0,44,52,84.6,861,153,18,21,85.7,19,19,100.0,7,9,77.8,0,0.0,0.0,0,0,0,0,3,Matches
Henry Vaca,"MF,FW",23.0,0.8,11,18,61.1,164,13,6,11,54.5,3,5,60.0,1,1,100.0,0,0.0,0.0,0,0,1,0,1,Matches
Erwin Sánchez,MF,28.0,0.4,19,24,79.2,342,71,8,9,88.9,9,10,90.0,2,5,40.0,0,0.0,0.0,1,0,0,0,2,Matches
Diego Wayar,"DF,MF",27.0,0.4,8,10,80.0,148,20,4,4,100.0,3,5,60.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
Marcelo Martins Moreno,FW,33.0,0.3,8,8,100.0,128,9,4,4,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,26.3,4.0,1272,1567,81.2,24036,8205,572,636,89.9,508,578,87.9,169,299,56.5,1,0.8,0.2,15,77,15,4,87,
Opponent Total,,28.7,4.0,2492,2801,89.0,46447,13858,1070,1139,93.9,1070,1168,91.6,298,395,75.4,5,8.2,-3.2,65,205,73,21,175,
