player,pos,age,90s,touches_touches,touches_def pen,touches_def 3rd,touches_mid 3rd,touches_att 3rd,touches_att pen,touches_live,dribbles_succ,dribbles_att,dribbles_succ%,dribbles_#pl,dribbles_megs,carries_carries,carries_totdist,carries_prgdist,carries_prog,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_targ,receiving_rec,receiving_rec%,receiving_prog,matches
Adrian Jusino,DF,28.0,4.0,140,48,106,37,4,3,136,0,0,,0,0,78,351,187,4,0,0,0,2,80,77,96.3,0,Matches
Leonel Justiniano,MF,28.0,3.8,159,11,49,101,29,1,158,3,4,75.0,3,0,125,770,405,14,7,1,0,4,113,104,92.0,3,Matches
Erwin Saavedra,"MF,DF",24.0,3.5,209,3,41,108,75,7,203,6,10,60.0,7,0,174,1016,491,21,3,2,7,3,191,166,86.9,7,Matches
Roberto Fernández,"DF,MF",21.0,3.2,192,17,77,91,48,1,176,4,11,36.4,6,0,138,910,544,21,9,0,5,8,142,124,87.3,5,Matches
Diego Bejarano,DF,29.0,3.0,146,14,42,66,51,8,123,1,1,100.0,1,0,80,308,175,10,6,0,1,3,91,79,86.8,3,Matches
Carlos Lampe,GK,33.0,3.0,137,128,137,0,0,0,98,0,0,,0,0,63,241,125,0,0,0,0,0,49,49,100.0,0,Matches
Jairo Quinteros,DF,19.0,3.0,111,41,85,34,0,0,109,1,2,50.0,1,0,72,514,279,4,0,0,0,0,69,67,97.1,0,Matches
Ramiro Vaca,MF,21.0,3.0,199,10,49,115,57,1,192,5,7,71.4,6,0,167,1043,554,24,8,0,0,1,160,146,91.3,12,Matches
Gilbert Álvarez,FW,28.0,2.4,45,1,4,22,23,5,37,0,1,0.0,1,1,30,168,48,3,2,2,4,4,69,29,42.0,9,Matches
Jeyson Chura,"FW,MF",18.0,1.9,85,5,15,41,34,3,84,3,4,75.0,3,0,70,338,165,8,1,0,7,6,94,65,69.1,13,Matches
Juan Carlos Arce,MF,35.0,1.7,101,3,19,52,38,3,96,3,5,60.0,3,0,81,438,280,17,3,1,3,3,88,80,90.9,8,Matches
Boris Cespedes,MF,25.0,1.2,43,5,15,27,5,1,43,0,0,,0,0,31,143,76,1,0,0,0,3,33,31,93.9,1,Matches
Rodrigo Ramallo,FW,30.0,1.5,55,3,8,30,18,3,52,2,2,100.0,2,0,41,111,47,3,1,0,2,3,63,34,54.0,10,Matches
José Sagredo,DF,26.0,1.3,52,14,25,21,8,0,48,1,3,33.3,1,0,30,114,76,2,2,0,0,0,30,29,96.7,0,Matches
Rubén Cordano,GK,22.0,1.0,42,40,42,0,0,0,17,0,0,,0,0,7,47,32,0,0,0,0,0,3,3,100.0,0,Matches
Luis Haquín,DF,23.0,1.0,52,7,40,14,0,0,51,0,0,,0,0,44,249,119,0,0,0,0,0,38,38,100.0,0,Matches
Enrique Flores,"DF,MF",26.0,0.8,39,1,10,13,17,2,32,2,5,40.0,2,0,26,160,91,3,0,1,2,1,28,22,78.6,4,Matches
Moisés Villarroel Angulo,MF,22.0,0.6,27,2,7,15,7,0,26,0,1,0.0,0,0,20,71,13,1,1,0,1,1,25,20,80.0,0,Matches
Jaume Cuéllar,"FW,MF",19.0,0.5,11,1,1,5,7,0,11,0,0,,0,0,9,85,34,2,1,0,1,1,17,9,52.9,0,Matches
Danny Bejarano,MF,27.0,1.0,65,5,29,30,9,1,63,0,0,,0,0,43,163,63,1,1,0,1,0,45,40,88.9,2,Matches
Henry Vaca,"MF,FW",23.0,0.8,39,0,8,11,24,6,37,4,6,66.7,4,0,32,136,70,4,2,0,3,6,32,25,78.1,5,Matches
Erwin Sánchez,MF,28.0,0.4,31,0,5,18,10,0,26,1,1,100.0,1,0,19,107,78,3,0,0,1,1,23,20,87.0,2,Matches
Diego Wayar,"DF,MF",27.0,0.4,13,2,4,7,2,0,13,0,0,,0,0,11,27,3,0,0,0,1,0,12,9,75.0,0,Matches
Marcelo Martins Moreno,FW,33.0,0.3,10,0,3,4,3,0,9,0,0,,0,0,7,31,19,1,0,0,1,1,13,6,46.2,3,Matches
Squad Total,,26.3,4.0,2003,361,821,862,469,45,1840,36,63,57.1,41,1,1398,7541,3974,147,47,7,40,51,1508,1272,84.4,87,
Opponent Total,,28.7,4.0,3231,211,872,1408,1157,192,3096,77,98,78.6,79,2,2333,12234,6565,287,83,34,34,35,2742,2492,90.9,175,
