player,pos,age,90s,tackles_tkl,tackles_tklw,tackles_def 3rd,tackles_mid 3rd,tackles_att 3rd,vsdribbles_tkl,vsdribbles_att,vsdribbles_tkl%,vsdribbles_past,pressures_press,pressures_succ,pressures_%,pressures_def 3rd,pressures_mid 3rd,pressures_att 3rd,blocks_blocks,blocks_sh,blocks_shsv,blocks_pass,int,tkl+int,clr,err,matches
Danilo,DF,29.0,6.4,5,3,2,3,0,0,4,0.0,4,48,13,27.1,15,26,7,8,1,1,7,12,17,18,0,Matches
Marquinhos,DF,26.0,6.0,4,4,2,2,0,0,5,0.0,5,32,11,34.4,21,9,2,4,2,0,2,0,4,20,0,Matches
Neymar,FW,28.0,6.0,3,2,0,1,2,0,2,0.0,2,77,28,36.4,9,32,36,1,0,0,1,3,6,1,0,Matches
Fred,MF,27.0,5.1,15,9,9,5,1,5,12,41.7,7,135,46,34.1,46,71,18,9,0,0,9,10,25,1,0,Matches
Casemiro,MF,28.0,5.3,20,16,11,9,0,2,15,13.3,13,102,39,38.2,44,43,15,8,1,0,7,13,33,19,0,Matches
Richarlison,"FW,MF",23.0,5.1,10,9,3,5,2,6,10,60.0,4,83,24,28.9,18,34,31,9,0,0,9,7,17,4,0,Matches
Thiago Silva,DF,36.0,5.0,4,2,2,1,1,1,6,16.7,5,19,11,57.9,12,6,1,5,4,0,1,9,13,15,0,Matches
Renan Lodi,DF,22.0,4.3,8,6,4,3,1,4,8,50.0,4,60,23,38.3,24,17,19,8,0,0,8,8,16,11,1,Matches
Ederson,GK,27.0,4.0,1,1,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,Matches
Lucas Paquetá,"MF,FW",23.0,3.9,15,11,4,8,3,3,5,60.0,2,71,27,38.0,21,38,12,4,0,0,4,6,21,6,0,Matches
Gabriel Jesus,"FW,MF",23.0,3.1,4,2,0,3,1,0,2,0.0,2,56,13,23.2,15,31,10,2,0,0,2,6,10,1,0,Matches
Everton Soares,"FW,MF",24.0,3.0,11,3,8,3,0,2,8,25.0,6,69,12,17.4,25,26,18,9,1,0,8,3,14,0,0,Matches
Éder Militão,DF,23.0,3.1,2,1,1,1,0,0,3,0.0,3,16,10,62.5,9,6,1,0,0,0,0,6,8,15,0,Matches
Roberto Firmino,"MF,FW",29.0,2.4,4,2,1,3,0,3,3,100.0,0,48,15,31.3,4,23,21,5,0,0,5,2,6,1,0,Matches
Fabinho,MF,27.0,2.1,11,6,2,6,3,6,8,75.0,2,33,12,36.4,13,15,5,3,0,0,3,1,12,7,0,Matches
Gabriel Barbosa,"FW,MF",24.0,2.1,0,0,0,0,0,0,3,0.0,3,41,8,19.5,5,18,18,0,0,0,0,0,0,1,0,Matches
Alex Sandro,DF,30.0,2.0,2,1,1,0,1,1,2,50.0,1,20,7,35.0,6,6,8,1,0,0,1,8,10,2,0,Matches
Alisson,GK,28.0,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Everton Ribeiro,"MF,FW",31.0,1.9,2,2,0,1,1,0,0,,0,35,6,17.1,10,13,12,3,0,0,3,4,6,0,0,Matches
Emerson,DF,22.0,1.2,4,3,3,1,0,1,4,25.0,3,18,7,38.9,10,4,4,4,0,0,4,2,6,8,0,Matches
Wéverton,GK,33.0,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Douglas Luiz,MF,22.0,0.7,1,1,1,0,0,1,1,100.0,0,7,3,42.9,3,3,1,0,0,0,0,0,1,3,0,Matches
Vinicius Júnior,"FW,MF",20.0,0.8,2,2,1,1,0,1,2,50.0,1,17,6,35.3,3,3,11,2,0,0,2,0,2,0,0,Matches
Squad Total,,27.3,7.0,128,86,56,56,16,36,103,35.0,67,987,321,32.5,313,424,250,85,9,1,76,100,228,133,1,
Opponent Total,,27.8,7.0,140,91,76,50,14,57,151,37.7,94,1300,336,25.8,512,535,253,110,22,1,88,107,247,154,1,
