player,pos,age,90s,sca_sca,sca_sca90,scatypes_passlive,scatypes_passdead,scatypes_drib,scatypes_sh,scatypes_fld,scatypes_def,gca_gca,gca_gca90,gcatypes_passlive,gcatypes_passdead,gcatypes_drib,gcatypes_sh,gcatypes_fld,gcatypes_def,matches
Danilo,DF,29.0,6.4,8,1.25,5,0,1,1,1,0,3,0.47,0,0,1,1,1,0,Matches
Marquinhos,DF,26.0,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Neymar,FW,28.0,6.0,41,6.83,20,7,7,1,5,1,6,1.0,3,1,2,0,0,0,Matches
Fred,MF,27.0,5.1,13,2.54,12,0,1,0,0,0,2,0.39,1,0,1,0,0,0,Matches
Casemiro,MF,28.0,5.3,8,1.51,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Richarlison,"FW,MF",23.0,5.1,14,2.73,5,0,4,3,0,2,3,0.59,1,0,0,2,0,0,Matches
Thiago Silva,DF,36.0,5.0,6,1.2,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Renan Lodi,DF,22.0,4.3,4,0.94,3,0,0,0,1,0,1,0.23,1,0,0,0,0,0,Matches
Ederson,GK,27.0,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Paquetá,"MF,FW",23.0,3.9,12,3.05,11,0,0,0,0,1,1,0.25,1,0,0,0,0,0,Matches
Gabriel Jesus,"FW,MF",23.0,3.1,9,2.91,7,0,2,0,0,0,1,0.32,1,0,0,0,0,0,Matches
Everton Soares,"FW,MF",24.0,3.0,6,2.01,4,1,1,0,0,0,1,0.34,0,1,0,0,0,0,Matches
Éder Militão,DF,23.0,3.1,1,0.32,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Roberto Firmino,"MF,FW",29.0,2.4,4,1.67,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Fabinho,MF,27.0,2.1,1,0.47,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Barbosa,"FW,MF",24.0,2.1,1,0.47,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alex Sandro,DF,30.0,2.0,5,2.47,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Alisson,GK,28.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Everton Ribeiro,"MF,FW",31.0,1.9,5,2.66,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Emerson,DF,22.0,1.2,1,0.8,0,0,0,0,1,0,1,0.8,0,0,0,0,1,0,Matches
Wéverton,GK,33.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Douglas Luiz,MF,22.0,0.7,2,2.86,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Vinicius Júnior,"FW,MF",20.0,0.8,2,2.65,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,27.3,7.0,144,20.57,98,9,16,6,11,4,19,2.71,8,2,4,3,2,0,
Opponent Total,,27.8,7.0,67,9.57,45,7,3,5,4,3,6,0.86,6,0,0,0,0,0,
