player,pos,age,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerialduels_won,aerialduels_lost,aerialduels_won%,matches
Danilo,DF,29.0,6.4,0,0,0,4,3,0,3,12,3,1,0,0,37,9,3,75.0,Matches
Marquinhos,DF,26.0,6.0,1,0,0,4,4,0,1,0,4,0,0,0,37,11,8,57.9,Matches
Neymar,FW,28.0,6.0,1,0,0,11,35,2,16,3,2,0,0,0,38,6,8,42.9,Matches
Fred,MF,27.0,5.1,1,0,0,6,5,0,2,10,9,0,0,0,62,1,3,25.0,Matches
Casemiro,MF,28.0,5.3,0,0,0,11,3,0,2,13,16,0,0,0,68,20,13,60.6,Matches
Richarlison,"FW,MF",23.0,5.1,0,0,0,7,18,4,12,7,9,0,0,0,32,12,11,52.2,Matches
Thiago Silva,DF,36.0,5.0,0,0,0,2,2,0,0,9,2,0,0,0,31,12,3,80.0,Matches
Renan Lodi,DF,22.0,4.3,2,0,0,10,8,0,12,8,6,0,0,0,26,3,5,37.5,Matches
Ederson,GK,27.0,4.0,1,0,0,0,1,0,0,0,1,0,0,0,8,0,0,,Matches
Lucas Paquetá,"MF,FW",23.0,3.9,1,0,0,10,12,2,3,6,11,0,0,0,31,8,3,72.7,Matches
Gabriel Jesus,"FW,MF",23.0,3.1,1,1,0,9,6,0,6,6,2,0,0,0,23,4,5,44.4,Matches
Everton Soares,"FW,MF",24.0,3.0,0,0,0,3,3,0,7,3,3,0,0,0,19,1,8,11.1,Matches
Éder Militão,DF,23.0,3.1,0,0,0,2,3,0,0,6,1,0,0,0,10,8,2,80.0,Matches
Roberto Firmino,"MF,FW",29.0,2.4,0,0,0,4,4,0,0,2,2,0,0,0,14,3,4,42.9,Matches
Fabinho,MF,27.0,2.1,0,0,0,1,2,0,1,1,6,0,0,0,22,3,3,50.0,Matches
Gabriel Barbosa,"FW,MF",24.0,2.1,1,0,0,2,2,1,0,0,0,0,0,0,4,0,3,0.0,Matches
Alex Sandro,DF,30.0,2.0,1,0,0,4,1,0,7,8,1,0,0,0,12,2,0,100.0,Matches
Alisson,GK,28.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
Everton Ribeiro,"MF,FW",31.0,1.9,1,0,0,4,4,0,4,4,2,0,0,0,8,1,3,25.0,Matches
Emerson,DF,22.0,1.2,0,0,0,2,4,0,1,2,3,0,0,0,16,5,2,71.4,Matches
Wéverton,GK,33.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
Douglas Luiz,MF,22.0,0.7,0,0,0,1,1,0,0,0,1,0,0,0,6,1,1,50.0,Matches
Vinicius Júnior,"FW,MF",20.0,0.8,1,0,0,3,3,0,0,0,2,0,0,0,4,0,0,,Matches
Squad Total,,27.3,7.0,12,1,0,92,105,9,77,100,86,1,0,0,517,110,88,55.6,
Opponent Total,,27.8,7.0,20,0,0,109,87,10,49,107,91,0,1,0,461,88,110,44.4,
