player,pos,age,90s,att,passtypes_live,passtypes_dead,passtypes_fk,passtypes_tb,passtypes_press,passtypes_sw,passtypes_crs,passtypes_ck,cornerkicks_in,cornerkicks_out,cornerkicks_str,height_ground,height_low,height_high,bodyparts_left,bodyparts_right,bodyparts_head,bodyparts_ti,bodyparts_other,outcomes_cmp,outcomes_off,outcomes_out,outcomes_int,outcomes_blocks,matches
Danilo,DF,29.0,6.4,380,326,54,4,1,53,3,3,0,0,0,0,263,73,44,28,288,8,50,2,328,2,5,13,11,Matches
Marquinhos,DF,26.0,6.0,356,348,8,8,0,24,4,1,0,0,0,0,299,26,31,77,264,9,0,3,330,0,2,5,1,Matches
Neymar,FW,28.0,6.0,311,252,59,25,4,68,14,16,30,13,10,1,189,50,72,41,257,5,2,1,227,0,3,15,11,Matches
Fred,MF,27.0,5.1,369,356,13,10,1,52,4,2,0,0,0,0,314,34,21,256,101,7,3,1,330,1,0,6,7,Matches
Casemiro,MF,28.0,5.3,351,344,7,7,2,62,10,2,0,0,0,0,234,52,65,36,280,21,0,5,298,0,3,14,6,Matches
Richarlison,"FW,MF",23.0,5.1,114,107,7,1,1,31,0,12,0,0,0,0,76,18,20,26,74,6,2,0,77,0,3,5,8,Matches
Thiago Silva,DF,36.0,5.0,300,290,10,9,0,26,8,0,0,0,0,0,259,21,20,32,257,6,1,1,290,0,2,2,1,Matches
Renan Lodi,DF,22.0,4.3,245,204,41,9,0,18,3,12,0,0,0,0,161,44,40,189,15,8,32,1,209,1,2,6,12,Matches
Ederson,GK,27.0,4.0,91,58,33,10,0,12,4,0,0,0,0,0,59,2,30,52,21,0,0,14,70,0,2,1,0,Matches
Lucas Paquetá,"MF,FW",23.0,3.9,196,190,6,3,2,44,1,3,0,0,0,0,151,24,21,152,28,5,3,3,157,3,3,6,8,Matches
Gabriel Jesus,"FW,MF",23.0,3.1,117,111,6,1,0,35,2,6,0,0,0,0,89,16,12,18,89,3,3,1,95,0,0,6,5,Matches
Everton Soares,"FW,MF",24.0,3.0,84,80,4,2,0,20,3,7,2,0,1,0,68,2,14,6,76,1,0,0,66,0,0,3,2,Matches
Éder Militão,DF,23.0,3.1,204,198,6,5,1,12,2,0,0,0,0,0,176,13,15,11,191,0,1,0,191,0,0,4,2,Matches
Roberto Firmino,"MF,FW",29.0,2.4,76,76,0,0,1,26,0,0,0,0,0,0,63,5,8,18,54,2,0,0,64,0,0,5,3,Matches
Fabinho,MF,27.0,2.1,163,156,7,6,0,32,2,1,1,0,1,0,127,15,21,16,138,6,0,1,153,0,1,1,2,Matches
Gabriel Barbosa,"FW,MF",24.0,2.1,37,35,2,0,0,12,0,0,0,0,0,0,30,5,2,31,5,1,0,0,31,0,0,3,0,Matches
Alex Sandro,DF,30.0,2.0,139,123,16,4,0,17,0,7,0,0,0,0,100,26,13,112,11,3,12,0,120,0,0,1,4,Matches
Alisson,GK,28.0,2.0,46,40,6,0,0,9,1,0,0,0,0,0,36,2,8,2,33,0,0,10,39,0,1,0,0,Matches
Everton Ribeiro,"MF,FW",31.0,1.9,80,76,4,3,0,24,1,4,1,0,1,0,56,14,10,64,12,3,0,0,62,0,1,3,4,Matches
Emerson,DF,22.0,1.2,71,59,12,4,0,9,0,1,0,0,0,0,53,12,6,7,50,5,8,0,63,0,0,2,0,Matches
Wéverton,GK,33.0,1.0,13,10,3,1,0,1,0,0,0,0,0,0,9,0,4,0,11,0,0,1,11,0,0,0,0,Matches
Douglas Luiz,MF,22.0,0.7,47,47,0,0,0,9,1,0,0,0,0,0,40,2,5,6,39,1,0,0,45,0,0,0,0,Matches
Vinicius Júnior,"FW,MF",20.0,0.8,23,22,1,1,0,6,0,0,0,0,0,0,19,1,3,2,19,1,0,1,18,0,0,4,0,Matches
Squad Total,,27.3,7.0,3813,3508,305,113,13,602,63,77,34,13,13,1,2871,457,485,1182,2313,101,117,45,3274,7,28,105,87,
Opponent Total,,27.8,7.0,2855,2541,314,99,5,406,70,49,25,4,14,1,1928,379,548,821,1733,83,119,32,2287,8,41,97,77,
