player,pos,age,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches
Danilo,DF,29.0,6.4,328,380,86.3,5864,1834,136,147,92.5,160,177,90.4,28,42,66.7,0,0.1,-0.1,2,30,2,2,26,Matches
Marquinhos,DF,26.0,6.0,330,356,92.7,7161,2367,75,77,97.4,195,201,97.0,53,69,76.8,0,0.0,0.0,0,27,1,0,21,Matches
Neymar,FW,28.0,6.0,227,311,73.0,3878,1277,116,132,87.9,67,92,72.8,32,63,50.8,3,3.5,-0.5,20,27,16,1,36,Matches
Fred,MF,27.0,5.1,330,369,89.4,5744,1747,147,160,91.9,131,138,94.9,39,47,83.0,1,0.2,0.8,4,45,5,0,32,Matches
Casemiro,MF,28.0,5.3,298,351,84.9,5296,1555,135,146,92.5,127,145,87.6,32,49,65.3,0,0.1,-0.1,3,34,6,0,35,Matches
Richarlison,"FW,MF",23.0,5.1,77,114,67.5,1056,212,42,57,73.7,28,38,73.7,2,7,28.6,1,1.3,-0.3,5,4,2,0,6,Matches
Thiago Silva,DF,36.0,5.0,290,300,96.7,5883,2256,92,94,97.9,150,153,98.0,40,43,93.0,0,0.2,-0.2,1,16,1,0,20,Matches
Renan Lodi,DF,22.0,4.3,209,245,85.3,3544,892,96,103,93.2,101,111,91.0,11,22,50.0,1,0.6,0.4,3,4,7,3,9,Matches
Ederson,GK,27.0,4.0,70,91,76.9,2044,1165,7,7,100.0,38,39,97.4,24,44,54.5,0,0.0,0.0,0,2,0,0,0,Matches
Lucas Paquetá,"MF,FW",23.0,3.9,157,196,80.1,2571,740,77,86,89.5,57,72,79.2,13,18,72.2,0,1.3,-1.3,6,21,5,0,20,Matches
Gabriel Jesus,"FW,MF",23.0,3.1,95,117,81.2,1393,288,58,69,84.1,28,32,87.5,5,6,83.3,1,1.5,-0.5,5,4,5,1,8,Matches
Everton Soares,"FW,MF",24.0,3.0,66,84,78.6,1106,191,33,36,91.7,24,29,82.8,8,15,53.3,1,0.1,0.9,4,2,1,0,4,Matches
Éder Militão,DF,23.0,3.1,191,204,93.6,4303,1178,33,35,94.3,127,129,98.4,29,36,80.6,0,0.2,-0.2,1,12,2,0,5,Matches
Roberto Firmino,"MF,FW",29.0,2.4,64,76,84.2,981,311,38,42,90.5,24,28,85.7,2,2,100.0,0,0.7,-0.7,2,6,3,0,10,Matches
Fabinho,MF,27.0,2.1,153,163,93.9,2727,639,66,69,95.7,72,74,97.3,13,16,81.3,0,0.0,0.0,0,9,1,0,10,Matches
Gabriel Barbosa,"FW,MF",24.0,2.1,31,37,83.8,476,43,11,15,73.3,15,16,93.8,2,3,66.7,0,0.2,-0.2,1,3,0,0,1,Matches
Alex Sandro,DF,30.0,2.0,120,139,86.3,2038,548,54,59,91.5,59,65,90.8,6,11,54.5,0,0.1,-0.1,3,10,2,0,10,Matches
Alisson,GK,28.0,2.0,39,46,84.8,782,412,11,11,100.0,23,23,100.0,5,12,41.7,0,0.0,0.0,0,0,0,0,0,Matches
Everton Ribeiro,"MF,FW",31.0,1.9,62,80,77.5,974,266,36,41,87.8,22,27,81.5,4,9,44.4,0,0.1,-0.1,2,5,3,0,9,Matches
Emerson,DF,22.0,1.2,63,71,88.7,906,259,37,42,88.1,19,22,86.4,4,4,100.0,0,0.0,0.0,0,3,0,0,3,Matches
Wéverton,GK,33.0,1.0,11,13,84.6,253,159,4,4,100.0,4,4,100.0,3,5,60.0,0,0.0,0.0,0,0,0,0,0,Matches
Douglas Luiz,MF,22.0,0.7,45,47,95.7,872,181,16,17,94.1,23,23,100.0,6,7,85.7,0,0.1,-0.1,1,8,0,0,1,Matches
Vinicius Júnior,"FW,MF",20.0,0.8,18,23,78.3,200,74,14,18,77.8,3,3,100.0,0,0,,0,0.1,-0.1,1,0,3,0,4,Matches
Squad Total,,27.3,7.0,3274,3813,85.9,60052,18594,1334,1467,90.9,1497,1641,91.2,361,530,68.1,8,10.2,-2.2,64,272,65,7,270,
Opponent Total,,27.8,7.0,2287,2855,80.1,44299,14454,960,1075,89.3,954,1086,87.8,317,555,57.1,3,2.4,0.6,30,140,27,6,145,
