player,pos,age,90s,touches_touches,touches_def pen,touches_def 3rd,touches_mid 3rd,touches_att 3rd,touches_att pen,touches_live,dribbles_succ,dribbles_att,dribbles_succ%,dribbles_#pl,dribbles_megs,carries_carries,carries_totdist,carries_prgdist,carries_prog,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_targ,receiving_rec,receiving_rec%,receiving_prog,matches
Danilo,DF,29.0,6.4,449,18,118,244,111,6,396,6,8,75.0,7,2,268,1221,752,24,9,1,5,3,301,292,97.0,9,Matches
Marquinhos,DF,26.0,6.0,387,50,204,195,9,1,379,1,1,100.0,1,0,296,1707,940,24,2,0,1,0,317,311,98.1,0,Matches
Neymar,FW,28.0,6.0,438,0,17,201,273,39,389,30,59,50.8,35,7,337,2032,1233,57,24,6,23,26,423,339,80.1,71,Matches
Fred,MF,27.0,5.1,425,6,101,270,77,3,413,6,11,54.5,8,2,305,1208,648,25,9,1,6,4,319,307,96.2,9,Matches
Casemiro,MF,28.0,5.3,426,11,121,241,82,4,418,1,3,33.3,1,1,227,909,540,21,7,0,1,3,287,274,95.5,9,Matches
Richarlison,"FW,MF",23.0,5.1,198,4,30,72,106,42,192,10,11,90.9,10,0,125,768,454,24,4,4,15,7,192,122,63.5,39,Matches
Thiago Silva,DF,36.0,5.0,331,46,169,182,5,1,321,0,0,,0,0,233,1221,799,12,0,0,0,0,258,253,98.1,0,Matches
Renan Lodi,DF,22.0,4.3,292,12,94,113,99,5,252,5,5,100.0,5,0,178,862,436,24,8,1,3,4,198,183,92.4,12,Matches
Ederson,GK,27.0,4.0,96,86,95,1,0,0,64,0,0,,0,0,44,233,181,0,0,0,0,0,40,39,97.5,0,Matches
Lucas Paquetá,"MF,FW",23.0,3.9,258,3,36,155,80,8,254,3,5,60.0,3,0,175,682,339,16,9,0,8,11,211,185,87.7,24,Matches
Gabriel Jesus,"FW,MF",23.0,3.1,148,1,16,58,85,15,142,5,7,71.4,5,1,112,517,248,14,5,2,7,7,137,103,75.2,29,Matches
Everton Soares,"FW,MF",24.0,3.0,131,2,29,42,68,12,127,4,13,30.8,5,0,93,477,301,14,3,2,3,3,110,80,72.7,14,Matches
Éder Militão,DF,23.0,3.1,228,20,126,112,8,3,222,0,0,,0,0,167,1126,583,8,1,0,0,0,192,187,97.4,0,Matches
Roberto Firmino,"MF,FW",29.0,2.4,104,1,15,49,43,6,104,3,3,100.0,3,0,74,334,161,9,1,0,8,3,102,76,74.5,16,Matches
Fabinho,MF,27.0,2.1,189,5,52,124,28,2,183,4,5,80.0,4,1,120,578,288,7,0,0,2,1,143,139,97.2,4,Matches
Gabriel Barbosa,"FW,MF",24.0,2.1,48,1,3,20,28,5,46,1,2,50.0,1,0,31,156,62,3,1,0,2,1,61,39,63.9,8,Matches
Alex Sandro,DF,30.0,2.0,157,1,39,73,55,6,141,1,3,33.3,1,0,108,494,228,18,2,1,0,2,121,114,94.2,8,Matches
Alisson,GK,28.0,2.0,49,46,49,0,0,0,43,0,0,,0,0,34,125,73,0,0,0,0,0,29,29,100.0,0,Matches
Everton Ribeiro,"MF,FW",31.0,1.9,99,0,5,40,65,7,97,4,9,44.4,4,1,73,394,241,9,3,0,0,4,83,77,92.8,11,Matches
Emerson,DF,22.0,1.2,91,4,40,29,26,0,81,0,0,,0,0,49,241,141,8,3,0,1,2,53,48,90.6,1,Matches
Wéverton,GK,33.0,1.0,13,11,13,0,0,0,10,0,0,,0,0,8,24,8,0,0,0,0,0,5,5,100.0,0,Matches
Douglas Luiz,MF,22.0,0.7,53,2,18,33,10,1,53,0,0,,0,0,40,203,105,4,1,0,0,2,43,43,100.0,1,Matches
Vinicius Júnior,"FW,MF",20.0,0.8,38,0,3,10,27,4,37,1,6,16.7,1,0,30,129,89,4,1,0,3,0,34,29,85.3,5,Matches
Squad Total,,27.3,7.0,4648,330,1393,2264,1285,170,4364,85,151,56.3,94,15,3127,15641,8850,325,93,18,88,83,3659,3274,89.5,270,
Opponent Total,,27.8,7.0,3670,429,1320,1670,875,65,3368,65,103,63.1,67,0,2433,10214,5030,162,56,4,85,92,2713,2287,84.3,145,
