player,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,matches
Danilo,DF,29.0,6.4,0,7,2,28.6,1.1,0.31,0.0,0.0,22.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Marquinhos,DF,26.0,6.0,1,1,1,100.0,0.17,0.17,1.0,1.0,4.0,0,0,0,0.4,0.4,0.39,0.6,0.6,Matches
Neymar,FW,28.0,6.0,2,22,6,27.3,3.67,1.0,0.05,0.17,18.1,5,1,1,4.8,4.0,0.18,-2.8,-3.0,Matches
Fred,MF,27.0,5.1,0,2,0,0.0,0.39,0.0,0.0,,27.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Casemiro,MF,28.0,5.3,1,8,5,62.5,1.51,0.94,0.13,0.2,23.2,1,0,0,0.4,0.4,0.05,0.6,0.6,Matches
Richarlison,"FW,MF",23.0,5.1,1,18,7,38.9,3.51,1.37,0.06,0.14,13.2,0,0,0,2.2,2.2,0.13,-1.2,-1.2,Matches
Thiago Silva,DF,36.0,5.0,0,1,0,0.0,0.2,0.0,0.0,,9.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Renan Lodi,DF,22.0,4.3,0,1,0,0.0,0.23,0.0,0.0,,10.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Ederson,GK,27.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Paquetá,"MF,FW",23.0,3.9,2,7,3,42.9,1.78,0.76,0.29,0.67,18.5,0,0,0,0.7,0.7,0.1,1.3,1.3,Matches
Gabriel Jesus,"FW,MF",23.0,3.1,0,2,0,0.0,0.65,0.0,0.0,,18.5,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
Everton Soares,"FW,MF",24.0,3.0,0,4,3,75.0,1.34,1.01,0.0,0.0,17.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Éder Militão,DF,23.0,3.1,1,3,1,33.3,0.97,0.32,0.33,1.0,10.0,0,0,0,0.5,0.5,0.15,0.5,0.5,Matches
Roberto Firmino,"MF,FW",29.0,2.4,1,4,3,75.0,1.67,1.25,0.25,0.33,8.7,0,0,0,1.2,1.2,0.31,-0.2,-0.2,Matches
Fabinho,MF,27.0,2.1,0,1,0,0.0,0.47,0.0,0.0,,25.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Gabriel Barbosa,"FW,MF",24.0,2.1,1,4,3,75.0,1.89,1.42,0.25,0.33,8.5,0,0,0,1.2,1.2,0.3,-0.2,-0.2,Matches
Alex Sandro,DF,30.0,2.0,1,3,1,33.3,1.48,0.49,0.33,1.0,16.7,0,0,0,0.5,0.5,0.16,0.5,0.5,Matches
Alisson,GK,28.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Everton Ribeiro,"MF,FW",31.0,1.9,1,1,1,100.0,0.53,0.53,1.0,1.0,7.0,0,0,0,0.6,0.6,0.56,0.4,0.4,Matches
Emerson,DF,22.0,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Wéverton,GK,33.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Douglas Luiz,MF,22.0,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Vinicius Júnior,"FW,MF",20.0,0.8,0,1,0,0.0,1.32,0.0,0.0,,8.2,0,0,0,0.3,0.3,0.33,-0.3,-0.3,Matches
Squad Total,,27.3,7.0,12,90,36,40.0,12.86,5.14,0.12,0.31,16.5,6,1,1,13.4,12.7,0.15,-1.4,-1.7,
Opponent Total,,27.8,7.0,3,45,18,40.0,6.43,2.57,0.07,0.17,20.1,2,0,0,4.3,4.3,0.1,-1.3,-1.3,
