player,pos,age,playingtime_mp,playingtime_starts,playingtime_min,playingtime_90s,performance_gls,performance_ast,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per90minutes_gls,per90minutes_ast,per90minutes_g+a,per90minutes_g-pk,per90minutes_g+a-pk,expected_xg,expected_npxg,expected_xa,expected_npxg+xa,per90minutes_xg,per90minutes_xa,per90minutes_xg+xa,per90minutes_npxg,per90minutes_npxg+xa,matches
Danilo,DF,29.0,7,6,575.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.05,0.02,0.06,0.05,0.06,Matches
Marquinhos,DF,26.0,6,6,540.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.17,0.0,0.17,0.17,0.17,0.4,0.4,0.0,0.4,0.07,0.0,0.07,0.07,0.07,Matches
Neymar,FW,28.0,6,6,540.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.33,0.5,0.83,0.17,0.67,4.8,4.0,3.5,7.5,0.8,0.58,1.37,0.67,1.25,Matches
Fred,MF,27.0,6,6,460.0,5.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0,0.2,0.1,0.1,0.2,0.3,0.01,0.04,0.05,0.01,0.05,Matches
Casemiro,MF,28.0,6,5,478.0,5.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,0.4,0.4,0.1,0.5,0.08,0.01,0.09,0.08,0.09,Matches
Richarlison,"FW,MF",23.0,7,5,461.0,5.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.39,0.2,0.39,2.2,2.2,1.3,3.5,0.44,0.25,0.69,0.44,0.69,Matches
Thiago Silva,DF,36.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.01,0.04,0.05,0.01,0.05,Matches
Renan Lodi,DF,22.0,7,5,384.0,4.3,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.23,0.23,0.0,0.23,0.0,0.0,0.6,0.6,0.01,0.13,0.14,0.01,0.14,Matches
Ederson,GK,27.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Paquetá,"MF,FW",23.0,6,4,354.0,3.9,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.51,0.0,0.51,0.51,0.51,0.7,0.7,1.3,2.0,0.17,0.33,0.51,0.17,0.51,Matches
Gabriel Jesus,"FW,MF",23.0,4,4,278.0,3.1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.32,0.32,0.0,0.32,0.3,0.3,1.5,1.8,0.1,0.49,0.59,0.1,0.59,Matches
Everton Soares,"FW,MF",24.0,6,4,268.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,0.0,0.34,0.3,0.3,0.1,0.4,0.1,0.05,0.15,0.1,0.15,Matches
Éder Militão,DF,23.0,5,3,277.0,3.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.32,0.5,0.5,0.2,0.7,0.15,0.07,0.22,0.15,0.22,Matches
Roberto Firmino,"MF,FW",29.0,5,2,216.0,2.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,1.2,1.2,0.7,1.9,0.51,0.29,0.81,0.51,0.81,Matches
Fabinho,MF,27.0,4,2,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Gabriel Barbosa,"FW,MF",24.0,5,2,190.0,2.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.47,0.0,0.47,0.47,0.47,1.2,1.2,0.2,1.4,0.58,0.09,0.66,0.58,0.66,Matches
Alex Sandro,DF,30.0,3,2,182.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.49,0.0,0.49,0.49,0.49,0.5,0.5,0.1,0.5,0.23,0.04,0.27,0.23,0.27,Matches
Alisson,GK,28.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Everton Ribeiro,"MF,FW",31.0,5,1,169.0,1.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.53,0.0,0.53,0.53,0.53,0.6,0.6,0.1,0.6,0.3,0.03,0.33,0.3,0.33,Matches
Emerson,DF,22.0,3,1,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wéverton,GK,33.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
