player,pos,age,90s,tackles_tkl,tackles_tklw,tackles_def 3rd,tackles_mid 3rd,tackles_att 3rd,vsdribbles_tkl,vsdribbles_att,vsdribbles_tkl%,vsdribbles_past,pressures_press,pressures_succ,pressures_%,pressures_def 3rd,pressures_mid 3rd,pressures_att 3rd,blocks_blocks,blocks_sh,blocks_shsv,blocks_pass,int,tkl+int,clr,err,matches
Claudio Bravo,GK,37.0,5.0,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,0,Matches
Mauricio Isla,DF,32.0,5.0,5,3,4,1,0,3,5,60.0,2,36,14,38.9,14,12,10,3,0,0,3,5,10,8,0,Matches
Eugenio Mena,DF,32.0,5.0,9,5,6,1,2,3,11,27.3,8,94,34,36.2,48,32,14,7,0,0,7,10,19,4,0,Matches
Charles Aránguiz,MF,31.0,5.0,7,4,4,2,1,4,17,23.5,13,128,28,21.9,57,46,25,5,0,0,5,4,11,1,0,Matches
Gary Medel,DF,33.0,4.7,4,4,4,0,0,1,4,25.0,3,27,14,51.9,18,9,0,9,6,0,3,12,16,16,0,Matches
Eduardo Vargas,FW,31.0,4.5,2,1,0,0,2,1,4,25.0,3,76,22,28.9,8,41,27,4,0,0,4,2,4,3,0,Matches
Arturo Vidal,MF,33.0,4.4,5,1,0,2,3,3,13,23.1,10,111,29,26.1,45,45,21,9,3,0,6,9,14,2,0,Matches
Erick Pulgar,MF,27.0,3.8,5,1,5,0,0,2,5,40.0,3,43,16,37.2,24,14,5,6,2,0,4,8,13,12,0,Matches
Ben Brereton,FW,21.0,3.3,2,1,1,1,0,0,3,0.0,3,51,15,29.4,13,23,15,2,0,0,2,2,4,4,0,Matches
Francisco Sierralta,DF,23.0,3.0,3,2,3,0,0,2,7,28.6,5,40,10,25.0,20,15,5,4,2,0,2,7,10,27,1,Matches
Guillermo Maripán,DF,26.0,2.4,3,1,3,0,0,1,3,33.3,2,25,4,16.0,19,4,2,4,3,0,1,4,7,7,0,Matches
Jean Meneses,FW,27.0,2.8,3,2,2,0,1,3,5,60.0,2,34,7,20.6,13,15,6,2,0,0,2,2,5,2,0,Matches
César Pinares,"FW,MF",29.0,1.2,0,0,0,0,0,0,0,,0,17,4,23.5,5,9,3,2,0,0,2,2,2,2,0,Matches
Carlos Palacios,"FW,MF",20.0,1.1,2,1,0,0,2,1,2,50.0,1,24,7,29.2,5,11,8,2,0,0,2,0,2,0,0,Matches
Tomás Alarcón,MF,22.0,1.1,4,1,1,2,1,1,2,50.0,1,28,5,17.9,14,13,1,1,0,0,1,3,7,2,0,Matches
Sebastián Vegas,DF,24.0,0.7,2,2,2,0,0,0,3,0.0,3,10,4,40.0,8,2,0,1,0,0,1,0,2,2,0,Matches
Alexis Sánchez,FW,32.0,0.5,0,0,0,0,0,0,1,0.0,1,15,4,26.7,5,4,6,2,0,0,2,0,0,1,0,Matches
Enzo Roco,DF,28.0,0.9,1,1,0,1,0,0,0,,0,10,6,60.0,6,3,1,3,0,0,3,2,3,7,0,Matches
Pablo Galdames Millán,"MF,FW",24.0,0.3,1,1,0,1,0,0,0,,0,9,5,55.6,1,5,3,0,0,0,0,0,1,0,0,Matches
Luciano Arriagada,FW,18.0,0.2,0,0,0,0,0,0,1,0.0,1,12,1,8.3,4,5,3,1,0,0,1,0,0,0,0,Matches
Pablo Aránguiz,MF,23.0,0.1,0,0,0,0,0,0,0,,0,5,1,20.0,1,3,1,0,0,0,0,0,0,0,0,Matches
Diego Valencia,MF,21.0,0.0,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,2,0,0,2,0,0,0,0,Matches
Squad Total,,30.2,5.0,58,31,35,11,12,25,86,29.1,61,799,233,29.2,332,311,156,69,16,0,53,72,130,100,1,
Opponent Total,,27.6,5.0,74,44,39,26,9,29,77,37.7,48,841,212,25.2,290,363,188,62,7,0,55,90,164,115,0,
