player,pos,age,90s,sca_sca,sca_sca90,scatypes_passlive,scatypes_passdead,scatypes_drib,scatypes_sh,scatypes_fld,scatypes_def,gca_gca,gca_gca90,gcatypes_passlive,gcatypes_passdead,gcatypes_drib,gcatypes_sh,gcatypes_fld,gcatypes_def,matches
Claudio Bravo,GK,37.0,5.0,2,0.4,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mauricio Isla,DF,32.0,5.0,7,1.4,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eugenio Mena,DF,32.0,5.0,6,1.2,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Charles Aránguiz,MF,31.0,5.0,9,1.81,7,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gary Medel,DF,33.0,4.7,2,0.43,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eduardo Vargas,FW,31.0,4.5,16,3.59,12,0,1,2,0,1,2,0.45,2,0,0,0,0,0,Matches
Arturo Vidal,MF,33.0,4.4,8,1.8,6,0,0,1,1,0,2,0.45,1,0,0,1,0,0,Matches
Erick Pulgar,MF,27.0,3.8,5,1.3,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ben Brereton,FW,21.0,3.3,4,1.2,3,0,0,0,1,0,1,0.3,1,0,0,0,0,0,Matches
Francisco Sierralta,DF,23.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Guillermo Maripán,DF,26.0,2.4,1,0.41,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jean Meneses,FW,27.0,2.8,8,2.9,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
César Pinares,"FW,MF",29.0,1.2,5,4.21,2,1,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Palacios,"FW,MF",20.0,1.1,2,1.75,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tomás Alarcón,MF,22.0,1.1,1,0.95,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sebastián Vegas,DF,24.0,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alexis Sánchez,FW,32.0,0.5,2,4.0,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Enzo Roco,DF,28.0,0.9,1,1.08,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pablo Galdames Millán,"MF,FW",24.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luciano Arriagada,FW,18.0,0.2,1,4.09,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pablo Aránguiz,MF,23.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Diego Valencia,MF,21.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,30.2,5.0,80,16.0,65,6,2,4,2,1,5,1.0,4,0,0,1,0,0,
Opponent Total,,27.6,5.0,91,18.2,60,9,9,6,5,2,4,0.8,0,1,0,1,2,0,
