player,pos,age,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerialduels_won,aerialduels_lost,aerialduels_won%,matches
Claudio Bravo,GK,37.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,31,0,0,,Matches
Mauricio Isla,DF,32.0,5.0,1,0,0,2,4,2,10,5,3,0,0,0,35,4,7,36.4,Matches
Eugenio Mena,DF,32.0,5.0,0,0,0,7,5,2,15,10,5,0,0,0,25,3,12,20.0,Matches
Charles Aránguiz,MF,31.0,5.0,0,0,0,8,11,0,5,4,4,0,0,0,48,4,4,50.0,Matches
Gary Medel,DF,33.0,4.7,1,0,0,3,3,0,0,12,4,0,1,0,30,2,6,25.0,Matches
Eduardo Vargas,FW,31.0,4.5,0,0,0,7,10,3,2,2,1,0,0,0,24,5,14,26.3,Matches
Arturo Vidal,MF,33.0,4.4,2,0,0,16,7,1,1,9,1,1,0,1,40,7,12,36.8,Matches
Erick Pulgar,MF,27.0,3.8,1,0,0,2,3,3,0,8,1,0,0,0,25,8,2,80.0,Matches
Ben Brereton,FW,21.0,3.3,1,0,0,3,9,2,3,2,1,0,0,0,17,5,10,33.3,Matches
Francisco Sierralta,DF,23.0,3.0,2,0,0,7,5,0,1,7,2,0,0,0,14,11,4,73.3,Matches
Guillermo Maripán,DF,26.0,2.4,1,0,0,3,0,0,0,4,1,0,0,0,19,5,0,100.0,Matches
Jean Meneses,FW,27.0,2.8,0,0,0,3,2,2,6,2,2,0,0,0,16,1,8,11.1,Matches
César Pinares,"FW,MF",29.0,1.2,0,0,0,0,3,0,3,2,0,0,0,0,6,2,1,66.7,Matches
Carlos Palacios,"FW,MF",20.0,1.1,1,0,0,3,0,0,3,0,1,0,0,0,3,0,2,0.0,Matches
Tomás Alarcón,MF,22.0,1.1,0,0,0,5,0,0,0,3,1,0,0,0,10,3,0,100.0,Matches
Sebastián Vegas,DF,24.0,0.7,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,,Matches
Alexis Sánchez,FW,32.0,0.5,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0.0,Matches
Enzo Roco,DF,28.0,0.9,0,0,0,2,2,0,0,2,1,0,0,0,6,2,5,28.6,Matches
Pablo Galdames Millán,"MF,FW",24.0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,Matches
Luciano Arriagada,FW,18.0,0.2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0.0,Matches
Pablo Aránguiz,MF,23.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Diego Valencia,MF,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,30.2,5.0,11,0,0,66,61,17,51,72,31,1,1,1,356,62,91,40.5,
Opponent Total,,27.6,5.0,7,1,0,61,60,10,62,90,44,1,1,0,297,91,62,59.5,
