player,pos,age,90s,att,passtypes_live,passtypes_dead,passtypes_fk,passtypes_tb,passtypes_press,passtypes_sw,passtypes_crs,passtypes_ck,cornerkicks_in,cornerkicks_out,cornerkicks_str,height_ground,height_low,height_high,bodyparts_left,bodyparts_right,bodyparts_head,bodyparts_ti,bodyparts_other,outcomes_cmp,outcomes_off,outcomes_out,outcomes_int,outcomes_blocks,matches
Claudio Bravo,GK,37.0,5.0,214,152,62,24,0,15,10,0,0,0,0,0,97,12,105,15,170,0,0,17,146,5,2,4,0,Matches
Mauricio Isla,DF,32.0,5.0,272,243,29,2,2,49,9,10,0,0,0,0,183,53,36,29,203,11,27,0,235,0,0,11,6,Matches
Eugenio Mena,DF,32.0,5.0,270,229,41,4,0,33,2,15,0,0,0,0,170,64,36,183,41,5,37,2,221,2,7,8,5,Matches
Charles Aránguiz,MF,31.0,5.0,346,321,25,15,1,55,12,5,8,0,3,2,255,34,57,45,286,9,2,1,299,4,2,6,12,Matches
Gary Medel,DF,33.0,4.7,286,272,14,11,0,22,6,0,0,0,0,0,244,17,25,37,238,6,3,1,270,0,1,3,4,Matches
Eduardo Vargas,FW,31.0,4.5,130,121,9,1,0,31,3,2,0,0,0,0,98,20,12,10,113,2,0,1,102,1,1,9,4,Matches
Arturo Vidal,MF,33.0,4.4,304,298,6,3,0,67,6,1,1,0,0,0,225,42,37,57,232,9,1,1,266,1,4,6,5,Matches
Erick Pulgar,MF,27.0,3.8,211,210,1,1,1,34,6,0,0,0,0,0,161,25,25,8,193,7,0,0,190,1,2,1,4,Matches
Ben Brereton,FW,21.0,3.3,77,77,0,0,0,21,1,3,0,0,0,0,55,17,5,5,61,5,0,3,58,1,1,5,5,Matches
Francisco Sierralta,DF,23.0,3.0,156,152,4,3,0,11,3,1,0,0,0,0,134,9,13,3,143,7,1,0,141,0,2,6,0,Matches
Guillermo Maripán,DF,26.0,2.4,119,118,1,1,0,20,2,0,0,0,0,0,92,8,19,17,94,5,0,1,99,0,4,6,1,Matches
Jean Meneses,FW,27.0,2.8,113,104,9,0,0,20,3,6,5,1,1,0,87,10,16,15,92,2,3,0,93,0,0,4,4,Matches
César Pinares,"FW,MF",29.0,1.2,54,53,1,0,0,11,2,3,1,0,1,0,39,7,8,48,4,1,0,0,47,1,0,3,1,Matches
Carlos Palacios,"FW,MF",20.0,1.1,38,37,1,0,0,7,1,3,0,0,0,0,30,5,3,3,34,0,1,0,27,0,0,1,2,Matches
Tomás Alarcón,MF,22.0,1.1,64,63,1,1,0,21,3,0,0,0,0,0,50,8,6,6,53,3,0,0,59,0,0,2,1,Matches
Sebastián Vegas,DF,24.0,0.7,47,44,3,3,0,4,2,0,0,0,0,0,37,3,7,43,3,1,0,0,41,0,0,3,0,Matches
Alexis Sánchez,FW,32.0,0.5,22,20,2,0,0,1,3,2,2,0,1,1,10,4,8,2,18,2,0,0,15,1,0,1,1,Matches
Enzo Roco,DF,28.0,0.9,38,38,0,0,0,4,2,0,0,0,0,0,32,1,5,6,29,1,0,1,36,0,0,0,0,Matches
Pablo Galdames Millán,"MF,FW",24.0,0.3,17,16,1,0,0,2,2,0,1,0,1,0,12,1,4,1,14,2,0,0,13,0,0,2,0,Matches
Luciano Arriagada,FW,18.0,0.2,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,Matches
Pablo Aránguiz,MF,23.0,0.1,4,4,0,0,0,2,0,0,0,0,0,0,4,0,0,0,4,0,0,0,2,1,0,0,1,Matches
Diego Valencia,MF,21.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Matches
Squad Total,,30.2,5.0,2786,2576,210,69,4,431,78,51,18,1,7,3,2019,340,427,533,2029,78,75,28,2364,18,26,81,56,
Opponent Total,,27.6,5.0,2099,1860,239,80,3,391,51,62,23,10,8,2,1404,269,426,570,1290,48,99,41,1685,9,25,66,52,
