player,pos,age,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches
Claudio Bravo,GK,37.0,5.0,146,214,68.2,4514,2945,32,32,100.0,58,58,100.0,56,124,45.2,0,0.0,0.0,0,2,0,0,0,Matches
Mauricio Isla,DF,32.0,5.0,235,272,86.4,4540,1660,101,111,91.0,101,114,88.6,31,40,77.5,0,0.2,-0.2,4,18,8,3,24,Matches
Eugenio Mena,DF,32.0,5.0,221,270,81.9,3598,1104,102,108,94.4,101,130,77.7,13,24,54.2,0,0.1,-0.1,2,7,6,3,15,Matches
Charles Aránguiz,MF,31.0,5.0,299,346,86.4,5670,1448,119,125,95.2,139,151,92.1,38,55,69.1,0,0.4,-0.4,5,38,6,1,24,Matches
Gary Medel,DF,33.0,4.7,270,286,94.4,5758,1576,64,67,95.5,160,165,97.0,41,46,89.1,0,0.1,-0.1,1,12,1,0,4,Matches
Eduardo Vargas,FW,31.0,4.5,102,130,78.5,1637,158,51,62,82.3,35,42,83.3,10,12,83.3,1,0.5,0.5,4,5,2,0,3,Matches
Arturo Vidal,MF,33.0,4.4,266,304,87.5,4867,1029,120,129,93.0,104,115,90.4,36,49,73.5,0,0.2,-0.2,4,21,5,1,22,Matches
Erick Pulgar,MF,27.0,3.8,190,211,90.0,3749,974,75,77,97.4,81,89,91.0,30,38,78.9,0,0.6,-0.6,3,17,4,0,10,Matches
Ben Brereton,FW,21.0,3.3,58,77,75.3,894,227,33,42,78.6,19,23,82.6,4,4,100.0,1,0.1,0.9,2,4,2,1,6,Matches
Francisco Sierralta,DF,23.0,3.0,141,156,90.4,2767,710,44,46,95.7,82,86,95.3,15,22,68.2,0,0.0,0.0,0,6,1,1,8,Matches
Guillermo Maripán,DF,26.0,2.4,99,119,83.2,2063,611,21,24,87.5,60,70,85.7,14,20,70.0,0,0.0,0.0,0,7,0,0,6,Matches
Jean Meneses,FW,27.0,2.8,93,113,82.3,1621,311,46,51,90.2,36,43,83.7,9,13,69.2,0,0.5,-0.5,4,8,4,1,7,Matches
César Pinares,"FW,MF",29.0,1.2,47,54,87.0,791,237,26,28,92.9,15,16,93.8,5,8,62.5,0,0.4,-0.4,3,6,3,1,4,Matches
Carlos Palacios,"FW,MF",20.0,1.1,27,38,71.1,408,86,14,19,73.7,10,14,71.4,2,4,50.0,0,0.0,0.0,0,3,0,0,2,Matches
Tomás Alarcón,MF,22.0,1.1,59,64,92.2,1123,233,28,29,96.6,22,25,88.0,8,8,100.0,0,0.0,0.0,0,4,0,0,2,Matches
Sebastián Vegas,DF,24.0,0.7,41,47,87.2,784,256,15,17,88.2,19,20,95.0,6,9,66.7,0,0.0,0.0,0,3,0,0,7,Matches
Alexis Sánchez,FW,32.0,0.5,15,22,68.2,371,87,5,6,83.3,4,7,57.1,4,6,66.7,0,0.1,-0.1,2,1,0,0,1,Matches
Enzo Roco,DF,28.0,0.9,36,38,94.7,699,240,11,11,100.0,20,21,95.2,4,5,80.0,0,0.0,0.0,1,5,0,0,4,Matches
Pablo Galdames Millán,"MF,FW",24.0,0.3,13,17,76.5,279,48,3,5,60.0,8,9,88.9,2,3,66.7,0,0.0,0.0,0,0,0,0,2,Matches
Luciano Arriagada,FW,18.0,0.2,3,3,100.0,37,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,1,0,0,0,0,Matches
Pablo Aránguiz,MF,23.0,0.1,2,4,50.0,16,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Diego Valencia,MF,21.0,0.0,1,1,100.0,3,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,30.2,5.0,2364,2786,84.9,46189,13940,913,993,91.9,1075,1199,89.7,328,490,66.9,2,3.3,-1.3,36,167,42,12,151,
Opponent Total,,27.6,5.0,1685,2099,80.3,32861,11240,687,763,90.0,722,856,84.3,242,390,62.1,1,3.9,-2.9,40,135,30,6,140,
