player,pos,age,90s,touches_touches,touches_def pen,touches_def 3rd,touches_mid 3rd,touches_att 3rd,touches_att pen,touches_live,dribbles_succ,dribbles_att,dribbles_succ%,dribbles_#pl,dribbles_megs,carries_carries,carries_totdist,carries_prgdist,carries_prog,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_targ,receiving_rec,receiving_rec%,receiving_prog,matches
Claudio Bravo,GK,37.0,5.0,224,176,222,3,0,0,162,0,0,,0,0,124,707,508,0,0,0,1,0,111,111,100.0,0,Matches
Mauricio Isla,DF,32.0,5.0,304,18,80,124,116,6,276,1,4,25.0,1,0,215,816,412,17,8,1,3,3,247,215,87.0,12,Matches
Eugenio Mena,DF,32.0,5.0,322,9,87,127,123,9,281,6,6,100.0,6,1,213,983,467,18,2,2,9,4,244,216,88.5,20,Matches
Charles Aránguiz,MF,31.0,5.0,383,5,82,217,107,6,362,7,11,63.6,8,3,279,1246,615,36,10,1,4,6,315,287,91.1,16,Matches
Gary Medel,DF,33.0,4.7,323,40,185,155,8,0,309,0,2,0.0,0,1,234,1124,560,8,3,0,0,1,239,235,98.3,0,Matches
Eduardo Vargas,FW,31.0,4.5,180,3,21,73,101,18,172,6,11,54.5,7,0,129,684,328,17,8,2,10,5,208,134,64.4,28,Matches
Arturo Vidal,MF,33.0,4.4,350,8,66,191,113,6,343,2,6,33.3,3,0,238,892,484,17,8,1,4,2,309,272,88.0,10,Matches
Erick Pulgar,MF,27.0,3.8,248,14,71,151,47,1,246,2,3,66.7,3,0,176,791,302,13,7,0,1,0,202,186,92.1,2,Matches
Ben Brereton,FW,21.0,3.3,118,4,17,52,63,16,118,5,9,55.6,5,1,86,532,249,12,5,3,7,7,143,88,61.5,21,Matches
Francisco Sierralta,DF,23.0,3.0,204,24,103,106,8,1,201,2,2,100.0,2,0,135,642,422,12,3,0,2,2,144,143,99.3,1,Matches
Guillermo Maripán,DF,26.0,2.4,140,19,78,67,3,1,139,1,3,33.3,2,0,95,502,297,8,1,0,1,1,97,95,97.9,0,Matches
Jean Meneses,FW,27.0,2.8,152,2,21,59,88,10,143,4,11,36.4,5,0,127,894,607,27,9,2,7,6,142,115,81.0,22,Matches
César Pinares,"FW,MF",29.0,1.2,68,3,11,40,23,3,67,2,3,66.7,2,0,54,362,185,4,3,2,3,1,61,53,86.9,4,Matches
Carlos Palacios,"FW,MF",20.0,1.1,49,0,5,15,33,4,48,3,4,75.0,3,0,44,273,202,6,2,1,3,1,46,40,87.0,4,Matches
Tomás Alarcón,MF,22.0,1.1,76,1,14,47,18,0,75,0,0,,0,0,49,169,73,3,1,0,0,3,54,53,98.1,1,Matches
Sebastián Vegas,DF,24.0,0.7,54,4,22,32,6,0,51,0,0,,0,0,43,236,153,4,2,0,0,0,41,41,100.0,0,Matches
Alexis Sánchez,FW,32.0,0.5,31,0,6,14,12,2,29,1,1,100.0,1,0,23,71,24,2,0,0,1,2,28,23,82.1,2,Matches
Enzo Roco,DF,28.0,0.9,51,8,18,35,2,0,51,0,0,,0,0,28,158,101,3,0,0,1,0,33,29,87.9,1,Matches
Pablo Galdames Millán,"MF,FW",24.0,0.3,20,0,2,9,13,2,19,0,0,,0,0,13,47,20,0,3,0,0,1,18,14,77.8,4,Matches
Luciano Arriagada,FW,18.0,0.2,8,0,0,4,4,1,8,0,1,0.0,0,0,6,1,0,0,0,0,2,0,21,7,33.3,2,Matches
Pablo Aránguiz,MF,23.0,0.1,6,0,0,0,6,1,6,0,0,,0,0,5,48,27,1,0,1,2,0,6,6,100.0,1,Matches
Diego Valencia,MF,21.0,0.0,3,0,0,1,2,1,3,0,0,,0,0,1,0,0,0,0,0,0,0,1,1,100.0,0,Matches
Squad Total,,30.2,5.0,3314,338,1111,1522,896,88,3109,42,77,54.5,48,6,2317,11178,6036,208,75,16,61,45,2710,2364,87.2,151,
Opponent Total,,27.6,5.0,2658,267,875,1147,838,106,2429,54,86,62.8,61,2,1724,9693,5335,211,77,18,65,33,1979,1685,85.1,140,
