player,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,matches
Claudio Bravo,GK,37.0,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mauricio Isla,DF,32.0,5.0,0,1,0,0.0,0.2,0.0,0.0,,23.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Eugenio Mena,DF,32.0,5.0,0,3,2,66.7,0.6,0.4,0.0,0.0,12.6,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
Charles Aránguiz,MF,31.0,5.0,0,1,0,0.0,0.2,0.0,0.0,,21.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Gary Medel,DF,33.0,4.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Eduardo Vargas,FW,31.0,4.5,2,11,6,54.5,2.47,1.35,0.18,0.33,16.8,0,0,0,1.2,1.1,0.1,0.8,0.9,Matches
Arturo Vidal,MF,33.0,4.4,0,4,2,50.0,0.9,0.45,0.0,0.0,16.5,0,0,1,1.1,0.4,0.09,-1.1,-0.4,Matches
Erick Pulgar,MF,27.0,3.8,0,4,1,25.0,1.04,0.26,0.0,0.0,24.4,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Ben Brereton,FW,21.0,3.3,1,7,5,71.4,2.1,1.5,0.14,0.2,13.9,0,0,0,0.6,0.6,0.09,0.4,0.4,Matches
Francisco Sierralta,DF,23.0,3.0,0,1,1,100.0,0.33,0.33,0.0,0.0,8.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Guillermo Maripán,DF,26.0,2.4,0,1,1,100.0,0.41,0.41,0.0,0.0,11.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jean Meneses,FW,27.0,2.8,0,7,3,42.9,2.54,1.09,0.0,0.0,19.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
César Pinares,"FW,MF",29.0,1.2,0,1,0,0.0,0.84,0.0,0.0,,15.6,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Carlos Palacios,"FW,MF",20.0,1.1,0,2,0,0.0,1.75,0.0,0.0,,21.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Tomás Alarcón,MF,22.0,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sebastián Vegas,DF,24.0,0.7,0,1,1,100.0,1.43,1.43,0.0,0.0,37.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Alexis Sánchez,FW,32.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Enzo Roco,DF,28.0,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pablo Galdames Millán,"MF,FW",24.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luciano Arriagada,FW,18.0,0.2,0,1,0,0.0,4.09,0.0,0.0,,3.6,0,0,0,0.3,0.3,0.26,-0.3,-0.3,Matches
Pablo Aránguiz,MF,23.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Diego Valencia,MF,21.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,30.2,5.0,3,45,22,48.9,9.0,4.4,0.07,0.14,17.5,1,0,1,4.2,3.7,0.08,-1.2,-0.7,
Opponent Total,,27.6,5.0,4,60,18,30.0,12.0,3.6,0.05,0.17,18.0,2,1,1,6.7,5.9,0.1,-2.7,-2.9,
