player,pos,age,playingtime_mp,playingtime_starts,playingtime_min,playingtime_90s,performance_gls,performance_ast,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per90minutes_gls,per90minutes_ast,per90minutes_g+a,per90minutes_g-pk,per90minutes_g+a-pk,expected_xg,expected_npxg,expected_xa,expected_npxg+xa,per90minutes_xg,per90minutes_xa,per90minutes_xg+xa,per90minutes_npxg,per90minutes_npxg+xa,matches
Claudio Bravo,GK,37.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mauricio Isla,DF,32.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.01,0.05,0.05,0.01,0.05,Matches
Eugenio Mena,DF,32.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.08,0.02,0.1,0.08,0.1,Matches
Charles Aránguiz,MF,31.0,5,5,447.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.01,0.08,0.09,0.01,0.09,Matches
Gary Medel,DF,33.0,5,5,420.0,4.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.02,0.0,0.02,Matches
Eduardo Vargas,FW,31.0,5,5,401.0,4.5,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.45,0.22,0.67,0.45,0.67,1.2,1.1,0.5,1.6,0.26,0.12,0.38,0.24,0.36,Matches
Arturo Vidal,MF,33.0,5,5,400.0,4.4,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.4,0.2,0.6,0.25,0.05,0.31,0.08,0.14,Matches
Erick Pulgar,MF,27.0,4,4,345.0,3.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.8,0.07,0.15,0.22,0.07,0.22,Matches
Ben Brereton,FW,21.0,5,3,300.0,3.3,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.6,0.3,0.6,0.6,0.6,0.1,0.7,0.19,0.03,0.22,0.19,0.22,Matches
Francisco Sierralta,DF,23.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,Matches
Guillermo Maripán,DF,26.0,3,3,217.0,2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Jean Meneses,FW,27.0,5,2,248.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,0.15,0.18,0.34,0.15,0.34,Matches
César Pinares,"FW,MF",29.0,3,1,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.04,0.31,0.35,0.04,0.35,Matches
Carlos Palacios,"FW,MF",20.0,2,1,103.0,1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.09,0.09,0.09,Matches
Tomás Alarcón,MF,22.0,4,1,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sebastián Vegas,DF,24.0,1,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Alexis Sánchez,FW,32.0,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.15,0.15,0.0,0.15,Matches
Enzo Roco,DF,28.0,3,0,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Pablo Galdames Millán,"MF,FW",24.0,2,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luciano Arriagada,FW,18.0,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.07,0.18,1.25,1.07,1.25,Matches
Pablo Aránguiz,MF,23.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Valencia,MF,21.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel Arias,GK,33.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Claudio Baeza,MF,27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gabriel Castellón,GK,27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniel González,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Clemente Montes,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Felipe Mora,FW,27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcelino Núñez,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,30.2,5,55,450.0,5.0,3.0,2.0,3.0,0.0,1.0,11.0,0.0,0.6,0.4,1.0,0.6,1.0,4.2,3.7,3.3,7.0,0.84,0.66,1.49,0.75,1.4,
Opponent Total,,27.6,5,55,450.0,5.0,4.0,1.0,3.0,1.0,1.0,7.0,1.0,0.8,0.2,1.0,0.6,0.8,6.7,5.9,3.9,9.8,1.34,0.77,2.11,1.18,1.96,
