player,pos,age,90s,tackles_tkl,tackles_tklw,tackles_def 3rd,tackles_mid 3rd,tackles_att 3rd,vsdribbles_tkl,vsdribbles_att,vsdribbles_tkl%,vsdribbles_past,pressures_press,pressures_succ,pressures_%,pressures_def 3rd,pressures_mid 3rd,pressures_att 3rd,blocks_blocks,blocks_sh,blocks_shsv,blocks_pass,int,tkl+int,clr,err,matches
Wílmar Barrios,MF,27.0,7.3,29,22,19,9,1,12,22,54.5,10,152,63,41.4,76,60,16,14,2,1,12,17,46,15,0,Matches
Yerry Mina,DF,26.0,6.9,5,2,4,0,1,0,3,0.0,3,55,14,25.5,35,16,4,11,8,0,3,8,13,43,0,Matches
Juan Cuadrado,"MF,FW",32.0,6.3,11,8,4,5,2,3,14,21.4,11,133,36,27.1,43,59,31,9,1,0,8,13,24,2,0,Matches
David Ospina,GK,32.0,6.3,0,0,0,0,0,0,2,0.0,2,2,1,50.0,2,0,0,0,0,0,0,0,0,0,0,Matches
William Tesillo,DF,30.0,6.0,20,11,12,5,3,11,27,40.7,16,119,41,34.5,63,29,27,16,1,0,15,17,37,25,0,Matches
Duván Zapata,FW,29.0,4.8,2,2,1,1,0,1,3,33.3,2,75,25,33.3,12,20,43,2,0,0,2,0,2,11,0,Matches
Davinson Sánchez,DF,24.0,5.8,6,3,3,2,1,4,6,66.7,2,57,15,26.3,34,19,4,6,4,0,2,6,12,28,0,Matches
Daniel Muñoz,DF,24.0,5.3,13,8,11,2,0,3,6,50.0,3,87,29,33.3,47,34,6,11,1,0,10,9,22,21,1,Matches
Luis Fernando Díaz,"MF,FW",24.0,4.6,4,2,3,1,0,0,2,0.0,2,58,18,31.0,18,22,18,3,0,0,3,3,7,2,0,Matches
Edwin Cardona,"MF,FW",28.0,3.7,7,5,2,4,1,0,7,0.0,7,73,17,23.3,15,34,24,2,0,0,2,6,13,3,0,Matches
Rafael Borré,"FW,MF",25.0,3.2,7,3,4,3,0,2,8,25.0,6,136,37,27.2,30,73,33,4,0,0,4,2,9,4,0,Matches
Gustavo Cuellar,MF,28.0,3.2,13,11,6,6,1,3,13,23.1,10,98,29,29.6,41,46,11,3,0,0,3,11,24,10,0,Matches
Mateus Uribe,MF,29.0,2.7,9,7,3,6,0,2,12,16.7,10,92,28,30.4,27,44,21,3,1,0,2,3,12,2,0,Matches
Miguel Borja,FW,28.0,3.3,1,1,0,0,1,0,4,0.0,4,49,12,24.5,5,25,19,2,0,0,2,0,1,3,0,Matches
Óscar Murillo,DF,32.0,1.9,5,2,3,2,0,2,3,66.7,1,24,6,25.0,14,9,1,1,1,0,0,2,7,11,0,Matches
Stefan Medina,DF,28.0,1.9,5,3,1,3,1,1,2,50.0,1,34,9,26.5,7,21,6,4,0,0,4,0,5,6,0,Matches
Luis Muriel,"FW,MF",29.0,1.8,3,2,0,0,3,1,1,100.0,0,39,8,20.5,4,16,19,0,0,0,0,0,3,1,0,Matches
Camilo Vargas,GK,31.0,1.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
Sebastián Pérez Cardona,MF,27.0,1.0,2,1,1,1,0,0,0,,0,30,6,20.0,13,12,5,1,0,0,1,1,3,1,0,Matches
Yairo Moreno,DF,25.0,0.5,4,1,4,0,0,2,2,100.0,0,11,2,18.2,5,4,2,2,0,0,2,1,5,0,0,Matches
Yimmi Chará,"MF,FW",29.0,1.8,2,2,2,0,0,2,3,66.7,1,35,6,17.1,5,16,14,1,0,0,1,1,3,1,0,Matches
Frank Fabra,DF,29.0,0.8,0,0,0,0,0,0,2,0.0,2,3,1,33.3,2,0,1,0,0,0,0,0,0,1,0,Matches
Jaminton Campaz,FW,20.0,0.3,0,0,0,0,0,0,1,0.0,1,9,3,33.3,0,5,4,2,0,0,2,0,0,0,0,Matches
Alfredo Morelos,FW,24.0,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,0,2,0,0,0,0,0,0,0,0,Matches
Squad Total,,28.4,7.3,148,96,83,50,15,49,144,34.0,95,1374,406,29.5,499,564,311,97,19,1,78,100,248,190,1,
Opponent Total,,27.7,7.3,123,87,52,53,18,38,137,27.7,99,1302,363,27.9,420,555,327,105,21,0,84,103,226,153,3,
