player,pos,age,90s,sca_sca,sca_sca90,scatypes_passlive,scatypes_passdead,scatypes_drib,scatypes_sh,scatypes_fld,scatypes_def,gca_gca,gca_gca90,gcatypes_passlive,gcatypes_passdead,gcatypes_drib,gcatypes_sh,gcatypes_fld,gcatypes_def,matches
Wílmar Barrios,MF,27.0,7.3,9,1.23,7,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Yerry Mina,DF,26.0,6.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Juan Cuadrado,"MF,FW",32.0,6.3,25,3.95,11,9,1,0,4,0,2,0.32,2,0,0,0,0,0,Matches
David Ospina,GK,32.0,6.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
William Tesillo,DF,30.0,6.0,8,1.33,6,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Duván Zapata,FW,29.0,4.8,11,2.31,6,0,2,3,0,0,1,0.21,1,0,0,0,0,0,Matches
Davinson Sánchez,DF,24.0,5.8,2,0.34,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Daniel Muñoz,DF,24.0,5.3,5,0.94,3,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Luis Fernando Díaz,"MF,FW",24.0,4.6,14,3.02,6,0,4,1,2,1,2,0.43,0,0,2,0,0,0,Matches
Edwin Cardona,"MF,FW",28.0,3.7,12,3.26,4,7,1,0,0,0,2,0.54,1,1,0,0,0,0,Matches
Rafael Borré,"FW,MF",25.0,3.2,2,0.62,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gustavo Cuellar,MF,28.0,3.2,2,0.63,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mateus Uribe,MF,29.0,2.7,2,0.75,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Miguel Borja,FW,28.0,3.3,7,2.13,3,0,1,1,1,1,2,0.61,1,0,0,0,1,0,Matches
Óscar Murillo,DF,32.0,1.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Stefan Medina,DF,28.0,1.9,4,2.12,2,0,0,0,1,1,2,1.06,0,0,0,0,1,1,Matches
Luis Muriel,"FW,MF",29.0,1.8,12,6.84,4,3,1,2,0,2,1,0.57,1,0,0,0,0,0,Matches
Camilo Vargas,GK,31.0,1.0,1,1.0,1,0,0,0,0,0,1,1.0,1,0,0,0,0,0,Matches
Sebastián Pérez Cardona,MF,27.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yairo Moreno,DF,25.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yimmi Chará,"MF,FW",29.0,1.8,4,2.18,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Frank Fabra,DF,29.0,0.8,1,1.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jaminton Campaz,FW,20.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alfredo Morelos,FW,24.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,28.4,7.3,121,15.78,66,19,10,10,11,5,13,1.7,7,1,2,0,2,1,
Opponent Total,,27.7,7.3,95,12.39,65,7,12,6,5,0,8,1.04,4,2,1,1,0,0,
