player,pos,age,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerialduels_won,aerialduels_lost,aerialduels_won%,matches
Wílmar Barrios,MF,27.0,7.3,3,0,0,15,14,0,2,17,22,0,0,0,64,4,6,40.0,Matches
Yerry Mina,DF,26.0,6.9,0,0,0,15,4,3,0,8,2,0,0,1,48,32,4,88.9,Matches
Juan Cuadrado,"MF,FW",32.0,6.3,3,0,0,17,26,0,24,13,8,0,0,0,44,0,6,0.0,Matches
David Ospina,GK,32.0,6.3,1,0,0,0,2,0,0,0,0,0,0,0,28,0,0,,Matches
William Tesillo,DF,30.0,6.0,0,0,0,10,5,1,9,17,11,0,0,0,46,12,2,85.7,Matches
Duván Zapata,FW,29.0,4.8,0,0,0,6,9,4,4,0,2,0,0,0,21,13,11,54.2,Matches
Davinson Sánchez,DF,24.0,5.8,0,0,0,3,5,0,0,6,3,0,0,0,33,11,3,78.6,Matches
Daniel Muñoz,DF,24.0,5.3,2,0,0,17,4,0,6,9,8,0,0,0,37,14,9,60.9,Matches
Luis Fernando Díaz,"MF,FW",24.0,4.6,0,1,0,3,11,0,6,3,2,0,0,0,35,3,5,37.5,Matches
Edwin Cardona,"MF,FW",28.0,3.7,2,0,0,7,4,0,6,6,5,0,0,0,18,0,6,0.0,Matches
Rafael Borré,"FW,MF",25.0,3.2,1,0,0,11,3,1,4,2,3,0,0,0,22,1,15,6.3,Matches
Gustavo Cuellar,MF,28.0,3.2,1,0,0,6,0,0,1,11,11,0,0,0,23,0,0,,Matches
Mateus Uribe,MF,29.0,2.7,2,0,0,5,2,1,0,3,7,0,0,0,27,3,6,33.3,Matches
Miguel Borja,FW,28.0,3.3,2,0,0,7,7,1,0,0,1,1,0,0,17,9,13,40.9,Matches
Óscar Murillo,DF,32.0,1.9,1,0,0,1,0,0,0,2,2,0,0,0,5,5,2,71.4,Matches
Stefan Medina,DF,28.0,1.9,0,0,0,6,1,0,2,0,3,0,0,0,13,6,0,100.0,Matches
Luis Muriel,"FW,MF",29.0,1.8,0,0,0,2,2,0,2,0,2,0,0,0,16,4,2,66.7,Matches
Camilo Vargas,GK,31.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
Sebastián Pérez Cardona,MF,27.0,1.0,0,0,0,2,0,0,0,1,1,0,0,0,4,0,3,0.0,Matches
Yairo Moreno,DF,25.0,0.5,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0.0,Matches
Yimmi Chará,"MF,FW",29.0,1.8,0,0,0,2,1,0,2,1,2,0,0,0,8,0,2,0.0,Matches
Frank Fabra,DF,29.0,0.8,1,0,0,1,0,0,2,0,0,0,0,0,3,0,0,,Matches
Jaminton Campaz,FW,20.0,0.3,0,0,0,1,0,0,1,0,0,0,0,0,5,0,2,0.0,Matches
Alfredo Morelos,FW,24.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Squad Total,,28.4,7.3,19,1,0,123,90,11,71,100,96,1,0,1,523,117,98,54.4,
Opponent Total,,27.7,7.3,18,0,0,97,119,5,73,103,87,0,1,0,496,98,117,45.6,
