player,pos,age,90s,att,passtypes_live,passtypes_dead,passtypes_fk,passtypes_tb,passtypes_press,passtypes_sw,passtypes_crs,passtypes_ck,cornerkicks_in,cornerkicks_out,cornerkicks_str,height_ground,height_low,height_high,bodyparts_left,bodyparts_right,bodyparts_head,bodyparts_ti,bodyparts_other,outcomes_cmp,outcomes_off,outcomes_out,outcomes_int,outcomes_blocks,matches
Wílmar Barrios,MF,27.0,7.3,328,314,14,14,0,56,5,2,0,0,0,0,252,33,43,42,272,12,0,0,283,1,2,15,3,Matches
Yerry Mina,DF,26.0,6.9,276,262,14,12,0,44,5,0,0,0,0,0,226,17,33,49,208,10,0,2,252,0,2,1,1,Matches
Juan Cuadrado,"MF,FW",32.0,6.3,315,272,43,19,0,71,24,24,17,7,9,1,196,36,83,47,257,4,7,0,237,1,2,8,12,Matches
David Ospina,GK,32.0,6.3,162,109,53,18,0,19,2,0,0,0,0,0,78,4,80,15,115,0,0,21,116,1,6,1,0,Matches
William Tesillo,DF,30.0,6.0,305,261,44,1,1,42,7,9,0,0,0,0,169,71,65,220,29,6,43,1,239,1,6,10,16,Matches
Duván Zapata,FW,29.0,4.8,91,81,10,0,0,26,3,4,0,0,0,0,50,25,16,17,53,8,2,2,61,1,0,8,6,Matches
Davinson Sánchez,DF,24.0,5.8,217,216,1,1,0,18,6,0,0,0,0,0,173,18,26,40,167,5,0,0,193,1,3,5,1,Matches
Daniel Muñoz,DF,24.0,5.3,242,204,38,2,0,35,4,6,0,0,0,0,159,51,32,20,171,9,36,0,196,0,1,5,12,Matches
Luis Fernando Díaz,"MF,FW",24.0,4.6,156,150,6,0,0,48,6,6,1,0,0,1,127,18,11,22,125,2,5,0,128,0,3,4,7,Matches
Edwin Cardona,"MF,FW",28.0,3.7,169,146,23,18,2,54,10,6,4,1,2,1,102,20,47,26,137,3,1,2,129,2,1,7,4,Matches
Rafael Borré,"FW,MF",25.0,3.2,92,91,1,0,0,35,1,4,0,0,0,0,62,18,12,3,85,2,0,1,70,0,4,2,4,Matches
Gustavo Cuellar,MF,28.0,3.2,186,182,4,4,0,41,10,1,0,0,0,0,140,19,27,21,162,3,0,0,164,1,3,4,1,Matches
Mateus Uribe,MF,29.0,2.7,123,122,1,1,0,29,2,0,0,0,0,0,95,14,14,10,108,2,0,2,102,0,2,8,3,Matches
Miguel Borja,FW,28.0,3.3,65,60,5,1,0,28,1,0,0,0,0,0,37,13,15,14,38,6,0,2,44,0,0,5,3,Matches
Óscar Murillo,DF,32.0,1.9,48,47,1,0,0,13,1,0,0,0,0,0,37,4,7,28,18,1,0,0,44,0,0,0,0,Matches
Stefan Medina,DF,28.0,1.9,98,82,16,0,1,11,1,2,0,0,0,0,62,23,13,9,69,0,16,2,82,0,1,1,4,Matches
Luis Muriel,"FW,MF",29.0,1.8,68,60,8,3,0,19,4,2,2,0,0,2,46,12,10,9,53,0,2,1,52,0,1,5,3,Matches
Camilo Vargas,GK,31.0,1.0,25,14,11,2,0,4,1,0,0,0,0,0,14,3,8,9,10,0,0,4,22,0,0,0,0,Matches
Sebastián Pérez Cardona,MF,27.0,1.0,34,33,1,1,0,4,0,0,0,0,0,0,28,2,4,3,28,3,0,0,33,0,0,0,0,Matches
Yairo Moreno,DF,25.0,0.5,17,16,1,0,0,5,0,0,0,0,0,0,14,1,2,15,0,1,1,0,14,0,0,2,0,Matches
Yimmi Chará,"MF,FW",29.0,1.8,67,66,1,1,0,15,1,2,0,0,0,0,50,8,9,13,53,1,0,0,57,0,0,3,2,Matches
Frank Fabra,DF,29.0,0.8,17,16,1,1,0,3,1,2,0,0,0,0,13,0,4,16,1,0,0,0,13,0,0,0,0,Matches
Jaminton Campaz,FW,20.0,0.3,20,20,0,0,0,2,1,1,0,0,0,0,11,3,6,16,3,1,0,0,13,0,0,2,2,Matches
Alfredo Morelos,FW,24.0,0.1,7,7,0,0,0,2,0,0,0,0,0,0,7,0,0,0,7,0,0,0,6,0,1,0,0,Matches
Squad Total,,28.4,7.3,3128,2831,297,99,4,624,96,71,24,8,11,5,2148,413,567,664,2169,79,113,40,2550,9,38,96,84,
Opponent Total,,27.7,7.3,3308,2981,327,128,7,645,86,73,34,14,12,3,2385,399,524,1131,1867,88,109,54,2710,5,39,96,78,
