player,pos,age,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches
Wílmar Barrios,MF,27.0,7.3,283,328,86.3,5317,1793,122,132,92.4,120,143,83.9,37,47,78.7,0,0.0,0.0,1,42,2,0,31,Matches
Yerry Mina,DF,26.0,6.9,252,276,91.3,5409,1487,73,74,98.6,135,139,97.1,44,62,71.0,0,0.0,0.0,0,7,0,0,4,Matches
Juan Cuadrado,"MF,FW",32.0,6.3,237,315,75.2,5103,1675,88,97,90.7,94,111,84.7,52,90,57.8,1,1.4,-0.4,17,20,13,3,36,Matches
David Ospina,GK,32.0,6.3,116,162,71.6,3434,2356,21,21,100.0,54,55,98.2,40,85,47.1,0,0.0,0.0,0,1,0,0,0,Matches
William Tesillo,DF,30.0,6.0,239,305,78.4,4524,2368,100,116,86.2,98,112,87.5,35,58,60.3,0,0.2,-0.2,5,36,8,2,31,Matches
Duván Zapata,FW,29.0,4.8,61,91,67.0,919,208,36,50,72.0,21,28,75.0,2,6,33.3,0,0.0,0.0,2,1,1,1,2,Matches
Davinson Sánchez,DF,24.0,5.8,193,217,88.9,4293,1375,54,57,94.7,103,107,96.3,36,52,69.2,0,0.4,-0.4,1,12,0,0,13,Matches
Daniel Muñoz,DF,24.0,5.3,196,242,81.0,3238,828,100,109,91.7,76,95,80.0,16,24,66.7,0,0.0,0.0,1,10,3,0,9,Matches
Luis Fernando Díaz,"MF,FW",24.0,4.6,128,156,82.1,2138,461,65,75,86.7,46,55,83.6,12,16,75.0,0,0.3,-0.3,3,3,3,1,13,Matches
Edwin Cardona,"MF,FW",28.0,3.7,129,169,76.3,3051,1227,56,68,82.4,31,37,83.8,38,58,65.5,1,0.4,0.6,8,31,8,1,29,Matches
Rafael Borré,"FW,MF",25.0,3.2,70,92,76.1,1190,345,35,45,77.8,26,33,78.8,8,9,88.9,0,0.3,-0.3,1,4,1,1,3,Matches
Gustavo Cuellar,MF,28.0,3.2,164,186,88.2,3235,832,66,72,91.7,70,76,92.1,27,35,77.1,0,0.0,0.0,0,18,2,0,15,Matches
Mateus Uribe,MF,29.0,2.7,102,123,82.9,1904,475,47,54,87.0,37,43,86.0,16,20,80.0,0,0.0,0.0,1,9,1,0,7,Matches
Miguel Borja,FW,28.0,3.3,44,65,67.7,826,186,19,25,76.0,17,25,68.0,7,10,70.0,1,0.5,0.5,2,4,5,0,8,Matches
Óscar Murillo,DF,32.0,1.9,44,48,91.7,953,455,12,12,100.0,25,26,96.2,7,10,70.0,0,0.0,0.0,0,2,0,0,1,Matches
Stefan Medina,DF,28.0,1.9,82,98,83.7,1362,564,39,41,95.1,33,38,86.8,7,13,53.8,0,0.2,-0.2,1,11,1,0,9,Matches
Luis Muriel,"FW,MF",29.0,1.8,52,68,76.5,1097,248,19,23,82.6,18,23,78.3,14,18,77.8,1,0.2,0.8,5,3,2,0,7,Matches
Camilo Vargas,GK,31.0,1.0,22,25,88.0,763,541,4,4,100.0,9,10,90.0,9,11,81.8,1,0.3,0.7,1,2,0,0,0,Matches
Sebastián Pérez Cardona,MF,27.0,1.0,33,34,97.1,581,139,16,16,100.0,14,15,93.3,3,3,100.0,0,0.0,0.0,0,3,0,0,4,Matches
Yairo Moreno,DF,25.0,0.5,14,17,82.4,251,47,6,7,85.7,8,9,88.9,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Yimmi Chará,"MF,FW",29.0,1.8,57,67,85.1,1033,335,25,28,89.3,25,27,92.6,5,8,62.5,0,0.3,-0.3,4,8,2,0,10,Matches
Frank Fabra,DF,29.0,0.8,13,17,76.5,238,91,3,3,100.0,9,11,81.8,1,3,33.3,0,0.0,0.0,0,0,1,0,1,Matches
Jaminton Campaz,FW,20.0,0.3,13,20,65.0,316,103,4,4,100.0,5,8,62.5,3,5,60.0,0,0.0,0.0,0,4,1,0,4,Matches
Alfredo Morelos,FW,24.0,0.1,6,7,85.7,116,33,1,1,100.0,5,6,83.3,0,0,,0,0.0,0.0,0,0,1,0,2,Matches
Squad Total,,28.4,7.3,2550,3128,81.5,51291,18172,1011,1134,89.2,1079,1232,87.6,419,643,65.2,5,4.6,0.4,53,231,55,9,239,
Opponent Total,,27.7,7.3,2710,3308,81.9,50937,17130,1159,1294,89.6,1143,1281,89.2,352,595,59.2,5,5.3,-0.3,46,217,47,8,218,
