player,pos,age,90s,touches_touches,touches_def pen,touches_def 3rd,touches_mid 3rd,touches_att 3rd,touches_att pen,touches_live,dribbles_succ,dribbles_att,dribbles_succ%,dribbles_#pl,dribbles_megs,carries_carries,carries_totdist,carries_prgdist,carries_prog,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_targ,receiving_rec,receiving_rec%,receiving_prog,matches
Wílmar Barrios,MF,27.0,7.3,404,16,131,247,39,3,393,7,8,87.5,7,1,260,1206,424,16,5,1,2,4,259,251,96.9,11,Matches
Yerry Mina,DF,26.0,6.9,355,67,216,144,18,15,342,0,0,,0,0,212,1260,730,13,0,0,5,0,230,224,97.4,3,Matches
Juan Cuadrado,"MF,FW",32.0,6.3,394,3,59,193,177,17,359,17,27,63.0,18,0,305,1246,722,41,15,4,12,15,333,277,83.2,35,Matches
David Ospina,GK,32.0,6.3,171,155,169,2,0,0,120,0,0,,0,0,86,531,326,0,0,0,0,0,69,68,98.6,0,Matches
William Tesillo,DF,30.0,6.0,394,20,139,186,86,10,350,2,5,40.0,2,0,218,825,494,15,4,2,2,4,231,216,93.5,13,Matches
Duván Zapata,FW,29.0,4.8,148,13,25,57,76,28,138,10,14,71.4,11,0,90,483,304,12,6,5,11,9,194,100,51.5,34,Matches
Davinson Sánchez,DF,24.0,5.8,263,43,157,108,9,4,262,0,0,,0,0,174,906,525,16,2,0,0,0,183,181,98.9,0,Matches
Daniel Muñoz,DF,24.0,5.3,308,26,122,137,62,7,270,5,6,83.3,5,0,168,614,310,10,4,0,0,4,181,164,90.6,9,Matches
Luis Fernando Díaz,"MF,FW",24.0,4.6,219,1,32,97,118,23,213,26,32,81.3,26,0,193,1250,846,43,18,7,9,13,199,161,80.9,32,Matches
Edwin Cardona,"MF,FW",28.0,3.7,208,1,18,129,69,6,188,6,11,54.5,8,1,152,649,274,16,4,0,5,3,178,151,84.8,13,Matches
Rafael Borré,"FW,MF",25.0,3.2,119,3,26,64,34,2,118,1,2,50.0,1,0,79,412,202,9,1,0,4,3,117,75,64.1,13,Matches
Gustavo Cuellar,MF,28.0,3.2,223,14,72,137,31,0,220,4,4,100.0,4,0,153,836,481,15,2,0,2,6,168,161,95.8,4,Matches
Mateus Uribe,MF,29.0,2.7,155,6,46,86,30,5,154,1,3,33.3,1,0,107,380,171,5,1,0,5,2,115,105,91.3,6,Matches
Miguel Borja,FW,28.0,3.3,107,5,11,44,59,21,103,3,5,60.0,4,1,69,256,126,9,4,4,8,10,115,78,67.8,25,Matches
Óscar Murillo,DF,32.0,1.9,70,10,46,24,3,3,69,1,1,100.0,1,0,40,155,66,0,0,0,0,1,45,44,97.8,0,Matches
Stefan Medina,DF,28.0,1.9,117,7,31,60,31,2,101,3,4,75.0,3,0,79,265,158,10,3,0,1,1,78,71,91.0,2,Matches
Luis Muriel,"FW,MF",29.0,1.8,93,0,7,33,60,13,85,4,7,57.1,4,0,72,427,259,14,2,2,5,7,83,64,77.1,24,Matches
Camilo Vargas,GK,31.0,1.0,25,25,25,0,0,0,14,0,0,,0,0,12,63,38,0,0,0,0,0,6,6,100.0,0,Matches
Sebastián Pérez Cardona,MF,27.0,1.0,44,0,14,27,5,1,43,0,0,,0,0,30,88,37,1,0,0,3,1,39,34,87.2,2,Matches
Yairo Moreno,DF,25.0,0.5,29,0,14,12,5,1,28,2,4,50.0,2,0,21,55,24,1,0,0,1,1,21,19,90.5,1,Matches
Yimmi Chará,"MF,FW",29.0,1.8,83,2,16,42,30,4,82,2,4,50.0,2,0,58,315,219,5,4,0,6,2,80,67,83.8,9,Matches
Frank Fabra,DF,29.0,0.8,19,0,7,8,4,0,18,0,0,,0,0,13,58,28,2,0,0,0,0,11,11,100.0,1,Matches
Jaminton Campaz,FW,20.0,0.3,22,0,0,15,8,1,22,0,0,,0,0,17,74,26,1,0,0,1,0,19,16,84.2,1,Matches
Alfredo Morelos,FW,24.0,0.1,7,0,1,2,4,0,7,0,0,,0,0,6,19,9,1,0,0,0,0,8,6,75.0,1,Matches
Squad Total,,28.4,7.3,3977,417,1384,1854,958,166,3699,94,137,68.6,99,3,2614,12373,6799,255,75,25,82,86,2962,2550,86.1,239,
Opponent Total,,27.7,7.3,4131,420,1343,1921,1116,117,3827,91,144,63.2,95,9,2855,13218,7295,291,91,20,87,99,3125,2710,86.7,218,
