player,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,matches
Wílmar Barrios,MF,27.0,7.3,0,1,0,0.0,0.14,0.0,0.0,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Yerry Mina,DF,26.0,6.9,0,8,2,25.0,1.15,0.29,0.0,0.0,10.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Juan Cuadrado,"MF,FW",32.0,6.3,1,5,3,60.0,0.79,0.47,0.2,0.33,22.0,2,0,0,0.4,0.4,0.07,0.6,0.6,Matches
David Ospina,GK,32.0,6.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
William Tesillo,DF,30.0,6.0,0,2,0,0.0,0.33,0.0,0.0,,10.5,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Duván Zapata,FW,29.0,4.8,0,13,6,46.2,2.73,1.26,0.0,0.0,13.9,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
Davinson Sánchez,DF,24.0,5.8,0,1,1,100.0,0.17,0.17,0.0,0.0,14.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Daniel Muñoz,DF,24.0,5.3,0,3,0,0.0,0.56,0.0,0.0,,17.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Luis Fernando Díaz,"MF,FW",24.0,4.6,4,10,8,80.0,2.16,1.73,0.4,0.5,16.9,0,0,0,0.7,0.7,0.07,3.3,3.3,Matches
Edwin Cardona,"MF,FW",28.0,3.7,1,6,2,33.3,1.63,0.54,0.17,0.5,23.4,0,0,0,0.5,0.5,0.08,0.5,0.5,Matches
Rafael Borré,"FW,MF",25.0,3.2,0,1,0,0.0,0.31,0.0,0.0,,8.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Gustavo Cuellar,MF,28.0,3.2,0,1,0,0.0,0.32,0.0,0.0,,23.7,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Mateus Uribe,MF,29.0,2.7,0,5,2,40.0,1.87,0.75,0.0,0.0,12.8,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Miguel Borja,FW,28.0,3.3,1,11,3,27.3,3.34,0.91,0.0,0.0,14.4,0,1,1,2.0,1.3,0.13,-1.0,-1.3,Matches
Óscar Murillo,DF,32.0,1.9,0,2,0,0.0,1.05,0.0,0.0,,13.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Stefan Medina,DF,28.0,1.9,0,1,1,100.0,0.53,0.53,0.0,0.0,12.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Luis Muriel,"FW,MF",29.0,1.8,0,6,1,16.7,3.42,0.57,0.0,0.0,15.4,1,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Camilo Vargas,GK,31.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sebastián Pérez Cardona,MF,27.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yairo Moreno,DF,25.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yimmi Chará,"MF,FW",29.0,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Frank Fabra,DF,29.0,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jaminton Campaz,FW,20.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alfredo Morelos,FW,24.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,28.4,7.3,7,76,29,38.2,10.36,3.95,0.08,0.21,15.6,3,1,1,6.5,5.8,0.08,0.5,0.2,
Opponent Total,,27.7,7.3,6,63,18,28.6,8.59,2.45,0.1,0.33,19.2,4,0,0,6.2,6.2,0.1,-0.2,-0.2,
