player,pos,age,playingtime_mp,playingtime_starts,playingtime_min,playingtime_90s,performance_gls,performance_ast,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per90minutes_gls,per90minutes_ast,per90minutes_g+a,per90minutes_g-pk,per90minutes_g+a-pk,expected_xg,expected_npxg,expected_xa,expected_npxg+xa,per90minutes_xg,per90minutes_xa,per90minutes_xg+xa,per90minutes_npxg,per90minutes_npxg+xa,matches
Wílmar Barrios,MF,27.0,7,7,659.0,7.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.0,0.01,Matches
Yerry Mina,DF,26.0,7,7,624.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.05,0.0,0.05,0.05,0.05,Matches
Juan Cuadrado,"MF,FW",32.0,6,6,570.0,6.3,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.16,0.16,0.32,0.16,0.32,0.4,0.4,1.4,1.8,0.06,0.23,0.29,0.06,0.29,Matches
David Ospina,GK,32.0,6,6,570.0,6.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
William Tesillo,DF,30.0,7,6,541.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.04,0.03,0.07,0.04,0.07,Matches
Duván Zapata,FW,29.0,7,6,428.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.21,0.01,0.22,0.21,0.22,Matches
Davinson Sánchez,DF,24.0,7,5,525.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.07,0.07,0.0,0.07,Matches
Daniel Muñoz,DF,24.0,5,5,480.0,5.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.03,0.0,0.03,0.03,0.03,Matches
Luis Fernando Díaz,"MF,FW",24.0,5,4,417.0,4.6,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.86,0.0,0.86,0.86,0.86,0.7,0.7,0.3,1.0,0.15,0.05,0.21,0.15,0.21,Matches
Edwin Cardona,"MF,FW",28.0,5,4,331.0,3.7,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.27,0.27,0.54,0.27,0.54,0.5,0.5,0.4,0.9,0.13,0.12,0.25,0.13,0.25,Matches
Rafael Borré,"FW,MF",25.0,5,4,292.0,3.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.01,0.08,0.09,0.01,0.09,Matches
Gustavo Cuellar,MF,28.0,6,3,284.0,3.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Mateus Uribe,MF,29.0,3,3,240.0,2.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6,0.2,0.01,0.21,0.2,0.21,Matches
Miguel Borja,FW,28.0,7,2,296.0,3.3,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.3,0.3,0.61,0.0,0.3,2.0,1.3,0.5,1.8,0.62,0.15,0.77,0.39,0.54,Matches
Óscar Murillo,DF,32.0,3,2,172.0,1.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Stefan Medina,DF,28.0,2,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.01,0.12,0.13,0.01,0.13,Matches
Luis Muriel,"FW,MF",29.0,4,2,158.0,1.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.57,0.5,0.5,0.2,0.8,0.31,0.14,0.45,0.31,0.45,Matches
Camilo Vargas,GK,31.0,1,1,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,0.3,0.0,0.26,0.26,0.0,0.26,Matches
Sebastián Pérez Cardona,MF,27.0,2,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yairo Moreno,DF,25.0,1,1,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yimmi Chará,"MF,FW",29.0,4,0,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.15,0.15,0.0,0.15,Matches
Frank Fabra,DF,29.0,1,0,75.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jaminton Campaz,FW,20.0,1,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alfredo Morelos,FW,24.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Carlos Cuesta,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jhon Lucumí,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Baldomero Perlaza,MF,28.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Aldair Quintana,GK,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,28.4,7,77,660.0,7.3,7.0,5.0,6.0,1.0,1.0,19.0,1.0,0.95,0.68,1.64,0.82,1.5,6.5,5.8,4.6,10.4,0.85,0.6,1.45,0.75,1.35,
