player,pos,age,90s,tackles_tkl,tackles_tklw,tackles_def 3rd,tackles_mid 3rd,tackles_att 3rd,vsdribbles_tkl,vsdribbles_att,vsdribbles_tkl%,vsdribbles_past,pressures_press,pressures_succ,pressures_%,pressures_def 3rd,pressures_mid 3rd,pressures_att 3rd,blocks_blocks,blocks_sh,blocks_shsv,blocks_pass,int,tkl+int,clr,err,matches
Robert Arboleda,DF,29.0,5.0,2,2,2,0,0,2,6,33.3,4,27,9,33.3,13,10,4,7,4,1,3,0,2,29,0,Matches
Pervis Estupiñán,DF,23.0,5.0,16,12,5,5,6,3,9,33.3,6,106,31,29.2,29,51,26,11,2,0,9,12,28,9,0,Matches
Piero Hincapié,DF,19.0,5.0,11,7,8,3,0,4,6,66.7,2,58,22,37.9,33,20,5,6,4,0,2,10,21,28,1,Matches
Ángelo Preciado,DF,22.0,4.9,11,11,8,3,0,5,12,41.7,7,88,33,37.5,37,38,13,6,1,0,5,7,18,13,0,Matches
Jhegson Méndez,MF,23.0,4.6,14,9,7,7,0,8,15,53.3,7,82,26,31.7,33,46,3,4,0,0,4,5,19,11,0,Matches
Enner Valencia,FW,31.0,3.8,4,1,0,2,2,0,3,0.0,3,71,18,25.4,4,27,40,3,0,0,3,2,6,3,0,Matches
Moisés Caicedo,MF,19.0,3.3,11,4,4,6,1,4,8,50.0,4,69,20,29.0,15,41,13,1,0,0,1,5,16,6,0,Matches
Ayrton Preciado,MF,26.0,3.1,9,5,4,4,1,4,5,80.0,1,52,21,40.4,17,22,13,4,1,0,3,3,12,5,0,Matches
Hernán Galíndez,GK,33.0,3.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
Alan Franco,MF,22.0,2.8,3,2,1,2,0,0,1,0.0,1,44,7,15.9,10,23,11,4,0,0,4,6,9,1,0,Matches
Ángel Mena,"MF,FW",33.0,3.2,4,3,1,2,1,0,4,0.0,4,44,15,34.1,7,15,22,2,0,0,2,5,9,1,0,Matches
Pedro Ortíz,GK,30.0,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Leonardo Campana,FW,20.0,1.9,2,1,0,0,2,1,4,25.0,3,50,15,30.0,5,23,22,2,1,0,1,0,2,0,0,Matches
Diego Palacios,"MF,FW",21.0,1.3,1,0,1,0,0,0,0,,0,19,3,15.8,9,7,3,1,0,0,1,2,3,0,0,Matches
Gonzalo Plata,"MF,FW",20.0,1.7,5,2,2,1,2,3,7,42.9,4,39,10,25.6,5,23,11,0,0,0,0,3,8,0,0,Matches
Michael Estrada,FW,24.0,1.6,0,0,0,0,0,0,2,0.0,2,33,10,30.3,2,7,24,1,0,0,1,1,1,0,0,Matches
Damián Díaz,MF,34.0,0.8,1,1,0,1,0,0,2,0.0,2,9,4,44.4,1,4,4,0,0,0,0,0,1,0,0,Matches
Fidel Martínez,MF,30.0,0.7,2,1,1,0,1,0,0,,0,20,6,30.0,2,11,7,1,0,0,1,0,2,0,0,Matches
Carlos Gruezo,MF,25.0,0.5,2,1,1,1,0,0,2,0.0,2,14,3,21.4,6,8,0,0,0,0,0,0,2,3,1,Matches
Christian Noboa,MF,35.0,0.4,4,3,1,3,0,1,2,50.0,1,13,4,30.8,2,10,1,1,0,0,1,0,4,2,0,Matches
Jordy Caicedo,"FW,MF",23.0,0.3,0,0,0,0,0,0,0,,0,6,0,0.0,0,2,4,0,0,0,0,0,0,0,0,Matches
Mario Pineida,MF,28.0,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
Squad Total,,25.5,5.0,102,65,46,40,16,35,89,39.3,54,845,257,30.4,231,388,226,54,13,1,41,61,163,112,2,
Opponent Total,,27.4,5.0,109,72,59,36,14,46,107,43.0,61,771,214,27.8,333,317,121,80,16,1,64,72,181,185,0,
