player,pos,age,90s,sca_sca,sca_sca90,scatypes_passlive,scatypes_passdead,scatypes_drib,scatypes_sh,scatypes_fld,scatypes_def,gca_gca,gca_gca90,gcatypes_passlive,gcatypes_passdead,gcatypes_drib,gcatypes_sh,gcatypes_fld,gcatypes_def,matches
Robert Arboleda,DF,29.0,5.0,3,0.6,2,0,0,1,0,0,1,0.2,0,0,0,1,0,0,Matches
Pervis Estupiñán,DF,23.0,5.0,18,3.6,11,6,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Piero Hincapié,DF,19.0,5.0,6,1.2,5,0,0,1,0,0,1,0.2,1,0,0,0,0,0,Matches
Ángelo Preciado,DF,22.0,4.9,7,1.43,5,0,0,1,1,0,1,0.2,0,0,0,0,1,0,Matches
Jhegson Méndez,MF,23.0,4.6,2,0.43,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Enner Valencia,FW,31.0,3.8,7,1.83,4,1,1,0,1,0,1,0.26,1,0,0,0,0,0,Matches
Moisés Caicedo,MF,19.0,3.3,7,2.13,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Ayrton Preciado,MF,26.0,3.1,8,2.56,3,5,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Hernán Galíndez,GK,33.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alan Franco,MF,22.0,2.8,4,1.45,2,0,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches
Ángel Mena,"MF,FW",33.0,3.2,7,2.17,5,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Ortíz,GK,30.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Leonardo Campana,FW,20.0,1.9,4,2.13,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Diego Palacios,"MF,FW",21.0,1.3,2,1.55,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gonzalo Plata,"MF,FW",20.0,1.7,8,4.65,1,0,3,2,2,0,0,0.0,0,0,0,0,0,0,Matches
Michael Estrada,FW,24.0,1.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Damián Díaz,MF,34.0,0.8,2,2.43,0,2,0,0,0,0,1,1.22,0,1,0,0,0,0,Matches
Fidel Martínez,MF,30.0,0.7,2,2.9,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Gruezo,MF,25.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Christian Noboa,MF,35.0,0.4,1,2.65,0,0,0,1,0,0,1,2.65,0,0,0,1,0,0,Matches
Jordy Caicedo,"FW,MF",23.0,0.3,1,2.9,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mario Pineida,MF,28.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,25.5,5.0,89,17.8,53,15,5,7,7,2,6,1.2,2,1,0,2,1,0,
Opponent Total,,27.4,5.0,75,15.0,46,9,4,6,8,2,17,3.4,12,1,2,0,2,0,
