player,pos,age,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerialduels_won,aerialduels_lost,aerialduels_won%,matches
Robert Arboleda,DF,29.0,5.0,0,0,0,2,2,0,0,0,2,0,0,0,26,11,4,73.3,Matches
Pervis Estupiñán,DF,23.0,5.0,2,0,0,19,8,0,30,12,12,0,0,0,40,7,5,58.3,Matches
Piero Hincapié,DF,19.0,5.0,1,1,0,9,6,1,1,10,7,0,0,0,39,18,7,72.0,Matches
Ángelo Preciado,DF,22.0,4.9,2,0,0,8,8,0,16,7,11,0,0,0,43,13,6,68.4,Matches
Jhegson Méndez,MF,23.0,4.6,0,0,0,7,1,0,0,5,9,0,0,0,34,3,5,37.5,Matches
Enner Valencia,FW,31.0,3.8,2,0,0,8,8,4,3,2,1,0,0,0,13,8,25,24.2,Matches
Moisés Caicedo,MF,19.0,3.3,1,0,0,7,5,0,1,5,4,0,0,0,31,5,6,45.5,Matches
Ayrton Preciado,MF,26.0,3.1,0,0,0,6,0,0,5,3,5,0,0,0,17,2,9,18.2,Matches
Hernán Galíndez,GK,33.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,,Matches
Alan Franco,MF,22.0,2.8,1,0,0,4,1,0,1,6,2,0,0,0,16,0,6,0.0,Matches
Ángel Mena,"MF,FW",33.0,3.2,0,0,0,3,11,0,7,5,3,0,0,0,19,2,5,28.6,Matches
Pedro Ortíz,GK,30.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,,Matches
Leonardo Campana,FW,20.0,1.9,0,0,0,5,2,1,0,0,1,0,0,0,5,5,6,45.5,Matches
Diego Palacios,"MF,FW",21.0,1.3,0,0,0,2,0,1,1,2,0,0,0,0,5,1,0,100.0,Matches
Gonzalo Plata,"MF,FW",20.0,1.7,0,0,0,2,5,0,2,3,2,0,0,0,17,2,1,66.7,Matches
Michael Estrada,FW,24.0,1.6,0,0,0,0,5,0,0,1,0,0,0,0,9,4,2,66.7,Matches
Damián Díaz,MF,34.0,0.8,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,,Matches
Fidel Martínez,MF,30.0,0.7,0,0,0,1,2,0,4,0,1,0,0,0,4,1,3,25.0,Matches
Carlos Gruezo,MF,25.0,0.5,0,0,0,0,1,0,0,0,1,0,0,0,7,3,0,100.0,Matches
Christian Noboa,MF,35.0,0.4,0,0,0,1,0,0,0,0,3,0,0,0,7,2,0,100.0,Matches
Jordy Caicedo,"FW,MF",23.0,0.3,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2,33.3,Matches
Mario Pineida,MF,28.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Squad Total,,25.5,5.0,9,1,0,76,56,8,73,61,65,0,0,0,358,88,92,48.9,
Opponent Total,,27.4,5.0,6,0,0,58,74,9,36,72,72,0,0,1,328,92,88,51.1,
