player,pos,age,90s,att,passtypes_live,passtypes_dead,passtypes_fk,passtypes_tb,passtypes_press,passtypes_sw,passtypes_crs,passtypes_ck,cornerkicks_in,cornerkicks_out,cornerkicks_str,height_ground,height_low,height_high,bodyparts_left,bodyparts_right,bodyparts_head,bodyparts_ti,bodyparts_other,outcomes_cmp,outcomes_off,outcomes_out,outcomes_int,outcomes_blocks,matches
Robert Arboleda,DF,29.0,5.0,231,225,6,5,0,16,5,0,0,0,0,0,191,11,29,40,182,6,1,0,213,0,1,2,0,Matches
Pervis Estupiñán,DF,23.0,5.0,273,208,65,9,1,36,13,30,9,0,8,0,136,59,78,189,26,5,47,2,196,2,4,11,13,Matches
Piero Hincapié,DF,19.0,5.0,244,236,8,6,0,26,7,1,0,0,0,0,178,23,43,205,20,10,2,1,205,0,3,6,5,Matches
Ángelo Preciado,DF,22.0,4.9,263,207,56,7,0,39,10,16,0,0,0,0,140,68,55,10,188,9,49,1,207,1,5,6,12,Matches
Jhegson Méndez,MF,23.0,4.6,287,280,7,7,0,23,6,0,0,0,0,0,234,19,34,24,258,3,0,2,262,1,2,8,2,Matches
Enner Valencia,FW,31.0,3.8,71,62,9,0,1,15,1,3,0,0,0,0,41,18,12,9,49,2,4,0,45,0,1,5,5,Matches
Moisés Caicedo,MF,19.0,3.3,185,181,4,4,1,34,8,1,0,0,0,0,151,14,20,22,159,3,0,1,169,1,0,6,2,Matches
Ayrton Preciado,MF,26.0,3.1,128,106,22,0,0,22,6,5,17,3,13,0,81,20,27,14,105,2,5,0,97,0,2,2,4,Matches
Hernán Galíndez,GK,33.0,3.0,76,50,26,8,0,4,0,0,0,0,0,0,26,4,46,10,58,0,0,7,33,0,2,1,0,Matches
Alan Franco,MF,22.0,2.8,83,83,0,0,1,10,1,1,0,0,0,0,67,7,9,7,73,3,0,0,70,1,1,0,2,Matches
Ángel Mena,"MF,FW",33.0,3.2,157,144,13,6,0,30,8,7,6,2,2,1,112,25,20,127,25,3,1,0,142,0,1,2,3,Matches
Pedro Ortíz,GK,30.0,2.0,41,31,10,3,0,1,0,0,0,0,0,0,26,2,13,3,30,0,0,8,33,1,0,0,0,Matches
Leonardo Campana,FW,20.0,1.9,31,24,7,0,0,9,0,0,0,0,0,0,25,3,3,18,10,1,0,0,24,0,0,2,1,Matches
Diego Palacios,"MF,FW",21.0,1.3,26,23,3,0,0,9,2,1,2,0,1,0,16,3,7,20,2,1,1,1,20,0,1,0,3,Matches
Gonzalo Plata,"MF,FW",20.0,1.7,54,48,6,0,1,12,1,2,4,0,2,0,33,13,8,42,9,0,2,0,42,0,0,3,2,Matches
Michael Estrada,FW,24.0,1.6,27,25,2,0,0,8,0,0,0,0,0,0,16,8,3,1,22,1,0,1,18,0,0,0,5,Matches
Damián Díaz,MF,34.0,0.8,43,39,4,2,0,13,2,2,2,1,1,0,30,4,9,8,35,0,0,0,30,0,0,4,3,Matches
Fidel Martínez,MF,30.0,0.7,32,25,7,3,0,6,2,4,4,2,2,0,17,5,10,22,7,2,0,0,18,0,1,3,0,Matches
Carlos Gruezo,MF,25.0,0.5,19,19,0,0,0,3,0,0,0,0,0,0,13,2,4,0,15,2,0,0,14,0,0,4,0,Matches
Christian Noboa,MF,35.0,0.4,40,37,3,2,0,7,2,0,0,0,0,0,28,6,6,7,29,2,1,0,34,0,0,2,1,Matches
Jordy Caicedo,"FW,MF",23.0,0.3,4,4,0,0,0,4,0,0,0,0,0,0,3,0,1,1,2,0,0,0,3,0,0,0,0,Matches
Mario Pineida,MF,28.0,0.1,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,Matches
Squad Total,,25.5,5.0,2317,2059,258,62,5,328,74,73,44,8,29,1,1565,315,437,780,1304,56,113,24,1877,7,24,67,63,
Opponent Total,,27.4,5.0,1823,1614,209,83,5,401,42,36,16,4,6,0,1252,204,367,520,1112,67,62,22,1445,7,25,57,42,
