player,pos,age,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches
Robert Arboleda,DF,29.0,5.0,213,231,92.2,4599,1463,66,68,97.1,102,107,95.3,42,53,79.2,1,0.0,1.0,1,17,2,0,10,Matches
Pervis Estupiñán,DF,23.0,5.0,196,273,71.8,3586,1534,88,102,86.3,80,99,80.8,25,57,43.9,0,0.7,-0.7,11,16,11,6,18,Matches
Piero Hincapié,DF,19.0,5.0,205,244,84.0,4442,1781,69,77,89.6,90,96,93.8,41,62,66.1,0,0.0,0.0,1,29,5,0,28,Matches
Ángelo Preciado,DF,22.0,4.9,207,263,78.7,3635,1231,99,112,88.4,83,102,81.4,19,33,57.6,0,0.1,-0.1,2,13,7,4,10,Matches
Jhegson Méndez,MF,23.0,4.6,262,287,91.3,5081,1417,97,105,92.4,126,129,97.7,36,50,72.0,0,0.0,0.0,0,23,2,0,15,Matches
Enner Valencia,FW,31.0,3.8,45,71,63.4,695,74,23,32,71.9,15,26,57.7,3,6,50.0,1,0.3,0.7,3,2,2,0,3,Matches
Moisés Caicedo,MF,19.0,3.3,169,185,91.4,3275,728,75,82,91.5,69,73,94.5,24,27,88.9,0,0.2,-0.2,1,22,4,0,18,Matches
Ayrton Preciado,MF,26.0,3.1,97,128,75.8,1690,623,50,57,87.7,33,41,80.5,12,25,48.0,0,0.6,-0.6,6,10,3,0,13,Matches
Hernán Galíndez,GK,33.0,3.0,33,76,43.4,922,569,6,6,100.0,18,18,100.0,9,52,17.3,0,0.0,0.0,0,1,0,0,0,Matches
Alan Franco,MF,22.0,2.8,70,83,84.3,1174,220,30,34,88.2,35,38,92.1,3,7,42.9,0,0.4,-0.4,2,2,1,0,3,Matches
Ángel Mena,"MF,FW",33.0,3.2,142,157,90.4,2277,523,83,83,100.0,44,48,91.7,14,21,66.7,0,0.5,-0.5,4,9,6,1,14,Matches
Pedro Ortíz,GK,30.0,2.0,33,41,80.5,888,476,8,8,100.0,13,13,100.0,12,20,60.0,0,0.0,0.0,0,0,0,0,0,Matches
Leonardo Campana,FW,20.0,1.9,24,31,77.4,262,21,18,24,75.0,5,5,100.0,0,0,,0,0.2,-0.2,3,0,0,0,1,Matches
Diego Palacios,"MF,FW",21.0,1.3,20,26,76.9,316,106,12,14,85.7,4,4,100.0,3,4,75.0,0,0.3,-0.3,1,0,2,1,1,Matches
Gonzalo Plata,"MF,FW",20.0,1.7,42,54,77.8,669,96,22,25,88.0,15,19,78.9,4,7,57.1,0,0.4,-0.4,1,4,0,0,2,Matches
Michael Estrada,FW,24.0,1.6,18,27,66.7,216,26,12,15,80.0,5,6,83.3,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
Damián Díaz,MF,34.0,0.8,30,43,69.8,610,210,12,16,75.0,12,14,85.7,6,9,66.7,1,0.5,0.5,2,7,1,0,7,Matches
Fidel Martínez,MF,30.0,0.7,18,32,56.3,217,55,11,16,68.8,4,6,66.7,0,7,0.0,0,0.1,-0.1,2,2,1,1,0,Matches
Carlos Gruezo,MF,25.0,0.5,14,19,73.7,242,97,5,7,71.4,9,11,81.8,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
Christian Noboa,MF,35.0,0.4,34,40,85.0,683,171,14,18,77.8,15,15,100.0,5,7,71.4,0,0.0,0.0,0,4,1,0,2,Matches
Jordy Caicedo,"FW,MF",23.0,0.3,3,4,75.0,35,1,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Mario Pineida,MF,28.0,0.1,2,2,100.0,30,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,25.5,5.0,1877,2317,81.0,35544,11422,803,905,88.7,779,872,89.3,258,447,57.7,3,4.3,-1.3,40,163,48,13,145,
Opponent Total,,27.4,5.0,1445,1823,79.3,27566,9528,600,674,89.0,631,721,87.5,181,354,51.1,8,5.0,3.0,36,98,21,3,98,
