player,pos,age,90s,touches_touches,touches_def pen,touches_def 3rd,touches_mid 3rd,touches_att 3rd,touches_att pen,touches_live,dribbles_succ,dribbles_att,dribbles_succ%,dribbles_#pl,dribbles_megs,carries_carries,carries_totdist,carries_prgdist,carries_prog,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_targ,receiving_rec,receiving_rec%,receiving_prog,matches
Robert Arboleda,DF,29.0,5.0,276,33,143,133,13,4,270,1,1,100.0,1,0,190,957,448,14,4,0,0,1,199,196,98.5,0,Matches
Pervis Estupiñán,DF,23.0,5.0,345,8,71,138,150,7,281,6,12,50.0,6,0,205,1039,607,27,6,1,10,6,203,180,88.7,17,Matches
Piero Hincapié,DF,19.0,5.0,307,32,155,159,28,5,300,3,5,60.0,3,0,206,1481,898,26,8,1,3,1,205,199,97.1,2,Matches
Ángelo Preciado,DF,22.0,4.9,319,10,68,143,119,7,264,6,17,35.3,7,0,200,747,312,13,3,0,3,6,182,174,95.6,11,Matches
Jhegson Méndez,MF,23.0,4.6,323,15,102,198,39,0,316,2,5,40.0,2,1,249,1009,392,14,3,0,1,3,254,246,96.9,1,Matches
Enner Valencia,FW,31.0,3.8,129,3,8,48,81,19,119,4,8,50.0,4,0,87,401,213,13,1,2,8,11,155,91,58.7,27,Matches
Moisés Caicedo,MF,19.0,3.3,231,4,38,152,51,6,227,7,9,77.8,7,0,178,549,239,12,4,0,5,7,186,170,91.4,12,Matches
Ayrton Preciado,MF,26.0,3.1,159,7,26,60,84,10,137,3,7,42.9,3,0,109,589,324,12,1,1,4,2,121,96,79.3,14,Matches
Hernán Galíndez,GK,33.0,3.0,82,65,82,0,0,0,57,0,0,,0,0,41,243,109,0,0,0,0,0,32,32,100.0,0,Matches
Alan Franco,MF,22.0,2.8,100,2,18,50,34,3,100,0,0,,0,0,66,211,103,5,0,0,1,2,86,68,79.1,8,Matches
Ángel Mena,"MF,FW",33.0,3.2,198,2,14,91,107,8,187,6,11,54.5,6,0,158,779,433,21,8,1,5,6,177,151,85.3,18,Matches
Pedro Ortíz,GK,30.0,2.0,43,36,43,0,0,0,34,0,0,,0,0,30,108,36,0,0,0,0,0,23,23,100.0,0,Matches
Leonardo Campana,FW,20.0,1.9,56,1,2,23,33,14,49,0,1,0.0,1,0,26,58,16,1,2,0,4,5,79,37,46.8,9,Matches
Diego Palacios,"MF,FW",21.0,1.3,31,2,8,5,19,1,28,1,1,100.0,1,0,19,59,23,1,1,0,0,0,30,18,60.0,0,Matches
Gonzalo Plata,"MF,FW",20.0,1.7,92,1,14,44,45,7,86,12,20,60.0,12,0,78,318,183,10,5,2,6,6,75,58,77.3,8,Matches
Michael Estrada,FW,24.0,1.6,42,0,1,18,24,11,40,1,1,100.0,1,0,27,88,29,2,0,0,1,3,46,26,56.5,10,Matches
Damián Díaz,MF,34.0,0.8,50,0,2,31,21,2,46,3,3,100.0,3,1,38,244,125,7,4,0,2,2,46,39,84.8,2,Matches
Fidel Martínez,MF,30.0,0.7,40,0,4,17,21,2,34,2,2,100.0,2,0,25,130,44,4,0,0,0,2,43,22,51.2,3,Matches
Carlos Gruezo,MF,25.0,0.5,27,1,10,17,2,0,27,0,0,,0,0,14,41,13,1,0,0,1,0,16,14,87.5,0,Matches
Christian Noboa,MF,35.0,0.4,50,1,9,34,7,1,47,0,2,0.0,0,0,30,93,46,2,0,0,0,0,31,31,100.0,0,Matches
Jordy Caicedo,"FW,MF",23.0,0.3,6,0,0,1,5,1,6,2,2,100.0,2,0,5,5,4,0,0,0,2,0,15,5,33.3,3,Matches
Mario Pineida,MF,28.0,0.1,3,1,1,1,1,0,3,0,0,,0,0,1,5,0,0,0,0,0,0,1,1,100.0,0,Matches
Squad Total,,25.5,5.0,2909,224,819,1363,884,108,2658,59,107,55.1,61,2,1982,9154,4597,185,50,8,56,63,2205,1877,85.1,145,
Opponent Total,,27.4,5.0,2496,320,1014,1078,544,81,2301,49,90,54.4,54,3,1516,7028,3753,133,38,15,48,67,1728,1445,83.6,98,
