player,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,matches
Robert Arboleda,DF,29.0,5.0,0,3,2,66.7,0.6,0.4,0.0,0.0,6.3,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
Pervis Estupiñán,DF,23.0,5.0,0,4,3,75.0,0.8,0.6,0.0,0.0,27.4,2,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Piero Hincapié,DF,19.0,5.0,0,4,0,0.0,0.8,0.0,0.0,,16.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Ángelo Preciado,DF,22.0,4.9,0,5,1,20.0,1.02,0.2,0.0,0.0,24.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Jhegson Méndez,MF,23.0,4.6,0,3,2,66.7,0.65,0.43,0.0,0.0,27.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Enner Valencia,FW,31.0,3.8,0,12,1,8.3,3.14,0.26,0.0,0.0,17.8,2,0,0,1.6,1.6,0.14,-1.6,-1.6,Matches
Moisés Caicedo,MF,19.0,3.3,0,6,1,16.7,1.82,0.3,0.0,0.0,16.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Ayrton Preciado,MF,26.0,3.1,2,2,2,100.0,0.64,0.64,1.0,1.0,4.5,0,0,0,1.2,1.2,0.6,0.8,0.8,Matches
Hernán Galíndez,GK,33.0,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alan Franco,MF,22.0,2.8,0,1,0,0.0,0.36,0.0,0.0,,16.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Ángel Mena,"MF,FW",33.0,3.2,1,3,2,66.7,0.93,0.62,0.33,0.5,22.4,1,0,0,0.4,0.4,0.14,0.6,0.6,Matches
Pedro Ortíz,GK,30.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Leonardo Campana,FW,20.0,1.9,0,7,1,14.3,3.73,0.53,0.0,0.0,12.0,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
Diego Palacios,"MF,FW",21.0,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gonzalo Plata,"MF,FW",20.0,1.7,1,4,4,100.0,2.32,2.32,0.25,0.25,7.9,0,0,0,0.9,0.9,0.26,0.1,0.1,Matches
Michael Estrada,FW,24.0,1.6,0,4,0,0.0,2.57,0.0,0.0,,14.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Damián Díaz,MF,34.0,0.8,0,1,1,100.0,1.22,1.22,0.0,0.0,12.2,0,0,0,0.3,0.3,0.26,-0.3,-0.3,Matches
Fidel Martínez,MF,30.0,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Carlos Gruezo,MF,25.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Christian Noboa,MF,35.0,0.4,0,1,0,0.0,2.65,0.0,0.0,,10.0,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches
Jordy Caicedo,"FW,MF",23.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mario Pineida,MF,28.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,25.5,5.0,4,60,20,33.3,12.0,4.0,0.07,0.2,16.7,5,0,0,6.5,6.5,0.12,-2.5,-2.5,
Opponent Total,,27.4,5.0,9,47,18,38.3,9.4,3.6,0.19,0.5,16.0,2,0,0,6.5,6.5,0.14,2.5,2.5,
