player,pos,age,playingtime_mp,playingtime_starts,playingtime_min,playingtime_90s,performance_gls,performance_ast,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per90minutes_gls,per90minutes_ast,per90minutes_g+a,per90minutes_g-pk,per90minutes_g+a-pk,expected_xg,expected_npxg,expected_xa,expected_npxg+xa,per90minutes_xg,per90minutes_xa,per90minutes_xg+xa,per90minutes_npxg,per90minutes_npxg+xa,matches
Robert Arboleda,DF,29.0,5,5,450.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.5,0.5,0.0,0.5,0.1,0.01,0.11,0.1,0.11,Matches
Pervis Estupiñán,DF,23.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.9,0.03,0.14,0.17,0.03,0.17,Matches
Piero Hincapié,DF,19.0,5,5,449.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.06,0.0,0.06,0.06,0.06,Matches
Ángelo Preciado,DF,22.0,5,5,442.0,4.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,Matches
Jhegson Méndez,MF,23.0,5,5,416.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,Matches
Enner Valencia,FW,31.0,4,4,344.0,3.8,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.26,0.26,0.0,0.26,1.6,1.6,0.3,2.0,0.43,0.09,0.51,0.43,0.51,Matches
Moisés Caicedo,MF,19.0,5,4,296.0,3.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,0.13,0.06,0.19,0.13,0.19,Matches
Ayrton Preciado,MF,26.0,4,3,281.0,3.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.64,0.64,1.2,1.2,0.6,1.8,0.38,0.19,0.58,0.38,0.58,Matches
Hernán Galíndez,GK,33.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alan Franco,MF,22.0,4,3,248.0,2.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4,0.02,0.14,0.16,0.02,0.16,Matches
