player,pos,age,90s,tackles_tkl,tackles_tklw,tackles_def 3rd,tackles_mid 3rd,tackles_att 3rd,vsdribbles_tkl,vsdribbles_att,vsdribbles_tkl%,vsdribbles_past,pressures_press,pressures_succ,pressures_%,pressures_def 3rd,pressures_mid 3rd,pressures_att 3rd,blocks_blocks,blocks_sh,blocks_shsv,blocks_pass,int,tkl+int,clr,err,matches
Júnior Alonso,DF,27.0,5.3,9,5,7,2,0,7,12,58.3,5,60,18,30.0,40,18,2,13,5,0,8,7,16,28,0,Matches
Antony Silva,GK,36.0,5.3,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0,Matches
Alberto Espínola,DF,29.0,5.0,20,8,14,5,1,12,22,54.5,10,95,25,26.3,44,38,13,3,0,0,3,10,30,13,0,Matches
Ángel Romero,"MF,FW",28.0,4.6,6,5,2,2,2,2,8,25.0,6,76,20,26.3,18,35,23,4,0,0,4,6,12,2,0,Matches
Santiago Arzamendia,"DF,MF",22.0,3.6,4,2,2,1,1,3,10,30.0,7,73,15,20.5,33,27,13,6,1,0,5,4,8,5,0,Matches
Gustavo Gómez,"DF,FW",27.0,3.5,6,4,5,1,0,0,2,0.0,2,36,19,52.8,16,19,1,3,0,0,3,7,13,17,0,Matches
Mathías Villasanti,MF,24.0,3.4,12,6,6,5,1,3,8,37.5,5,85,23,27.1,31,41,13,7,2,0,5,9,21,6,0,Matches
Miguel Almirón,"FW,MF",26.0,3.2,7,6,2,3,2,0,3,0.0,3,50,15,30.0,8,25,17,5,0,0,5,1,8,0,0,Matches
Gabriel Ávalos,FW,30.0,3.0,0,0,0,0,0,0,0,,0,36,7,19.4,1,15,20,2,1,0,1,1,1,0,0,Matches
Héctor David Martínez,DF,23.0,2.9,6,4,6,0,0,6,10,60.0,4,51,12,23.5,28,22,1,3,0,0,3,4,10,4,0,Matches
Carlos González Espínola,FW,27.0,2.4,0,0,0,0,0,0,4,0.0,4,42,6,14.3,2,19,21,0,0,0,0,2,2,3,0,Matches
Braian Samudio,"MF,FW",25.0,2.1,5,1,2,1,2,2,2,100.0,0,24,8,33.3,7,11,6,0,0,0,0,3,8,2,0,Matches
Robert Piris Da Motta,MF,26.0,2.0,6,4,3,3,0,3,6,50.0,3,36,11,30.6,11,20,5,1,1,0,0,2,8,1,1,Matches
Ángel Cardozo,MF,26.0,1.7,8,5,4,3,1,3,7,42.9,4,51,19,37.3,15,30,6,2,0,0,2,4,12,0,0,Matches
Kaku,"MF,FW",26.0,1.7,3,3,0,1,2,1,2,50.0,1,21,6,28.6,4,12,5,0,0,0,0,1,4,0,0,Matches
Robert Rojas,DF,24.0,1.8,2,2,0,2,0,0,2,0.0,2,21,10,47.6,13,7,1,4,2,0,2,2,4,5,0,Matches
Richard Sánchez,"MF,FW",24.0,1.7,4,4,3,0,1,2,5,40.0,3,40,14,35.0,14,18,8,3,0,0,3,1,5,0,0,Matches
Omar Alderete,DF,24.0,1.1,0,0,0,0,0,0,0,,0,9,1,11.1,8,1,0,2,1,0,1,2,2,9,0,Matches
Adrián Cubas,MF,24.0,1.0,2,2,1,1,0,0,2,0.0,2,33,10,30.3,14,19,0,3,1,0,2,2,4,0,0,Matches
Gastón Giménez,MF,29.0,0.9,2,2,2,0,0,1,1,100.0,0,25,5,20.0,12,12,1,1,0,0,1,1,3,1,0,Matches
Óscar Romero,"FW,MF",28.0,1.1,1,1,0,1,0,1,3,33.3,2,31,11,35.5,4,19,8,1,0,0,1,0,1,0,0,Matches
Julio Enciso,MF,17.0,0.5,1,0,1,0,0,0,0,,0,8,2,25.0,3,2,3,0,0,0,0,0,1,0,0,Matches
Antonio Bareiro,FW,31.0,0.2,0,0,0,0,0,0,0,,0,4,1,25.0,1,3,0,1,0,0,1,0,0,0,0,Matches
Squad Total,,27.6,5.3,104,64,60,31,13,46,110,41.8,64,908,258,28.4,328,413,167,64,14,0,50,69,173,97,1,
Opponent Total,,28.3,5.3,71,40,37,25,9,27,78,34.6,51,811,225,27.7,322,319,170,97,17,0,80,72,143,112,0,
