player,pos,age,90s,sca_sca,sca_sca90,scatypes_passlive,scatypes_passdead,scatypes_drib,scatypes_sh,scatypes_fld,scatypes_def,gca_gca,gca_gca90,gcatypes_passlive,gcatypes_passdead,gcatypes_drib,gcatypes_sh,gcatypes_fld,gcatypes_def,matches
Júnior Alonso,DF,27.0,5.3,2,0.37,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Antony Silva,GK,36.0,5.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alberto Espínola,DF,29.0,5.0,11,2.22,9,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Ángel Romero,"MF,FW",28.0,4.6,17,3.69,12,2,0,1,1,1,0,0.0,0,0,0,0,0,0,Matches
Santiago Arzamendia,"DF,MF",22.0,3.6,9,2.47,8,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gustavo Gómez,"DF,FW",27.0,3.5,2,0.57,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mathías Villasanti,MF,24.0,3.4,2,0.59,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Miguel Almirón,"FW,MF",26.0,3.2,13,4.06,9,3,0,1,0,0,2,0.62,0,1,0,1,0,0,Matches
Gabriel Ávalos,FW,30.0,3.0,5,1.69,3,0,1,0,1,0,2,0.68,1,0,1,0,0,0,Matches
Héctor David Martínez,DF,23.0,2.9,9,3.1,5,0,0,2,2,0,1,0.34,0,0,0,1,0,0,Matches
Carlos González Espínola,FW,27.0,2.4,5,2.1,2,0,0,2,1,0,3,1.26,0,0,0,2,1,0,Matches
Braian Samudio,"MF,FW",25.0,2.1,4,1.89,2,0,0,2,0,0,1,0.47,0,0,0,1,0,0,Matches
Robert Piris Da Motta,MF,26.0,2.0,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ángel Cardozo,MF,26.0,1.7,1,0.59,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kaku,"MF,FW",26.0,1.7,15,8.94,10,3,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Robert Rojas,DF,24.0,1.8,1,0.55,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Richard Sánchez,"MF,FW",24.0,1.7,6,3.53,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Omar Alderete,DF,24.0,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Adrián Cubas,MF,24.0,1.0,1,1.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gastón Giménez,MF,29.0,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Óscar Romero,"FW,MF",28.0,1.1,2,1.86,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Julio Enciso,MF,17.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Antonio Bareiro,FW,31.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,27.6,5.3,106,19.87,74,12,2,10,6,2,9,1.69,1,1,1,5,1,0,
Opponent Total,,28.3,5.3,74,13.87,45,9,4,3,10,3,9,1.69,7,0,0,1,1,0,
