player,pos,age,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerialduels_won,aerialduels_lost,aerialduels_won%,matches
Júnior Alonso,DF,27.0,5.3,1,0,0,9,0,1,0,7,5,0,0,0,44,14,2,87.5,Matches
Antony Silva,GK,36.0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,,Matches
Alberto Espínola,DF,29.0,5.0,2,0,0,10,7,1,11,10,8,0,0,0,31,7,2,77.8,Matches
Ángel Romero,"MF,FW",28.0,4.6,0,0,0,7,6,1,27,6,5,0,1,0,35,5,5,50.0,Matches
Santiago Arzamendia,"DF,MF",22.0,3.6,1,0,0,5,0,1,12,4,2,0,1,0,25,7,4,63.6,Matches
Gustavo Gómez,"DF,FW",27.0,3.5,3,1,1,8,3,0,2,7,4,0,0,1,24,11,7,61.1,Matches
Mathías Villasanti,MF,24.0,3.4,1,0,0,7,3,0,1,9,6,0,0,0,16,4,2,66.7,Matches
Miguel Almirón,"FW,MF",26.0,3.2,0,0,0,5,11,1,10,1,6,0,0,0,17,0,2,0.0,Matches
Gabriel Ávalos,FW,30.0,3.0,0,0,0,6,6,1,0,1,0,0,0,0,8,13,9,59.1,Matches
Héctor David Martínez,DF,23.0,2.9,1,0,0,1,2,0,5,4,4,0,0,0,18,3,4,42.9,Matches
Carlos González Espínola,FW,27.0,2.4,0,0,0,2,6,0,2,2,0,1,0,0,7,21,11,65.6,Matches
Braian Samudio,"MF,FW",25.0,2.1,0,0,0,3,1,2,2,3,1,0,0,0,19,15,2,88.2,Matches
Robert Piris Da Motta,MF,26.0,2.0,0,0,0,5,3,0,0,2,4,0,0,0,7,3,1,75.0,Matches
Ángel Cardozo,MF,26.0,1.7,0,0,0,5,3,0,0,4,5,0,0,0,11,1,1,50.0,Matches
Kaku,"MF,FW",26.0,1.7,0,0,0,0,0,0,5,1,3,0,0,0,10,0,0,,Matches
Robert Rojas,DF,24.0,1.8,0,0,0,1,1,0,1,2,2,0,0,0,13,2,4,33.3,Matches
Richard Sánchez,"MF,FW",24.0,1.7,0,0,0,1,2,0,1,1,4,0,0,0,14,2,1,66.7,Matches
Omar Alderete,DF,24.0,1.1,1,0,0,1,0,0,0,2,0,0,0,0,14,4,2,66.7,Matches
Adrián Cubas,MF,24.0,1.0,0,0,0,1,1,0,0,2,2,0,0,0,10,1,1,50.0,Matches
Gastón Giménez,MF,29.0,0.9,0,0,0,2,1,0,0,1,2,0,0,0,4,0,0,,Matches
Óscar Romero,"FW,MF",28.0,1.1,0,0,0,2,4,1,1,0,1,0,0,0,9,0,1,0.0,Matches
Julio Enciso,MF,17.0,0.5,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,,Matches
Antonio Bareiro,FW,31.0,0.2,0,0,0,0,0,1,1,0,0,0,0,0,1,4,1,80.0,Matches
Squad Total,,27.6,5.3,10,1,1,78,57,10,81,69,64,1,2,1,352,117,62,65.4,
Opponent Total,,28.3,5.3,12,2,2,58,75,4,39,72,40,1,1,0,345,62,117,34.6,
