player,pos,age,90s,att,passtypes_live,passtypes_dead,passtypes_fk,passtypes_tb,passtypes_press,passtypes_sw,passtypes_crs,passtypes_ck,cornerkicks_in,cornerkicks_out,cornerkicks_str,height_ground,height_low,height_high,bodyparts_left,bodyparts_right,bodyparts_head,bodyparts_ti,bodyparts_other,outcomes_cmp,outcomes_off,outcomes_out,outcomes_int,outcomes_blocks,matches
Júnior Alonso,DF,27.0,5.3,309,298,11,10,0,26,7,0,0,0,0,0,238,27,44,231,61,9,1,4,281,0,2,6,3,Matches
Antony Silva,GK,36.0,5.3,105,69,36,9,0,8,0,0,0,0,0,0,55,5,45,3,86,0,0,14,80,2,2,1,0,Matches
Alberto Espínola,DF,29.0,5.0,250,197,53,2,0,26,7,11,0,0,0,0,132,62,56,24,162,10,51,1,207,1,4,3,10,Matches
Ángel Romero,"MF,FW",28.0,4.6,208,189,19,9,1,41,12,27,6,0,4,0,131,31,46,44,149,6,4,0,140,2,7,6,16,Matches
Santiago Arzamendia,"DF,MF",22.0,3.6,192,171,21,3,0,27,3,12,1,1,0,0,128,40,24,141,24,6,17,0,158,1,5,5,9,Matches
Gustavo Gómez,"DF,FW",27.0,3.5,170,162,8,8,0,13,4,2,0,0,0,0,128,17,25,19,143,6,0,0,157,0,2,3,1,Matches
Mathías Villasanti,MF,24.0,3.4,116,114,2,1,0,27,0,1,0,0,0,0,96,8,12,26,83,2,1,0,102,0,2,3,2,Matches
Miguel Almirón,"FW,MF",26.0,3.2,169,160,9,1,0,36,6,10,4,2,0,0,131,20,18,156,7,2,4,0,150,0,3,5,4,Matches
Gabriel Ávalos,FW,30.0,3.0,49,42,7,1,0,19,1,0,0,0,0,0,28,12,9,9,26,6,0,1,28,0,1,6,4,Matches
Héctor David Martínez,DF,23.0,2.9,121,100,21,1,0,21,3,5,0,0,0,0,59,32,30,88,8,3,20,1,87,1,0,7,7,Matches
Carlos González Espínola,FW,27.0,2.4,54,50,4,0,0,30,1,2,0,0,0,0,26,13,15,5,30,2,0,1,35,0,1,4,2,Matches
Braian Samudio,"MF,FW",25.0,2.1,58,57,1,0,0,20,0,2,0,0,0,0,31,13,14,3,39,3,0,0,37,1,0,1,6,Matches
Robert Piris Da Motta,MF,26.0,2.0,86,83,3,2,0,12,4,0,0,0,0,0,72,8,6,7,73,2,1,0,75,0,1,0,2,Matches
Ángel Cardozo,MF,26.0,1.7,102,100,2,2,0,18,2,0,0,0,0,0,78,8,16,12,88,0,0,1,88,0,0,6,2,Matches
Kaku,"MF,FW",26.0,1.7,123,113,10,1,0,22,2,5,8,0,2,2,87,18,18,112,7,3,1,0,105,1,2,4,2,Matches
Robert Rojas,DF,24.0,1.8,91,86,5,0,0,5,0,1,0,0,0,0,71,6,14,2,79,3,5,0,79,0,0,2,1,Matches
Richard Sánchez,"MF,FW",24.0,1.7,122,113,9,3,0,22,3,1,6,0,4,2,90,9,23,13,102,5,0,0,108,1,1,0,1,Matches
Omar Alderete,DF,24.0,1.1,68,61,7,1,0,6,2,0,0,0,0,0,47,7,14,57,3,2,6,0,55,0,1,3,1,Matches
Adrián Cubas,MF,24.0,1.0,61,60,1,1,0,15,3,0,0,0,0,0,54,2,5,16,44,0,0,0,56,0,0,1,1,Matches
Gastón Giménez,MF,29.0,0.9,26,26,0,0,0,2,1,0,0,0,0,0,16,3,7,23,2,1,0,0,19,0,1,0,2,Matches
Óscar Romero,"FW,MF",28.0,1.1,84,78,6,3,0,13,9,1,1,0,0,0,54,3,27,65,15,2,2,0,74,0,1,1,2,Matches
Julio Enciso,MF,17.0,0.5,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,Matches
Antonio Bareiro,FW,31.0,0.2,5,5,0,0,0,4,0,1,0,0,0,0,2,1,2,0,2,0,0,0,3,0,1,0,1,Matches
Squad Total,,27.6,5.3,2572,2337,235,58,1,413,70,81,26,3,10,4,1757,345,470,1056,1236,73,113,23,2127,10,37,67,79,
Opponent Total,,28.3,5.3,2303,2081,222,78,4,441,45,39,13,4,6,0,1669,267,367,548,1560,58,77,30,1919,4,29,67,51,
