player,pos,age,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches
Júnior Alonso,DF,27.0,5.3,281,309,90.9,6400,2191,70,72,97.2,161,166,97.0,50,68,73.5,0,0.0,0.0,1,26,1,0,14,Matches
Antony Silva,GK,36.0,5.3,80,105,76.2,2457,1655,19,19,100.0,26,26,100.0,33,58,56.9,0,0.0,0.0,0,3,0,0,0,Matches
Alberto Espínola,DF,29.0,5.0,207,250,82.8,3910,1592,102,110,92.7,76,88,86.4,28,44,63.6,0,0.1,-0.1,4,13,4,2,14,Matches
Ángel Romero,"MF,FW",28.0,4.6,140,208,67.3,2351,819,75,88,85.2,51,65,78.5,13,39,33.3,0,1.0,-1.0,9,6,10,3,20,Matches
Santiago Arzamendia,"DF,MF",22.0,3.6,158,192,82.3,2594,794,81,93,87.1,64,71,90.1,11,19,57.9,0,0.3,-0.3,5,9,4,1,8,Matches
Gustavo Gómez,"DF,FW",27.0,3.5,157,170,92.4,3419,1412,45,46,97.8,82,85,96.5,29,37,78.4,0,0.0,0.0,1,9,1,0,9,Matches
Mathías Villasanti,MF,24.0,3.4,102,116,87.9,1688,330,50,51,98.0,40,46,87.0,10,14,71.4,0,0.0,0.0,0,11,0,0,3,Matches
Miguel Almirón,"FW,MF",26.0,3.2,150,169,88.8,2676,487,70,74,94.6,59,68,86.8,18,21,85.7,1,0.3,0.7,5,14,5,0,7,Matches
Gabriel Ávalos,FW,30.0,3.0,28,49,57.1,453,24,13,22,59.1,11,18,61.1,2,4,50.0,1,0.8,0.2,3,0,0,0,1,Matches
Héctor David Martínez,DF,23.0,2.9,87,121,71.9,1594,919,36,44,81.8,36,49,73.5,12,20,60.0,0,0.5,-0.5,3,8,6,3,12,Matches
Carlos González Espínola,FW,27.0,2.4,35,54,64.8,511,64,23,32,71.9,9,17,52.9,2,2,100.0,0,0.2,-0.2,2,1,1,0,1,Matches
Braian Samudio,"MF,FW",25.0,2.1,37,58,63.8,664,195,16,20,80.0,18,26,69.2,3,7,42.9,0,0.0,0.0,1,1,2,0,7,Matches
Robert Piris Da Motta,MF,26.0,2.0,75,86,87.2,1514,243,29,35,82.9,34,36,94.4,12,15,80.0,0,0.0,0.0,0,9,0,0,5,Matches
Ángel Cardozo,MF,26.0,1.7,88,102,86.3,1747,500,35,37,94.6,42,46,91.3,11,16,68.8,0,0.0,0.0,0,14,0,0,10,Matches
Kaku,"MF,FW",26.0,1.7,105,123,85.4,1939,579,42,46,91.3,49,57,86.0,12,17,70.6,0,0.9,-0.9,11,9,7,3,10,Matches
Robert Rojas,DF,24.0,1.8,79,91,86.8,1598,516,28,28,100.0,35,41,85.4,15,20,75.0,0,0.0,0.0,1,7,1,0,4,Matches
Richard Sánchez,"MF,FW",24.0,1.7,108,122,88.5,1928,506,54,58,93.1,39,43,90.7,13,19,68.4,0,0.1,-0.1,2,9,3,0,4,Matches
Omar Alderete,DF,24.0,1.1,55,68,80.9,1209,547,17,17,100.0,27,35,77.1,11,15,73.3,0,0.0,0.0,0,6,0,0,6,Matches
Adrián Cubas,MF,24.0,1.0,56,61,91.8,1051,185,22,22,100.0,25,27,92.6,7,8,87.5,0,0.0,0.0,1,4,0,0,5,Matches
Gastón Giménez,MF,29.0,0.9,19,26,73.1,363,103,8,8,100.0,9,11,81.8,2,5,40.0,0,0.0,0.0,0,0,0,0,4,Matches
Óscar Romero,"FW,MF",28.0,1.1,74,84,88.1,1657,602,28,31,90.3,26,29,89.7,17,21,81.0,0,0.0,0.0,0,17,3,0,18,Matches
Julio Enciso,MF,17.0,0.5,3,3,100.0,40,9,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Antonio Bareiro,FW,31.0,0.2,3,5,60.0,40,16,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,1,1,1,0,Matches
Squad Total,,27.6,5.3,2127,2572,82.7,41803,14288,867,958,90.5,921,1052,87.5,311,469,66.3,2,4.3,-2.3,49,177,49,13,162,
Opponent Total,,28.3,5.3,1919,2303,83.3,35813,12006,821,894,91.8,844,960,87.9,225,367,61.3,3,2.5,0.5,31,118,36,6,146,
