player,pos,age,90s,touches_touches,touches_def pen,touches_def 3rd,touches_mid 3rd,touches_att 3rd,touches_att pen,touches_live,dribbles_succ,dribbles_att,dribbles_succ%,dribbles_#pl,dribbles_megs,carries_carries,carries_totdist,carries_prgdist,carries_prog,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_targ,receiving_rec,receiving_rec%,receiving_prog,matches
Júnior Alonso,DF,27.0,5.3,367,47,191,181,13,6,356,2,2,100.0,2,0,239,1459,609,13,0,0,1,1,251,249,99.2,1,Matches
Antony Silva,GK,36.0,5.3,113,103,113,0,0,0,77,0,0,,0,0,52,267,130,0,0,0,0,0,48,45,93.8,0,Matches
Alberto Espínola,DF,29.0,5.0,302,12,104,133,83,7,250,5,6,83.3,6,0,169,788,449,19,3,0,3,3,179,163,91.1,8,Matches
Ángel Romero,"MF,FW",28.0,4.6,266,5,29,66,187,27,248,4,15,26.7,6,1,195,1204,820,54,13,4,10,7,245,191,78.0,28,Matches
Santiago Arzamendia,"DF,MF",22.0,3.6,221,8,41,82,114,11,199,3,5,60.0,3,2,143,728,491,18,8,5,3,1,171,151,88.3,11,Matches
Gustavo Gómez,"DF,FW",27.0,3.5,203,22,122,86,11,4,196,0,0,,0,0,133,643,322,8,2,0,0,0,142,135,95.1,1,Matches
Mathías Villasanti,MF,24.0,3.4,154,10,48,85,29,6,152,3,4,75.0,4,0,105,576,176,7,1,0,5,1,116,100,86.2,6,Matches
Miguel Almirón,"FW,MF",26.0,3.2,217,0,15,99,134,18,207,10,17,58.8,12,0,189,1331,710,35,13,4,9,9,225,177,78.7,27,Matches
Gabriel Ávalos,FW,30.0,3.0,68,0,2,27,42,20,61,1,1,100.0,1,0,33,162,57,2,2,1,2,2,91,50,54.9,18,Matches
Héctor David Martínez,DF,23.0,2.9,140,6,45,64,37,4,119,1,3,33.3,1,1,85,445,262,13,2,0,2,0,90,81,90.0,7,Matches
Carlos González Espínola,FW,27.0,2.4,80,2,5,41,40,15,76,1,2,50.0,1,0,37,139,64,4,1,1,7,3,117,61,52.1,16,Matches
Braian Samudio,"MF,FW",25.0,2.1,90,1,15,40,38,4,89,2,4,50.0,2,0,55,180,57,3,1,0,11,5,86,58,67.4,9,Matches
Robert Piris Da Motta,MF,26.0,2.0,99,1,22,72,10,0,96,1,1,100.0,1,0,68,252,82,0,1,0,1,1,76,75,98.7,0,Matches
Ángel Cardozo,MF,26.0,1.7,123,2,25,90,14,2,121,0,1,0.0,0,0,83,288,112,4,1,0,1,2,97,89,91.8,2,Matches
Kaku,"MF,FW",26.0,1.7,132,1,9,46,80,9,122,5,5,100.0,5,0,104,422,235,15,0,3,1,2,112,107,95.5,4,Matches
Robert Rojas,DF,24.0,1.8,101,8,41,63,7,1,97,0,0,,0,0,72,460,172,7,0,0,0,0,75,71,94.7,1,Matches
Richard Sánchez,"MF,FW",24.0,1.7,139,2,23,72,57,4,129,2,2,100.0,2,0,99,590,307,16,5,2,3,0,115,106,92.2,12,Matches
Omar Alderete,DF,24.0,1.1,82,11,41,45,4,0,75,1,1,100.0,1,0,49,305,227,9,0,0,0,1,49,47,95.9,0,Matches
Adrián Cubas,MF,24.0,1.0,72,0,21,49,8,0,72,0,0,,0,0,54,253,105,4,1,0,3,1,54,52,96.3,1,Matches
Gastón Giménez,MF,29.0,0.9,34,4,13,21,3,0,34,1,2,50.0,2,0,23,97,42,3,1,0,1,1,27,23,85.2,1,Matches
Óscar Romero,"FW,MF",28.0,1.1,97,0,9,60,38,0,92,1,5,20.0,1,0,79,277,83,4,2,0,1,3,95,81,85.3,7,Matches
Julio Enciso,MF,17.0,0.5,10,0,2,4,5,0,10,1,2,50.0,1,0,10,42,29,3,0,0,0,1,10,8,80.0,1,Matches
Antonio Bareiro,FW,31.0,0.2,9,0,3,2,4,0,9,0,0,,0,0,4,14,6,1,0,0,3,0,13,7,53.8,1,Matches
Squad Total,,27.6,5.3,3119,245,939,1428,958,138,2887,44,78,56.4,51,4,2080,10922,5547,242,57,20,67,44,2484,2127,85.6,162,
Opponent Total,,28.3,5.3,2921,316,1027,1338,746,85,2708,56,110,50.9,64,8,1873,9927,5555,193,74,18,53,58,2229,1919,86.1,146,
