player,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,matches
Júnior Alonso,DF,27.0,5.3,1,3,2,66.7,0.56,0.37,0.33,0.5,8.4,0,0,0,0.2,0.2,0.07,0.8,0.8,Matches
Antony Silva,GK,36.0,5.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alberto Espínola,DF,29.0,5.0,0,3,0,0.0,0.61,0.0,0.0,,15.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Ángel Romero,"MF,FW",28.0,4.6,2,10,4,40.0,2.17,0.87,0.2,0.5,16.8,1,0,0,1.7,1.7,0.17,0.3,0.3,Matches
Santiago Arzamendia,"DF,MF",22.0,3.6,0,4,2,50.0,1.1,0.55,0.0,0.0,21.1,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Gustavo Gómez,"DF,FW",27.0,3.5,1,3,1,33.3,0.86,0.29,0.33,1.0,10.0,0,0,0,1.1,1.1,0.35,-0.1,-0.1,Matches
Mathías Villasanti,MF,24.0,3.4,0,1,1,100.0,0.3,0.3,0.0,0.0,14.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Miguel Almirón,"FW,MF",26.0,3.2,1,6,2,33.3,1.87,0.62,0.0,0.0,20.3,0,1,1,1.1,0.4,0.06,-0.1,-0.4,Matches
Gabriel Ávalos,FW,30.0,3.0,1,11,2,18.2,3.72,0.68,0.09,0.5,9.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,Matches
Héctor David Martínez,DF,23.0,2.9,0,5,1,20.0,1.72,0.34,0.0,0.0,12.1,0,0,0,0.7,0.7,0.14,-0.7,-0.7,Matches
Carlos González Espínola,FW,27.0,2.4,0,7,2,28.6,2.94,0.84,0.0,0.0,9.9,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
Braian Samudio,"MF,FW",25.0,2.1,1,3,2,66.7,1.42,0.95,0.33,0.5,5.1,0,0,0,0.3,0.3,0.09,0.7,0.7,Matches
Robert Piris Da Motta,MF,26.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ángel Cardozo,MF,26.0,1.7,0,2,0,0.0,1.18,0.0,0.0,,41.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Kaku,"MF,FW",26.0,1.7,1,5,2,40.0,2.98,1.19,0.2,0.5,17.6,0,0,0,0.8,0.8,0.15,0.2,0.2,Matches
Robert Rojas,DF,24.0,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Richard Sánchez,"MF,FW",24.0,1.7,0,4,2,50.0,2.35,1.18,0.0,0.0,25.5,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Omar Alderete,DF,24.0,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Adrián Cubas,MF,24.0,1.0,0,1,0,0.0,1.03,0.0,0.0,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Gastón Giménez,MF,29.0,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Óscar Romero,"FW,MF",28.0,1.1,0,1,0,0.0,0.93,0.0,0.0,,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Julio Enciso,MF,17.0,0.5,0,2,0,0.0,4.29,0.0,0.0,,23.7,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Antonio Bareiro,FW,31.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,27.6,5.3,8,71,23,32.4,13.31,4.31,0.1,0.3,15.7,3,1,1,8.4,7.6,0.11,-0.4,-0.6,
Opponent Total,,28.3,5.3,5,46,16,34.8,8.62,3.0,0.07,0.19,19.3,5,2,2,5.1,3.7,0.08,-0.1,-0.7,
