player,pos,age,playingtime_mp,playingtime_starts,playingtime_min,playingtime_90s,performance_gls,performance_ast,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per90minutes_gls,per90minutes_ast,per90minutes_g+a,per90minutes_g-pk,per90minutes_g+a-pk,expected_xg,expected_npxg,expected_xa,expected_npxg+xa,per90minutes_xg,per90minutes_xa,per90minutes_xg+xa,per90minutes_npxg,per90minutes_npxg+xa,matches
Júnior Alonso,DF,27.0,5,5,480.0,5.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.19,0.0,0.19,0.19,0.19,0.2,0.2,0.0,0.2,0.04,0.0,0.04,0.04,0.04,Matches
Antony Silva,GK,36.0,5,5,480.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alberto Espínola,DF,29.0,5,5,446.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.04,0.03,0.07,0.04,0.07,Matches
Ángel Romero,"MF,FW",28.0,5,4,415.0,4.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.43,0.43,1.7,1.7,1.0,2.8,0.37,0.23,0.6,0.37,0.6,Matches
Santiago Arzamendia,"DF,MF",22.0,4,4,328.0,3.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.03,0.09,0.12,0.03,0.12,Matches
Gustavo Gómez,"DF,FW",27.0,4,4,314.0,3.5,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.29,0.0,0.29,0.29,0.29,1.1,1.1,0.0,1.1,0.3,0.01,0.31,0.3,0.31,Matches
Mathías Villasanti,MF,24.0,4,4,303.0,3.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Miguel Almirón,"FW,MF",26.0,4,4,288.0,3.2,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.31,0.31,0.62,0.0,0.31,1.1,0.4,0.3,0.6,0.35,0.08,0.43,0.12,0.19,Matches
Gabriel Ávalos,FW,30.0,4,3,266.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.34,0.34,0.68,0.34,0.68,1.4,1.4,0.8,2.2,0.47,0.26,0.73,0.47,0.73,Matches
Héctor David Martínez,DF,23.0,4,2,261.0,2.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,1.2,0.25,0.18,0.43,0.25,0.43,Matches
