player,pos,age,90s,tackles_tkl,tackles_tklw,tackles_def 3rd,tackles_mid 3rd,tackles_att 3rd,vsdribbles_tkl,vsdribbles_att,vsdribbles_tkl%,vsdribbles_past,pressures_press,pressures_succ,pressures_%,pressures_def 3rd,pressures_mid 3rd,pressures_att 3rd,blocks_blocks,blocks_sh,blocks_shsv,blocks_pass,int,tkl+int,clr,err,matches
Pedro Gallese,GK,30.0,7.3,0,0,0,0,0,0,0,,0,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0,Matches
Yoshimar Yotún,MF,30.0,7.1,21,17,7,13,1,4,20,20.0,16,208,59,28.4,56,130,22,11,1,0,10,11,32,5,0,Matches
Gianluca Lapadula,FW,30.0,6.7,4,2,1,3,0,0,5,0.0,5,79,13,16.5,2,32,45,6,1,0,5,2,6,6,0,Matches
Aldo Corzo,DF,31.0,6.7,12,9,9,2,1,8,16,50.0,8,83,29,34.9,40,20,23,20,3,0,17,11,23,15,0,Matches
Christian Cueva,"FW,MF",29.0,6.6,14,12,7,5,2,2,17,11.8,15,144,35,24.3,33,71,40,7,0,0,7,10,24,1,0,Matches
Renato Tapia,MF,25.0,6.4,20,10,10,7,3,12,22,54.5,10,140,38,27.1,62,68,10,12,4,1,8,10,30,21,0,Matches
Sergio Peña,"MF,FW",25.0,6.0,15,9,4,9,2,6,17,35.3,11,137,36,26.3,46,67,24,4,0,0,4,10,25,1,0,Matches
André Carrillo,"FW,MF",29.0,5.7,8,7,5,3,0,1,4,25.0,3,130,45,34.6,38,54,38,7,0,0,7,10,18,8,0,Matches
Christian Ramos,DF,32.0,4.8,5,3,3,2,0,4,7,57.1,3,53,17,32.1,35,18,0,6,4,0,2,3,8,26,0,Matches
Alexander Callens,DF,28.0,4.3,4,3,1,3,0,1,2,50.0,1,40,10,25.0,21,18,1,7,5,0,2,7,11,29,0,Matches
Miguel Trauco,DF,28.0,3.8,11,6,8,3,0,4,11,36.4,7,47,15,31.9,32,12,3,10,0,0,10,5,16,11,0,Matches
Marcos López,DF,21.0,3.5,4,2,1,2,1,0,1,0.0,1,39,11,28.2,16,18,5,4,0,0,4,12,16,10,0,Matches
Anderson Santamaría,DF,29.0,3.3,7,4,5,2,0,3,4,75.0,1,28,8,28.6,17,11,0,5,0,0,5,4,11,20,0,Matches
Luis Abram,DF,24.0,1.7,2,1,2,0,0,1,2,50.0,1,15,4,26.7,9,6,0,1,1,0,0,2,4,4,0,Matches
Miguel Araujo,"DF,FW",26.0,1.1,0,0,0,0,0,0,0,,0,10,2,20.0,6,4,0,3,2,0,1,0,0,9,0,Matches
Santiago Ormeño,"FW,MF",26.0,1.3,0,0,0,0,0,0,0,,0,30,5,16.7,1,20,9,4,0,0,4,1,1,4,0,Matches
Wilder Cartagena,MF,26.0,1.2,5,2,2,2,1,2,3,66.7,1,32,13,40.6,19,11,2,1,0,0,1,4,9,2,0,Matches
Raziel García,FW,26.0,1.0,4,2,4,0,0,3,7,42.9,4,26,5,19.2,10,11,5,0,0,0,0,3,7,0,0,Matches
Jhilmar Lora,DF,20.0,0.7,2,1,0,2,0,1,2,50.0,1,10,2,20.0,6,2,2,1,0,0,1,1,3,0,0,Matches
Álex Valera,FW,24.0,0.4,1,0,1,0,0,1,1,100.0,0,10,3,30.0,2,6,2,0,0,0,0,0,1,0,0,Matches
Luis Iberico,"FW,MF",22.0,0.3,1,1,0,1,0,0,0,,0,11,3,27.3,5,5,1,0,0,0,0,0,1,2,0,Matches
Gerald Távara,MF,21.0,0.2,0,0,0,0,0,0,2,0.0,2,7,0,0.0,5,2,0,1,0,0,1,0,0,0,0,Matches
Alexis Arias,MF,25.0,0.2,0,0,0,0,0,0,0,,0,8,0,0.0,2,5,1,1,0,0,1,0,0,0,0,Matches
Squad Total,,28.7,7.3,140,91,70,59,11,53,143,37.1,90,1290,353,27.4,466,591,233,111,21,1,90,106,246,174,0,
Opponent Total,,27.3,7.3,147,97,69,59,19,57,141,40.4,84,1238,372,30.0,375,587,276,89,13,1,76,94,241,138,0,
