player,pos,age,90s,sca_sca,sca_sca90,scatypes_passlive,scatypes_passdead,scatypes_drib,scatypes_sh,scatypes_fld,scatypes_def,gca_gca,gca_gca90,gcatypes_passlive,gcatypes_passdead,gcatypes_drib,gcatypes_sh,gcatypes_fld,gcatypes_def,matches
Pedro Gallese,GK,30.0,7.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yoshimar Yotún,MF,30.0,7.1,12,1.68,5,4,0,1,2,0,1,0.14,1,0,0,0,0,0,Matches
Gianluca Lapadula,FW,30.0,6.7,13,1.93,9,0,2,1,1,0,2,0.3,1,0,1,0,0,0,Matches
Aldo Corzo,DF,31.0,6.7,3,0.45,3,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
Christian Cueva,"FW,MF",29.0,6.6,23,3.47,14,4,2,0,2,1,3,0.45,2,0,1,0,0,0,Matches
Renato Tapia,MF,25.0,6.4,2,0.31,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Sergio Peña,"MF,FW",25.0,6.0,11,1.83,8,0,2,1,0,0,0,0.0,0,0,0,0,0,0,Matches
André Carrillo,"FW,MF",29.0,5.7,13,2.27,11,0,1,0,1,0,3,0.52,3,0,0,0,0,0,Matches
Christian Ramos,DF,32.0,4.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alexander Callens,DF,28.0,4.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Miguel Trauco,DF,28.0,3.8,4,1.04,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marcos López,DF,21.0,3.5,4,1.14,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Anderson Santamaría,DF,29.0,3.3,1,0.3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luis Abram,DF,24.0,1.7,1,0.58,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Miguel Araujo,"DF,FW",26.0,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Santiago Ormeño,"FW,MF",26.0,1.3,3,2.39,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Wilder Cartagena,MF,26.0,1.2,1,0.85,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Raziel García,FW,26.0,1.0,2,2.09,1,1,0,0,0,0,1,1.05,0,1,0,0,0,0,Matches
Jhilmar Lora,DF,20.0,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Álex Valera,FW,24.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luis Iberico,"FW,MF",22.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gerald Távara,MF,21.0,0.2,1,4.74,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alexis Arias,MF,25.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,28.7,7.3,94,12.82,63,10,8,5,7,1,11,1.5,8,1,2,0,0,0,
Opponent Total,,27.3,7.3,150,20.45,93,18,11,12,14,2,20,2.73,8,1,3,4,3,1,
