player,pos,age,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerialduels_won,aerialduels_lost,aerialduels_won%,matches
Pedro Gallese,GK,30.0,7.3,1,0,0,1,1,0,0,0,0,0,1,0,30,0,0,,Matches
Yoshimar Yotún,MF,30.0,7.1,2,0,0,12,15,0,4,11,17,0,0,0,65,6,9,40.0,Matches
Gianluca Lapadula,FW,30.0,6.7,0,0,0,11,12,5,1,2,2,0,0,0,13,10,25,28.6,Matches
Aldo Corzo,DF,31.0,6.7,0,0,0,8,5,0,9,11,9,0,0,0,35,7,17,29.2,Matches
Christian Cueva,"FW,MF",29.0,6.6,2,0,0,5,29,1,8,10,12,0,0,0,43,3,10,23.1,Matches
Renato Tapia,MF,25.0,6.4,0,0,0,11,12,0,0,10,10,0,0,1,66,14,9,60.9,Matches
Sergio Peña,"MF,FW",25.0,6.0,0,0,0,6,8,0,2,10,9,0,0,0,54,4,7,36.4,Matches
André Carrillo,"FW,MF",29.0,5.7,4,1,1,12,5,3,9,10,7,0,0,0,34,2,17,10.5,Matches
Christian Ramos,DF,32.0,4.8,2,0,0,9,2,0,0,3,3,0,0,0,26,7,3,70.0,Matches
Alexander Callens,DF,28.0,4.3,0,0,0,5,1,0,0,7,3,0,0,0,26,9,9,50.0,Matches
Miguel Trauco,DF,28.0,3.8,0,0,0,3,2,0,2,5,6,0,0,0,28,4,7,36.4,Matches
Marcos López,DF,21.0,3.5,1,0,0,5,6,0,4,12,2,0,0,0,11,5,1,83.3,Matches
Anderson Santamaría,DF,29.0,3.3,1,0,0,2,1,0,0,4,4,0,0,0,16,9,6,60.0,Matches
Luis Abram,DF,24.0,1.7,0,0,0,1,3,0,0,2,1,0,0,0,3,1,0,100.0,Matches
Miguel Araujo,"DF,FW",26.0,1.1,0,0,0,0,0,1,0,0,0,0,0,0,7,3,3,50.0,Matches
Santiago Ormeño,"FW,MF",26.0,1.3,0,0,0,6,1,1,0,1,0,0,0,0,12,3,11,21.4,Matches
Wilder Cartagena,MF,26.0,1.2,0,0,0,1,2,0,0,4,2,0,0,0,8,3,1,75.0,Matches
Raziel García,FW,26.0,1.0,0,0,0,1,0,0,1,3,2,0,0,0,11,0,3,0.0,Matches
Jhilmar Lora,DF,20.0,0.7,0,0,0,0,2,0,1,1,1,0,0,0,3,0,0,,Matches
Álex Valera,FW,24.0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0.0,Matches
Luis Iberico,"FW,MF",22.0,0.3,0,0,0,2,0,0,0,0,1,0,0,0,3,1,0,100.0,Matches
Gerald Távara,MF,21.0,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,100.0,Matches
Alexis Arias,MF,25.0,0.2,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Squad Total,,28.7,7.3,14,1,1,95,99,12,42,106,91,0,1,1,500,93,140,39.9,
Opponent Total,,27.3,7.3,12,1,1,106,92,10,77,94,97,1,0,2,560,140,93,60.1,
