player,pos,age,90s,att,passtypes_live,passtypes_dead,passtypes_fk,passtypes_tb,passtypes_press,passtypes_sw,passtypes_crs,passtypes_ck,cornerkicks_in,cornerkicks_out,cornerkicks_str,height_ground,height_low,height_high,bodyparts_left,bodyparts_right,bodyparts_head,bodyparts_ti,bodyparts_other,outcomes_cmp,outcomes_off,outcomes_out,outcomes_int,outcomes_blocks,matches
Pedro Gallese,GK,30.0,7.3,188,112,76,24,0,16,3,0,0,0,0,0,67,5,116,129,21,0,0,23,105,1,3,1,1,Matches
Yoshimar Yotún,MF,30.0,7.1,492,444,48,33,3,84,14,4,11,1,10,0,385,40,67,452,26,3,3,4,434,2,8,9,6,Matches
Gianluca Lapadula,FW,30.0,6.7,95,78,17,0,0,28,1,1,0,0,0,0,62,15,18,62,16,6,1,3,73,1,2,3,3,Matches
Aldo Corzo,DF,31.0,6.7,248,201,47,3,0,38,1,9,0,0,0,0,149,54,45,14,178,11,44,0,202,0,4,9,12,Matches
Christian Cueva,"FW,MF",29.0,6.6,292,277,15,7,4,80,10,8,6,0,6,0,227,33,32,44,242,1,2,0,224,2,0,16,11,Matches
Renato Tapia,MF,25.0,6.4,293,283,10,10,0,48,13,0,0,0,0,0,214,24,55,40,233,13,0,1,248,1,6,9,5,Matches
Sergio Peña,"MF,FW",25.0,6.0,297,294,3,2,1,73,8,2,0,0,0,0,229,34,34,18,269,6,0,0,239,3,5,15,6,Matches
André Carrillo,"FW,MF",29.0,5.7,233,231,2,1,1,63,3,9,0,0,0,0,178,33,22,19,208,2,1,2,191,0,2,5,15,Matches
Christian Ramos,DF,32.0,4.8,139,133,6,6,1,14,2,0,0,0,0,0,106,10,23,12,119,6,0,0,121,0,1,5,1,Matches
Alexander Callens,DF,28.0,4.3,155,151,4,4,0,19,0,0,0,0,0,0,123,11,21,127,18,6,0,0,136,0,2,0,3,Matches
Miguel Trauco,DF,28.0,3.8,171,140,31,5,0,11,3,2,0,0,0,0,101,29,41,130,5,6,26,3,131,2,3,7,3,Matches
Marcos López,DF,21.0,3.5,160,132,28,5,0,21,4,4,0,0,0,0,107,33,20,125,9,3,23,0,142,0,1,3,4,Matches
Anderson Santamaría,DF,29.0,3.3,111,106,5,5,0,15,4,0,0,0,0,0,88,12,11,15,90,3,0,0,101,0,1,0,1,Matches
Luis Abram,DF,24.0,1.7,87,85,2,2,0,3,2,0,0,0,0,0,74,4,9,81,5,0,0,1,81,0,0,0,0,Matches
Miguel Araujo,"DF,FW",26.0,1.1,67,63,4,4,0,2,2,0,0,0,0,0,58,4,5,6,58,3,0,0,63,0,1,0,0,Matches
Santiago Ormeño,"FW,MF",26.0,1.3,30,30,0,0,0,13,1,0,0,0,0,0,24,4,2,21,6,0,0,0,24,0,1,1,1,Matches
Wilder Cartagena,MF,26.0,1.2,84,83,1,1,0,18,4,0,0,0,0,0,68,7,9,2,77,4,0,0,76,0,0,1,1,Matches
Raziel García,FW,26.0,1.0,68,67,1,0,1,16,1,1,1,1,0,0,54,8,6,15,52,1,0,0,58,0,0,3,2,Matches
Jhilmar Lora,DF,20.0,0.7,16,13,3,0,0,1,0,1,0,0,0,0,10,5,1,1,10,2,3,0,15,0,0,0,0,Matches
Álex Valera,FW,24.0,0.4,9,6,3,0,0,1,0,0,0,0,0,0,6,2,1,5,3,1,0,0,7,0,0,0,1,Matches
Luis Iberico,"FW,MF",22.0,0.3,7,7,0,0,0,3,0,0,0,0,0,0,6,1,0,2,4,0,0,0,6,0,0,0,1,Matches
Gerald Távara,MF,21.0,0.2,9,8,1,1,0,3,0,1,0,0,0,0,6,1,2,7,1,0,0,0,7,0,0,1,1,Matches
Alexis Arias,MF,25.0,0.2,6,6,0,0,0,2,0,0,0,0,0,0,3,2,1,1,4,0,0,0,5,0,1,0,0,Matches
Squad Total,,28.7,7.3,3257,2950,307,113,11,572,76,42,18,2,16,0,2345,371,541,1328,1654,77,103,37,2689,12,41,88,78,
Opponent Total,,27.3,7.3,3385,3068,317,98,14,631,107,77,39,7,26,4,2350,462,573,898,2171,79,113,41,2785,9,36,101,88,
