player,pos,age,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches
Pedro Gallese,GK,30.0,7.3,105,188,55.9,3502,2463,23,23,100.0,37,37,100.0,44,126,34.9,0,0.0,0.0,0,5,1,0,1,Matches
Yoshimar Yotún,MF,30.0,7.1,434,492,88.2,8054,2353,189,199,95.0,171,183,93.4,60,90,66.7,1,1.3,-0.3,8,42,6,0,43,Matches
Gianluca Lapadula,FW,30.0,6.7,73,95,76.8,1042,119,41,55,74.5,27,31,87.1,3,6,50.0,1,0.9,0.1,4,4,3,0,4,Matches
Aldo Corzo,DF,31.0,6.7,202,248,81.5,3035,1402,117,127,92.1,67,82,81.7,11,21,52.4,0,0.2,-0.2,2,12,0,0,11,Matches
Christian Cueva,"FW,MF",29.0,6.6,224,292,76.7,3420,932,127,146,87.0,80,97,82.5,11,30,36.7,2,1.6,0.4,15,21,10,1,30,Matches
Renato Tapia,MF,25.0,6.4,248,293,84.6,4972,1309,100,106,94.3,106,114,93.0,38,63,60.3,0,0.0,0.0,0,19,0,0,20,Matches
Sergio Peña,"MF,FW",25.0,6.0,239,297,80.5,4200,1084,113,130,86.9,96,109,88.1,24,43,55.8,0,0.1,-0.1,5,21,1,0,21,Matches
André Carrillo,"FW,MF",29.0,5.7,191,233,82.0,3450,794,80,92,87.0,91,100,91.0,16,23,69.6,1,0.3,0.7,4,16,5,1,17,Matches
Christian Ramos,DF,32.0,4.8,121,139,87.1,2496,957,39,43,90.7,67,70,95.7,15,25,60.0,0,0.0,0.0,0,7,1,0,9,Matches
Alexander Callens,DF,28.0,4.3,136,155,87.7,2657,1164,50,52,96.2,70,75,93.3,15,25,60.0,0,0.0,0.0,0,6,0,0,6,Matches
Miguel Trauco,DF,28.0,3.8,131,171,76.6,2156,854,67,76,88.2,52,70,74.3,8,19,42.1,0,0.2,-0.2,2,6,3,1,11,Matches
Marcos López,DF,21.0,3.5,142,160,88.8,2389,793,70,73,95.9,61,65,93.8,10,17,58.8,0,0.1,-0.1,3,0,2,2,5,Matches
Anderson Santamaría,DF,29.0,3.3,101,111,91.0,2152,853,33,33,100.0,49,51,96.1,19,26,73.1,0,0.0,0.0,0,6,0,0,6,Matches
Luis Abram,DF,24.0,1.7,81,87,93.1,1782,464,21,21,100.0,43,43,100.0,17,23,73.9,0,0.0,0.0,0,5,0,0,2,Matches
Miguel Araujo,"DF,FW",26.0,1.1,63,67,94.0,1350,350,20,21,95.2,35,36,97.2,8,10,80.0,0,0.0,0.0,0,1,0,0,0,Matches
Santiago Ormeño,"FW,MF",26.0,1.3,24,30,80.0,368,17,13,14,92.9,9,12,75.0,1,1,100.0,0,0.3,-0.3,1,2,0,0,1,Matches
Wilder Cartagena,MF,26.0,1.2,76,84,90.5,1347,398,36,38,94.7,27,30,90.0,8,10,80.0,0,0.0,0.0,0,3,0,0,1,Matches
Raziel García,FW,26.0,1.0,58,68,85.3,898,289,32,34,94.1,23,27,85.2,3,5,60.0,1,0.2,0.8,2,5,2,0,8,Matches
Jhilmar Lora,DF,20.0,0.7,15,16,93.8,219,84,9,9,100.0,5,6,83.3,0,0,,0,0.0,0.0,0,1,0,0,1,Matches
Álex Valera,FW,24.0,0.4,7,9,77.8,102,23,4,5,80.0,3,4,75.0,0,0,,0,0.0,0.0,0,1,0,0,1,Matches
Luis Iberico,"FW,MF",22.0,0.3,6,7,85.7,76,22,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Gerald Távara,MF,21.0,0.2,7,9,77.8,112,35,2,2,100.0,4,4,100.0,0,0,,0,0.1,-0.1,1,0,0,0,0,Matches
Alexis Arias,MF,25.0,0.2,5,6,83.3,88,0,3,3,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,28.7,7.3,2689,3257,82.6,49867,16759,1191,1305,91.3,1126,1250,90.1,312,564,55.3,6,5.3,0.7,47,183,34,5,198,
Opponent Total,,27.3,7.3,2785,3385,82.3,53716,18929,1178,1325,88.9,1148,1300,88.3,400,613,65.3,7,7.1,-0.1,65,236,68,6,260,
