player,pos,age,90s,touches_touches,touches_def pen,touches_def 3rd,touches_mid 3rd,touches_att 3rd,touches_att pen,touches_live,dribbles_succ,dribbles_att,dribbles_succ%,dribbles_#pl,dribbles_megs,carries_carries,carries_totdist,carries_prgdist,carries_prog,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_targ,receiving_rec,receiving_rec%,receiving_prog,matches
Pedro Gallese,GK,30.0,7.3,208,177,207,1,0,0,133,0,0,,0,0,78,455,279,0,0,0,0,0,63,63,100.0,0,Matches
Yoshimar Yotún,MF,30.0,7.1,573,10,123,371,110,7,531,7,11,63.6,8,0,424,1691,908,33,10,2,4,16,436,409,93.8,12,Matches
Gianluca Lapadula,FW,30.0,6.7,165,9,13,67,87,26,148,4,7,57.1,4,1,89,313,131,8,2,2,14,7,244,111,45.5,50,Matches
Aldo Corzo,DF,31.0,6.7,326,22,102,130,107,9,279,2,6,33.3,2,0,180,692,309,11,5,0,5,8,194,175,90.2,8,Matches
Christian Cueva,"FW,MF",29.0,6.6,397,6,49,211,165,10,383,21,36,58.3,22,1,343,1707,995,51,14,1,15,23,384,304,79.2,51,Matches
Renato Tapia,MF,25.0,6.4,374,28,152,213,24,3,365,9,11,81.8,9,0,234,900,460,15,3,0,4,5,230,225,97.8,0,Matches
Sergio Peña,"MF,FW",25.0,6.0,353,5,59,220,93,5,352,10,14,71.4,11,2,268,1128,534,24,9,0,2,8,282,256,90.8,11,Matches
André Carrillo,"FW,MF",29.0,5.7,331,11,50,164,152,15,329,16,37,43.2,17,2,278,1545,749,33,17,5,22,11,342,256,74.9,42,Matches
Christian Ramos,DF,32.0,4.8,181,35,106,85,3,1,175,0,0,,0,0,104,533,278,2,1,0,0,2,105,104,99.0,0,Matches
Alexander Callens,DF,28.0,4.3,203,47,135,72,5,2,199,1,1,100.0,1,0,115,585,285,10,1,0,0,0,128,125,97.7,0,Matches
Miguel Trauco,DF,28.0,3.8,217,12,84,101,40,2,187,0,2,0.0,0,0,109,374,195,7,1,1,4,1,127,116,91.3,3,Matches
Marcos López,DF,21.0,3.5,193,15,62,104,36,0,165,1,2,50.0,1,0,109,565,326,11,5,0,4,0,130,117,90.0,4,Matches
Anderson Santamaría,DF,29.0,3.3,149,26,95,54,4,0,145,2,2,100.0,2,0,84,368,169,2,1,0,0,1,93,91,97.8,0,Matches
Luis Abram,DF,24.0,1.7,100,8,52,47,4,3,98,0,0,,0,0,74,349,182,6,0,0,1,0,84,83,98.8,0,Matches
Miguel Araujo,"DF,FW",26.0,1.1,79,13,44,37,3,1,75,0,0,,0,0,55,305,192,7,1,0,0,0,58,56,96.6,0,Matches
Santiago Ormeño,"FW,MF",26.0,1.3,53,3,11,30,15,2,53,3,6,50.0,3,0,37,137,66,4,2,0,4,3,50,29,58.0,5,Matches
Wilder Cartagena,MF,26.0,1.2,97,3,37,54,12,1,96,1,1,100.0,1,0,74,236,94,0,0,0,2,0,71,70,98.6,1,Matches
Raziel García,FW,26.0,1.0,81,0,13,40,33,2,80,2,2,100.0,2,0,70,235,124,7,2,0,3,2,66,60,90.9,6,Matches
Jhilmar Lora,DF,20.0,0.7,24,0,6,12,8,1,21,1,2,50.0,1,0,17,61,41,1,0,0,3,1,16,13,81.3,2,Matches
Álex Valera,FW,24.0,0.4,15,0,2,8,5,2,12,0,1,0.0,0,0,5,17,0,0,0,0,2,1,12,7,58.3,2,Matches
Luis Iberico,"FW,MF",22.0,0.3,11,2,4,4,3,0,11,0,0,,0,0,5,16,7,0,0,0,1,0,8,5,62.5,1,Matches
Gerald Távara,MF,21.0,0.2,12,1,2,9,1,0,11,0,0,,0,0,6,13,4,0,0,0,0,1,9,9,100.0,0,Matches
Alexis Arias,MF,25.0,0.2,9,0,0,7,2,0,9,0,0,,0,0,3,14,7,0,0,0,0,0,9,5,55.6,0,Matches
Squad Total,,28.7,7.3,4151,433,1408,2041,912,92,3857,80,141,56.7,84,6,2761,12239,6335,232,74,11,90,90,3141,2689,85.6,198,
Opponent Total,,27.3,7.3,4230,337,1258,2112,1115,192,3928,86,143,60.1,90,12,2702,13859,7885,311,91,24,101,88,3222,2785,86.4,260,
