player,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,matches
Pedro Gallese,GK,30.0,7.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yoshimar Yotún,MF,30.0,7.1,2,9,4,44.4,1.26,0.56,0.22,0.5,20.6,0,0,0,1.3,1.3,0.15,0.7,0.7,Matches
Gianluca Lapadula,FW,30.0,6.7,3,15,6,40.0,2.22,0.89,0.2,0.5,17.9,0,0,0,1.8,1.8,0.12,1.2,1.2,Matches
Aldo Corzo,DF,31.0,6.7,0,1,1,100.0,0.15,0.15,0.0,0.0,4.0,0,0,0,0.6,0.6,0.6,-0.6,-0.6,Matches
Christian Cueva,"FW,MF",29.0,6.6,0,5,1,20.0,0.75,0.15,0.0,0.0,22.3,1,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Renato Tapia,MF,25.0,6.4,0,6,2,33.3,0.94,0.31,0.0,0.0,22.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Sergio Peña,"MF,FW",25.0,6.0,1,9,2,22.2,1.5,0.33,0.11,0.5,19.9,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches
André Carrillo,"FW,MF",29.0,5.7,2,6,2,33.3,1.05,0.35,0.33,1.0,17.0,0,0,0,1.5,1.5,0.25,0.5,0.5,Matches
Christian Ramos,DF,32.0,4.8,0,1,0,0.0,0.21,0.0,0.0,,7.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Alexander Callens,DF,28.0,4.3,0,2,0,0.0,0.47,0.0,0.0,,7.5,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
Miguel Trauco,DF,28.0,3.8,0,1,0,0.0,0.26,0.0,0.0,,17.1,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
Marcos López,DF,21.0,3.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Anderson Santamaría,DF,29.0,3.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luis Abram,DF,24.0,1.7,0,2,1,50.0,1.17,0.58,0.0,0.0,9.5,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Miguel Araujo,"DF,FW",26.0,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Santiago Ormeño,"FW,MF",26.0,1.3,0,2,2,100.0,1.59,1.59,0.0,0.0,23.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Wilder Cartagena,MF,26.0,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Raziel García,FW,26.0,1.0,0,3,1,33.3,3.14,1.05,0.0,0.0,22.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Jhilmar Lora,DF,20.0,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Álex Valera,FW,24.0,0.4,0,1,0,0.0,2.81,0.0,0.0,,4.0,0,0,0,0.6,0.6,0.56,-0.6,-0.6,Matches
Luis Iberico,"FW,MF",22.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gerald Távara,MF,21.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alexis Arias,MF,25.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,28.7,7.3,8,63,22,34.9,8.59,3.0,0.13,0.36,18.5,1,0,0,8.2,8.2,0.13,-0.2,-0.2,
Opponent Total,,27.3,7.3,13,97,43,44.3,13.23,5.86,0.12,0.28,16.5,9,1,1,11.1,10.3,0.11,1.9,1.7,
