player,pos,age,playingtime_mp,playingtime_starts,playingtime_min,playingtime_90s,performance_gls,performance_ast,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per90minutes_gls,per90minutes_ast,per90minutes_g+a,per90minutes_g-pk,per90minutes_g+a-pk,expected_xg,expected_npxg,expected_xa,expected_npxg+xa,per90minutes_xg,per90minutes_xa,per90minutes_xg+xa,per90minutes_npxg,per90minutes_npxg+xa,matches
Pedro Gallese,GK,30.0,7,7,660.0,7.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yoshimar Yotún,MF,30.0,7,7,642.0,7.1,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.28,0.14,0.42,0.28,0.42,1.3,1.3,1.3,2.7,0.19,0.19,0.37,0.19,0.37,Matches
Gianluca Lapadula,FW,30.0,7,7,607.0,6.7,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.44,0.15,0.59,0.44,0.59,1.8,1.8,0.9,2.7,0.27,0.13,0.4,0.27,0.4,Matches
Aldo Corzo,DF,31.0,7,7,600.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,0.09,0.03,0.12,0.09,0.12,Matches
Christian Cueva,"FW,MF",29.0,7,7,597.0,6.6,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3,0.3,0.0,0.3,0.4,0.4,1.6,2.0,0.06,0.24,0.3,0.06,0.3,Matches
Renato Tapia,MF,25.0,7,7,573.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.03,0.0,0.03,0.03,0.03,Matches
Sergio Peña,"MF,FW",25.0,7,7,541.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,0.8,0.8,0.1,0.9,0.13,0.02,0.15,0.13,0.15,Matches
André Carrillo,"FW,MF",29.0,6,6,516.0,5.7,2.0,1.0,2.0,0.0,0.0,4.0,1.0,0.35,0.17,0.52,0.35,0.52,1.5,1.5,0.3,1.8,0.26,0.06,0.32,0.26,0.32,Matches
Christian Ramos,DF,32.0,5,5,435.0,4.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,Matches
Alexander Callens,DF,28.0,5,5,386.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.08,0.0,0.08,0.08,0.08,Matches
