player,pos,age,90s,sca_sca,sca_sca90,scatypes_passlive,scatypes_passdead,scatypes_drib,scatypes_sh,scatypes_fld,scatypes_def,gca_gca,gca_gca90,gcatypes_passlive,gcatypes_passdead,gcatypes_drib,gcatypes_sh,gcatypes_fld,gcatypes_def,matches
José María Giménez,DF,26.0,5.0,3,0.6,3,0,0,0,0,0,1,0.2,1,0,0,0,0,0,Matches
Fernando Muslera,GK,34.0,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matías Viña,DF,23.0,4.9,7,1.42,7,0,0,0,0,0,1,0.2,1,0,0,0,0,0,Matches
Edinson Cavani,FW,33.0,4.7,9,1.9,8,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Federico Valverde,MF,22.0,4.6,9,1.94,7,0,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Diego Godín,DF,34.0,4.5,3,0.67,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luis Suárez,FW,34.0,4.2,11,2.61,5,0,3,0,3,0,0,0.0,0,0,0,0,0,0,Matches
Matías Vecino,MF,29.0,3.8,5,1.31,3,0,0,1,0,1,1,0.26,0,0,0,1,0,0,Matches
Giorgian De Arrascaeta,MF,26.0,2.9,12,4.09,8,2,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolás De La Cruz,MF,23.0,2.9,8,2.78,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Nahitan Nández,"DF,MF",25.0,4.0,7,1.76,6,0,0,0,1,0,1,0.25,0,0,0,0,1,0,Matches
Rodrigo Bentancur,MF,23.0,2.8,6,2.12,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Giovanni González,DF,26.0,1.3,1,0.77,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Torreira,MF,24.0,1.0,2,2.05,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Facundo Torres,MF,20.0,1.3,13,10.0,6,3,1,2,1,0,1,0.77,1,0,0,0,0,0,Matches
Martín Cáceres,"DF,MF",33.0,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sebastián Coates,DF,30.0,0.5,1,2.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Brian Ocampo,MF,21.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Fernando Gorriarán,MF,26.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jonathan Rodríguez,MF,27.0,0.1,1,15.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Maxi Gómez,FW,24.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,28.3,5.0,99,18.56,73,7,6,4,7,2,5,0.94,3,0,0,1,1,0,
Opponent Total,,27.7,5.0,60,11.25,40,9,3,3,5,0,4,0.75,3,1,0,0,0,0,
