player,pos,age,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerialduels_won,aerialduels_lost,aerialduels_won%,matches
José María Giménez,DF,26.0,5.0,0,0,0,8,6,0,0,10,4,0,0,0,34,12,7,63.2,Matches
Fernando Muslera,GK,34.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,,Matches
Matías Viña,DF,23.0,4.9,0,0,0,4,5,0,15,10,1,0,0,0,32,9,3,75.0,Matches
Edinson Cavani,FW,33.0,4.7,0,0,0,5,8,2,4,5,1,0,0,0,29,4,12,25.0,Matches
Federico Valverde,MF,22.0,4.6,1,0,0,1,3,0,10,8,10,0,0,0,32,2,1,66.7,Matches
Diego Godín,DF,34.0,4.5,1,0,0,4,5,0,0,5,4,0,0,0,38,9,6,60.0,Matches
Luis Suárez,FW,34.0,4.2,0,0,0,3,8,3,7,1,1,0,0,0,15,2,6,25.0,Matches
Matías Vecino,MF,29.0,3.8,0,0,0,11,5,0,1,5,10,0,0,0,42,7,7,50.0,Matches
Giorgian De Arrascaeta,MF,26.0,2.9,0,0,0,3,5,1,10,2,5,0,0,0,23,0,5,0.0,Matches
Nicolás De La Cruz,MF,23.0,2.9,0,0,0,6,3,0,5,7,4,0,0,0,22,4,3,57.1,Matches
Nahitan Nández,"DF,MF",25.0,4.0,0,0,0,7,6,3,15,6,7,1,0,0,28,6,7,46.2,Matches
Rodrigo Bentancur,MF,23.0,2.8,0,0,0,7,3,0,2,4,6,0,0,0,18,4,6,40.0,Matches
Giovanni González,DF,26.0,1.3,0,0,0,0,1,0,5,1,1,0,0,0,7,0,2,0.0,Matches
Lucas Torreira,MF,24.0,1.0,1,0,0,3,2,0,0,1,1,0,0,0,4,2,2,50.0,Matches
Facundo Torres,MF,20.0,1.3,0,0,0,3,6,0,6,2,2,0,0,0,17,0,0,,Matches
Martín Cáceres,"DF,MF",33.0,1.0,0,0,0,0,1,0,3,0,2,0,0,0,6,1,0,100.0,Matches
Sebastián Coates,DF,30.0,0.5,0,0,0,0,0,0,0,2,1,0,0,0,1,1,2,33.3,Matches
Brian Ocampo,MF,21.0,0.3,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0.0,Matches
Fernando Gorriarán,MF,26.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
Jonathan Rodríguez,MF,27.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0,Matches
Maxi Gómez,FW,24.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Squad Total,,28.3,5.0,4,0,0,64,64,9,83,70,61,1,0,0,368,65,70,48.1,
Opponent Total,,27.7,5.0,9,0,0,68,64,10,40,78,50,0,1,2,365,70,65,51.9,
