player,pos,age,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches
José María Giménez,DF,26.0,5.0,253,273,92.7,5396,1658,67,70,95.7,139,146,95.2,44,54,81.5,0,0.0,0.0,0,28,0,0,16,Matches
Fernando Muslera,GK,34.0,5.0,88,121,72.7,2643,1842,15,15,100.0,41,42,97.6,32,64,50.0,0,0.0,0.0,0,2,0,0,0,Matches
Matías Viña,DF,23.0,4.9,192,225,85.3,2972,1168,108,122,88.5,80,89,89.9,4,11,36.4,0,0.4,-0.4,5,17,8,4,20,Matches
Edinson Cavani,FW,33.0,4.7,123,151,81.5,2109,324,68,75,90.7,35,45,77.8,14,16,87.5,0,0.2,-0.2,5,4,5,0,8,Matches
Federico Valverde,MF,22.0,4.6,202,244,82.8,4370,1281,77,89,86.5,77,89,86.5,45,59,76.3,0,1.2,-1.2,4,34,7,2,33,Matches
Diego Godín,DF,34.0,4.5,256,276,92.8,5453,1783,81,86,94.2,128,133,96.2,47,57,82.5,0,0.1,-0.1,1,15,1,0,11,Matches
Luis Suárez,FW,34.0,4.2,61,97,62.9,921,147,35,49,71.4,22,29,75.9,4,11,36.4,0,0.1,-0.1,3,2,2,0,5,Matches
Matías Vecino,MF,29.0,3.8,228,259,88.0,4221,1130,102,104,98.1,99,111,89.2,25,38,65.8,0,0.2,-0.2,3,20,5,1,19,Matches
Giorgian De Arrascaeta,MF,26.0,2.9,122,169,72.2,2258,571,60,70,85.7,42,62,67.7,18,33,54.5,0,0.8,-0.8,7,8,4,1,12,Matches
Nicolás De La Cruz,MF,23.0,2.9,124,147,84.4,1832,561,77,81,95.1,36,44,81.8,9,17,52.9,0,0.1,-0.1,2,9,6,1,16,Matches
Nahitan Nández,"DF,MF",25.0,4.0,160,208,76.9,2733,1174,85,93,91.4,56,69,81.2,16,30,53.3,0,0.0,0.0,1,8,3,1,17,Matches
Rodrigo Bentancur,MF,23.0,2.8,129,151,85.4,2147,568,65,71,91.5,52,60,86.7,12,16,75.0,0,0.1,-0.1,4,17,2,0,12,Matches
Giovanni González,DF,26.0,1.3,56,70,80.0,978,354,27,29,93.1,23,28,82.1,5,10,50.0,0,0.0,0.0,0,4,2,1,4,Matches
Lucas Torreira,MF,24.0,1.0,66,69,95.7,1199,324,31,32,96.9,28,30,93.3,7,7,100.0,0,0.1,-0.1,2,10,0,0,5,Matches
Facundo Torres,MF,20.0,1.3,41,60,68.3,803,311,15,18,83.3,20,22,90.9,6,16,37.5,1,0.9,0.1,6,2,5,1,10,Matches
Martín Cáceres,"DF,MF",33.0,1.0,67,79,84.8,1168,332,30,30,100.0,34,36,94.4,3,11,27.3,0,0.0,0.0,0,3,0,0,1,Matches
Sebastián Coates,DF,30.0,0.5,11,13,84.6,265,123,2,2,100.0,8,9,88.9,1,2,50.0,0,0.0,0.0,1,2,0,0,2,Matches
Brian Ocampo,MF,21.0,0.3,3,8,37.5,50,8,2,4,50.0,1,1,100.0,0,3,0.0,0,0.0,0.0,0,0,0,0,0,Matches
Fernando Gorriarán,MF,26.0,0.1,11,11,100.0,211,34,3,3,100.0,6,6,100.0,2,2,100.0,0,0.0,0.0,0,2,0,0,1,Matches
Jonathan Rodríguez,MF,27.0,0.1,6,7,85.7,102,9,3,4,75.0,3,3,100.0,0,0,,0,0.0,0.0,1,0,0,0,0,Matches
Maxi Gómez,FW,24.0,0.0,1,3,33.3,15,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,28.3,5.0,2200,2641,83.3,41846,13702,953,1047,91.0,931,1055,88.2,294,457,64.3,1,4.3,-3.3,45,187,50,12,192,
Opponent Total,,27.7,5.0,2048,2488,82.3,40024,13331,858,953,90.0,844,956,88.3,313,484,64.7,2,2.3,-0.3,28,136,32,6,155,
