player,pos,age,90s,touches_touches,touches_def pen,touches_def 3rd,touches_mid 3rd,touches_att 3rd,touches_att pen,touches_live,dribbles_succ,dribbles_att,dribbles_succ%,dribbles_#pl,dribbles_megs,carries_carries,carries_totdist,carries_prgdist,carries_prog,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_targ,receiving_rec,receiving_rec%,receiving_prog,matches
José María Giménez,DF,26.0,5.0,334,34,162,176,16,1,327,1,1,100.0,1,0,213,1042,582,16,5,0,1,0,229,227,99.1,0,Matches
Fernando Muslera,GK,34.0,5.0,132,106,132,0,0,0,96,1,1,100.0,1,0,67,259,134,0,0,0,0,0,58,58,100.0,0,Matches
Matías Viña,DF,23.0,4.9,286,13,77,123,103,13,257,4,6,66.7,4,0,181,801,506,23,9,5,6,3,176,165,93.8,8,Matches
Edinson Cavani,FW,33.0,4.7,201,2,21,67,120,33,199,6,9,66.7,6,0,136,584,205,12,3,1,9,6,222,156,70.3,40,Matches
Federico Valverde,MF,22.0,4.6,287,6,44,165,109,8,286,8,12,66.7,8,0,218,1444,834,41,18,4,2,3,233,217,93.1,15,Matches
Diego Godín,DF,34.0,4.5,308,25,158,159,11,4,290,3,4,75.0,3,0,213,1063,574,11,4,0,0,1,218,215,98.6,0,Matches
Luis Suárez,FW,34.0,4.2,144,2,6,51,98,32,137,9,15,60.0,9,1,95,325,178,11,7,1,10,7,172,111,64.5,35,Matches
Matías Vecino,MF,29.0,3.8,308,8,87,191,50,3,300,4,4,100.0,4,0,203,1124,647,22,5,0,4,1,218,211,96.8,3,Matches
Giorgian De Arrascaeta,MF,26.0,2.9,201,0,14,80,119,14,185,2,5,40.0,3,0,142,631,251,17,7,1,6,4,183,150,82.0,30,Matches
Nicolás De La Cruz,MF,23.0,2.9,178,2,25,97,76,8,175,6,7,85.7,6,0,127,759,471,19,9,1,8,6,149,128,85.9,19,Matches
Nahitan Nández,"DF,MF",25.0,4.0,260,12,54,102,124,12,225,12,15,80.0,13,0,178,974,610,32,9,6,6,7,187,158,84.5,14,Matches
Rodrigo Bentancur,MF,23.0,2.8,187,4,36,110,53,3,184,6,8,75.0,6,0,136,817,387,23,6,1,2,3,142,133,93.7,6,Matches
Giovanni González,DF,26.0,1.3,82,6,28,32,26,1,74,1,2,50.0,1,0,51,217,93,6,1,1,0,3,65,56,86.2,5,Matches
Lucas Torreira,MF,24.0,1.0,75,2,12,55,9,0,73,0,0,,0,0,52,274,126,5,0,0,0,0,63,61,96.8,2,Matches
Facundo Torres,MF,20.0,1.3,88,0,7,26,64,6,81,5,9,55.6,5,0,68,408,257,11,4,2,4,3,71,57,80.3,11,Matches
Martín Cáceres,"DF,MF",33.0,1.0,83,2,25,47,23,1,72,0,0,,0,0,62,341,240,8,2,0,1,1,65,62,95.4,0,Matches
Sebastián Coates,DF,30.0,0.5,23,4,17,7,0,0,21,0,0,,0,0,10,67,37,1,0,0,1,0,8,8,100.0,0,Matches
Brian Ocampo,MF,21.0,0.3,13,0,2,3,9,0,11,0,1,0.0,0,0,7,76,46,2,1,0,1,1,10,8,80.0,3,Matches
Fernando Gorriarán,MF,26.0,0.1,13,1,5,8,1,0,13,0,1,0.0,0,0,12,89,36,0,0,0,1,0,11,11,100.0,0,Matches
Jonathan Rodríguez,MF,27.0,0.1,10,1,1,4,6,1,10,0,1,0.0,0,0,7,53,38,3,1,1,0,0,4,4,100.0,0,Matches
Maxi Gómez,FW,24.0,0.0,4,0,0,1,3,2,4,0,0,,0,0,2,1,0,0,0,0,0,0,5,4,80.0,1,Matches
Squad Total,,28.3,5.0,3217,230,913,1504,1020,142,3020,68,101,67.3,70,1,2180,11349,6252,263,91,24,62,49,2489,2200,88.4,192,
Opponent Total,,27.7,5.0,3071,379,1133,1472,685,85,2850,62,113,54.9,69,2,2197,11172,5786,222,67,14,63,68,2379,2048,86.1,155,
